Name,NpcFamily,MonsterData,Level,CapturedPlayfieldId,RuntimePlayfieldId,NpcFirstAttackStarts,AutomaticAggroEligible,ObservedAutomaticAggroRadiusMeters,RadiusEvidenceKind,RadiusEvidenceCaptureId,RadiusEvidenceCapturedUtc,RadiusEvidenceSequence,ContributingCaptureIds
Angry Minibull,42,30360,8,1044525,6553,2,true,,eligibility-only,,,,20260722-152454
Angry Minibull,42,30360,9,1044525,6553,2,true,16.403593,measured-lower-bound,20260722-152454,2026-07-22T14:06:53.318467Z,64480,20260722-152454
Angry Minibull,42,30360,10,1044525,6553,2,true,16.225999,measured-lower-bound,20260722-152454,2026-07-22T14:05:16.604131Z,63131,20260722-152454
Angry Minibull,42,30360,12,1044525,6553,2,true,13.393116,measured-lower-bound,20260722-152454,2026-07-22T14:10:05.609335Z,67556,20260722-152454
Angry Minibull,42,30360,13,1044525,6553,3,true,16.192275,measured-lower-bound,20260722-152454,2026-07-22T14:04:55.754211Z,62632,20260722-152454
Cleanmeister Intelligence Robot,1019,297023,2,1044525,6553,1,true,0.847455,measured-lower-bound,20260722-104809,2026-07-22T09:20:33.965057Z,60201,20260722-104809
Desert Reet,53,30365,5,1044525,6553,0,false,,manual-passive-until-attacked,,,,20260722-152454
Desert Reet,53,30365,6,1044525,6553,0,false,,manual-passive-until-attacked,,,,20260722-152454
Garbage Flea,25,17657,1,1044525,6553,3,true,,eligibility-only,,,,20260722-104809
Garbage Flea,25,17657,2,1044525,6553,1,true,15.576482,measured-lower-bound,20260722-104809,2026-07-22T09:08:14.498354Z,42087,20260722-104809
Gnarl the Roller,55,17687,7,1044525,6553,2,true,,eligibility-only,,,,20260722-152454
Kneebreaker Alfonzo Rizzolo,137,165196,4,1044525,6553,1,true,,eligibility-only,,,,20260722-152454
Lolly the Reet,137,30365,10,1044525,6553,1,true,56.243689,measured-lower-bound,20260722-152454,2026-07-22T13:46:09.476724Z,35955,20260722-152454
Robotic Guard Dog,1019,17720,13,1044525,6553,2,true,10.535007,measured-lower-bound,20260722-152454,2026-07-22T14:17:37.581435Z,77288,20260722-152454
Rollerrat,55,17687,5,1044525,6553,9,true,16.639269,measured-lower-bound,20260722-152454,2026-07-22T13:48:51.028384Z,40853,20260722-152454
Rollerrat,55,17687,6,1044525,6553,9,true,18.747485,measured-lower-bound,20260722-152454,2026-07-22T13:49:03.669091Z,41171,20260722-152454
Supreme Collector of Waste,1019,17714,4,1044525,6553,2,true,9.240783,measured-lower-bound,20260722-152454,2026-07-22T13:30:33.787775Z,12237,20260722-104809;20260722-152454
Violent Protester,103,203740,3,1044525,6553,1,true,,eligibility-only,,,,20260722-152454
Waste Collector,1019,17714,2,1044525,6553,1,true,1.332759,measured-lower-bound,20260722-104809,2026-07-22T09:47:48.806112Z,82253,20260722-104809
