ObservationId,CaptureId,EquivalentObservationCount,CapturedUtc,Sequence,Behavior,NpcFamily,MonsterData,Level,CapturedPlayfieldId,RuntimePlayfieldId,Name,SourceIdentity,SourceGeneration,RouteSignature,StartX,StartY,StartZ,EndX,EndY,EndZ,DelayAfterSeconds,PathCount
20260722-104809:m10945,20260722-104809,1,2026-07-22T09:24:49.491119Z,64824,flee,0,26092,40,1044525,6553,ICC Peacekeeper,SimpleChar:7962A325,3,f02f9de64c775cde,3450.27393,0.247852,802.898438,3453.58154,4.776038,785.772034,0,2
20260722-104809:m03975,20260722-104809,1,2026-07-22T08:52:14.173335Z,11372,flee,137,26137,3,1044525,6553,Dockworker,SimpleChar:79666CF1,1,80fb3dd3c96e86c9,3588.37769,40.964996,843.475098,3591.68115,41.854996,832.889038,0,2
20260722-104809:m11043,20260722-104809,1,2026-07-22T09:25:52.814099Z,65294,flee,0,26092,40,1044525,6553,ICC Peacekeeper,SimpleChar:79882D97,9,544f4b241798cc95,3452.82959,0.01,849.111145,3449.72778,0.166226,886.130737,15.245606,2
20260722-104809:m11063,20260722-104809,1,2026-07-22T09:26:08.059705Z,65389,flee,0,26092,40,1044525,6553,ICC Peacekeeper,SimpleChar:79882D97,9,d0943704c881375e,3452.81299,0.01,884.177063,3454.49707,9.056477,891.391785,0,2
20260722-104809:m07120,20260722-104809,1,2026-07-22T08:58:13.369123Z,24266,flee,25,17657,2,1044525,6553,Garbage Flea,SimpleChar:7988C8C4,3,5efd0aec2f4189d5,3551.59448,7.343136,886.900635,3549.66699,6.231045,885.653076,0,2
20260722-104809:m03968,20260722-104809,1,2026-07-22T08:52:13.939219Z,11358,flee,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,6accac977b1c4eee,3589.84375,40.964996,841.650269,3594.44336,41.854996,835.984558,1008.560973,2
20260722-104809:m09609,20260722-104809,1,2026-07-22T09:09:02.500192Z,43958,flee,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,8cf5eeb08d1f3f2b,3542.47095,9.253627,943.257874,3541.60449,10.212801,940.164185,474.564763,2
20260722-104809:m10210,20260722-104809,1,2026-07-22T09:16:57.064955Z,55615,flee,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,4dc2340d372f0fbd,3551.28687,9.650064,933.549194,3547.08618,9.848288,940.681824,0,2
20260722-104809:m10870,20260722-104809,1,2026-07-22T09:23:55.808759Z,64229,flee,25,17657,6,1044525,6553,Garbage Flea,SimpleChar:7988C9A3,5,3a545433133b0382,3452.36499,0.01,886.504578,3452.73877,0.51,884.161438,0.679759,2
20260722-104809:m10872,20260722-104809,1,2026-07-22T09:23:56.488518Z,64240,flee,25,17657,6,1044525,6553,Garbage Flea,SimpleChar:7988C9A3,5,99c28faab86fe02d,3452.46216,0.01,885.024475,3452.32446,0.51,880.54187,1.13001,2
