ObservationId,CaptureId,EquivalentObservationCount,CapturedUtc,Sequence,Behavior,NpcFamily,MonsterData,Level,CapturedPlayfieldId,RuntimePlayfieldId,Name,SourceIdentity,SourceGeneration,RouteSignature,StartX,StartY,StartZ,EndX,EndY,EndZ,DelayAfterSeconds,PathCount
20260722-104809:m11096,20260722-104809,1,2026-07-22T09:26:30.813314Z,65506,leash,0,26092,40,1044525,6553,ICC Peacekeeper,SimpleChar:79882D97,9,6aa4f60b640955f2,3455.60547,9.01,909.844238,3449.99341,9.010079,914.335327,4.01314,2
20260722-104809:m11101,20260722-104809,1,2026-07-22T09:26:34.826454Z,65525,leash,0,26092,40,1044525,6553,ICC Peacekeeper,SimpleChar:79882D97,9,21857f91390a451f,3451.04175,9.01,913.566406,3444.82666,9.009824,911.847717,3.532454,2
20260722-104809:m11105,20260722-104809,1,2026-07-22T09:26:38.358908Z,65547,leash,0,26092,40,1044525,6553,ICC Peacekeeper,SimpleChar:79882D97,9,cc751e8fbdb40304,3446.06152,9.01,912.260254,3436.87134,9.009747,909.850403,0,2
20260722-104809:m04206,20260722-104809,1,2026-07-22T08:52:31.621923Z,12060,leash,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,f10b739120a8d570,3629.92651,51.654579,790.319214,3632.44946,49.569778,797.340149,1.94894,2
20260722-104809:m04229,20260722-104809,1,2026-07-22T08:52:33.570863Z,12197,leash,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,3554403f0b8eb7a7,3632.17456,49.378876,796.575317,3635.40942,46.498463,804.485168,1.396678,2
20260722-104809:m04248,20260722-104809,1,2026-07-22T08:52:34.967541Z,12241,leash,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,9d53c35b9cb85565,3634.48145,47.327518,802.214661,3632.58887,43.50494,812.545288,2.042876,2
20260722-104809:m04267,20260722-104809,1,2026-07-22T08:52:37.010417Z,12338,leash,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,da1e43cc9f16d217,3633.11865,44.327892,810.460876,3631.75415,41.484997,820.960388,1.765492,2
20260722-104809:m04288,20260722-104809,1,2026-07-22T08:52:38.775909Z,12395,leash,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,920c1113ed640aa7,3631.97217,41.199005,819.062439,3623.84033,41.484997,825.851074,1.555822,2
20260722-104809:m04308,20260722-104809,1,2026-07-22T08:52:40.331731Z,12466,leash,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,f4d1db064200a14a,3625.4209,40.984997,824.783447,3616.98291,41.464996,831.233826,2.08499,2
20260722-104809:m04333,20260722-104809,1,2026-07-22T08:52:42.416721Z,12545,leash,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,4242fa253df7e003,3617.74731,40.984997,830.640198,3611.64038,41.464996,833.073914,1.44027,2
20260722-104809:m04350,20260722-104809,1,2026-07-22T08:52:43.856991Z,12600,leash,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,1a62d91857980a02,3612.41821,40.964996,832.763916,3607.11475,41.464996,834.709839,360.144619,2
20260722-104809:m07191,20260722-104809,1,2026-07-22T08:58:44.001610Z,25278,leash,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,f7f78b8eb84bce66,3545.45947,7.23791,888.637329,3547.43579,6.517819,885.714722,76.671152,2
20260722-104809:m07312,20260722-104809,1,2026-07-22T09:00:00.672762Z,27597,leash,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,6c45519c9eb14eb4,3557.82007,5.110001,866.050171,3561.84009,5.610001,866.138611,1.053016,2
20260722-104809:m07317,20260722-104809,1,2026-07-22T09:00:01.725778Z,27660,leash,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,cb7f39e8d26cfb7b,3560.84058,5.110001,866.116577,3564.3125,5.610001,863.064941,1.027095,2
20260722-104809:m07321,20260722-104809,1,2026-07-22T09:00:02.752873Z,27706,leash,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,ca5a64af5e13021d,3563.6687,5.110001,863.630676,3567.69409,5.945,857.372009,109.848716,2
20260722-104809:m07515,20260722-104809,1,2026-07-22T09:01:52.601589Z,29459,leash,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,1af684804725ad36,3511.49097,5.110001,862.289551,3515.80103,5.610001,860.905579,1.246685,2
20260722-104809:m07519,20260722-104809,1,2026-07-22T09:01:53.848274Z,29536,leash,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,6631febb5aabde97,3514.87109,5.110001,861.204285,3518.94336,5.610001,858.44281,213.544785,2
20260722-104809:m09193,20260722-104809,1,2026-07-22T09:05:27.393059Z,35614,leash,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,d709247e2650c849,3513.46338,5.110001,858.455017,3518.08447,5.610001,852.768677,2.689412,2
20260722-104809:m09201,20260722-104809,1,2026-07-22T09:05:30.082471Z,35762,leash,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,083661dc375e9bef,3517.26685,5.1,850.904114,3529.40332,5.610001,850.882446,130.1426,2
20260722-104809:m09421,20260722-104809,1,2026-07-22T09:07:40.225071Z,40064,leash,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,bee37fa0488ef71c,3541.62524,5.110001,875.278259,3546.35449,5.810712,871.739746,0.990949,2
20260722-104809:m09428,20260722-104809,1,2026-07-22T09:07:41.216020Z,40138,leash,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,3dd86dd072edf60e,3545.55762,5.308144,872.335754,3551.93604,5.610001,867.380981,2.349969,2
20260722-104809:m09432,20260722-104809,1,2026-07-22T09:07:43.565989Z,40259,leash,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,e23bc46feef1e8fd,3551.27271,5.110001,867.896301,3553.96753,5.610001,864.622986,8.215793,2
20260722-104809:m09452,20260722-104809,1,2026-07-22T09:07:51.781782Z,40708,leash,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,9f1de205ae58fa0b,3552.40894,5.110001,869.025391,3555.37891,6.438126,871.201599,4.321908,2
