ObservationId,CaptureId,EquivalentObservationCount,CapturedUtc,Sequence,Behavior,NpcFamily,MonsterData,Level,CapturedPlayfieldId,RuntimePlayfieldId,Name,SourceIdentity,SourceGeneration,RouteSignature,StartX,StartY,StartZ,EndX,EndY,EndZ,DelayAfterSeconds,PathCount
20260721-Rox-robots:m00002,20260721-Rox-robots,1,2026-07-21T19:55:03.4024431Z,8,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.0566552,2
20260721-Rox-robots:m00004,20260721-Rox-robots,1,2026-07-21T19:55:03.4590983Z,10,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.05493,52.2449989,783.754883,0.2458492,2
20260721-Rox-robots:m00006,20260721-Rox-robots,1,2026-07-21T19:55:03.7049475Z,14,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.09912,52.2449989,783.980713,0.2088712,2
20260721-Rox-robots:m00008,20260721-Rox-robots,1,2026-07-21T19:55:03.9138187Z,18,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.0835,52.2449989,784.033142,0.1978963,2
20260721-Rox-robots:m00011,20260721-Rox-robots,1,2026-07-21T19:55:04.1117150Z,20,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.198879,2
20260721-Rox-robots:m00013,20260721-Rox-robots,1,2026-07-21T19:55:04.3105940Z,23,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.2558414,2
20260721-Rox-robots:m00015,20260721-Rox-robots,1,2026-07-21T19:55:04.5664354Z,26,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.03003,52.2449989,784.119568,0.1868852,2
20260721-Rox-robots:m00017,20260721-Rox-robots,1,2026-07-21T19:55:04.7533206Z,29,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.4037415,2
20260721-Rox-robots:m00019,20260721-Rox-robots,1,2026-07-21T19:55:05.1570621Z,34,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.05933,52.2449989,783.761475,0,2
20260721-Rox-robots:m00020,20260721-Rox-robots,1,2026-07-21T19:55:05.1570621Z,39,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,52aa3d9899596478,3596.979,51.7449989,783.935852,3596.02808,52.2449989,783.720337,0.2458483,2
20260721-Rox-robots:m00024,20260721-Rox-robots,1,2026-07-21T19:55:05.4029104Z,41,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.2268602,2
20260721-Rox-robots:m00026,20260721-Rox-robots,1,2026-07-21T19:55:05.6297706Z,46,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.09229,52.2449989,784.00824,0.179888,2
20260721-Rox-robots:m00028,20260721-Rox-robots,1,2026-07-21T19:55:05.8096586Z,50,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.05176,52.2449989,783.750183,0.2058729,2
20260721-Rox-robots:m00031,20260721-Rox-robots,1,2026-07-21T19:55:06.0155315Z,54,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.4297373,2
20260721-Rox-robots:m00033,20260721-Rox-robots,2,2026-07-21T19:55:06.4452688Z,60,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.2488453,2
20260721-Rox-robots:m00037,20260721-Rox-robots,1,2026-07-21T19:55:06.6941141Z,64,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.2008761,2
20260721-Rox-robots:m00039,20260721-Rox-robots,1,2026-07-21T19:55:06.8949902Z,66,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,52aa3d9899596478,3596.979,51.7449989,783.935852,3596.00928,52.2449989,783.70105,0.2338557,2
20260721-Rox-robots:m00041,20260721-Rox-robots,1,2026-07-21T19:55:07.1288459Z,70,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.06787,52.2449989,783.77594,0.2008754,2
20260721-Rox-robots:m00043,20260721-Rox-robots,1,2026-07-21T19:55:07.3297213Z,73,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.01196,52.2449989,784.138306,0.203875,2
20260721-Rox-robots:m00045,20260721-Rox-robots,1,2026-07-21T19:55:07.5335963Z,75,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.2089921,2
20260721-Rox-robots:m00048,20260721-Rox-robots,1,2026-07-21T19:55:07.7425884Z,78,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.2428479,2
20260721-Rox-robots:m00050,20260721-Rox-robots,1,2026-07-21T19:55:07.9854363Z,83,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.01611,52.2449989,784.134277,0.1978791,2
20260721-Rox-robots:m00056,20260721-Rox-robots,1,2026-07-21T19:55:08.1833154Z,88,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.2088723,2
20260721-Rox-robots:m00058,20260721-Rox-robots,1,2026-07-21T19:55:08.3921877Z,91,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.10376,52.2449989,783.892822,0.2064634,2
20260721-Rox-robots:m00061,20260721-Rox-robots,1,2026-07-21T19:55:08.5986511Z,95,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.10327,52.2449989,783.95575,0.19488,2
20260721-Rox-robots:m00064,20260721-Rox-robots,1,2026-07-21T19:55:08.7935311Z,97,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.2028747,2
20260721-Rox-robots:m00066,20260721-Rox-robots,1,2026-07-21T19:55:08.9964058Z,101,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.09155,52.2449989,783.832031,0.4487222,2
20260721-Rox-robots:m00068,20260721-Rox-robots,1,2026-07-21T19:55:09.4451280Z,108,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.09814,52.2449989,783.985474,0,2
20260721-Rox-robots:m00069,20260721-Rox-robots,1,2026-07-21T19:55:09.4451280Z,111,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.2518472,2
20260721-Rox-robots:m00072,20260721-Rox-robots,1,2026-07-21T19:55:09.6969752Z,114,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.07495,52.2449989,783.789551,0.4627135,2
20260721-Rox-robots:m00074,20260721-Rox-robots,1,2026-07-21T19:55:10.1596887Z,121,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.02393,52.2449989,784.126282,0.0009994,2
20260721-Rox-robots:m00077,20260721-Rox-robots,1,2026-07-21T19:55:10.1606881Z,128,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.0752,52.2449989,783.790527,0.1938793,2
20260721-Rox-robots:m00078,20260721-Rox-robots,1,2026-07-21T19:55:10.3545674Z,130,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.10156,52.2449989,783.874268,0.1948811,2
20260721-Rox-robots:m00080,20260721-Rox-robots,1,2026-07-21T19:55:10.5494485Z,133,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,52aa3d9899596478,3596.979,51.7449989,783.935852,3596.02197,52.2449989,783.713623,0.2148685,2
20260721-Rox-robots:m00082,20260721-Rox-robots,1,2026-07-21T19:55:10.7643170Z,138,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.2068702,2
20260721-Rox-robots:m00084,20260721-Rox-robots,1,2026-07-21T19:55:10.9711872Z,140,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.1979862,2
20260721-Rox-robots:m00087,20260721-Rox-robots,1,2026-07-21T19:55:11.1691734Z,147,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.04321,52.2449989,784.103577,0.2288586,2
20260721-Rox-robots:m00089,20260721-Rox-robots,1,2026-07-21T19:55:11.3980320Z,149,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,52aa3d9899596478,3596.979,51.7449989,783.935852,3596.00952,52.2449989,783.701416,0.3541818,2
20260721-Rox-robots:m00091,20260721-Rox-robots,1,2026-07-21T19:55:11.7522138Z,154,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.2158661,2
20260721-Rox-robots:m00095,20260721-Rox-robots,1,2026-07-21T19:55:11.9680799Z,159,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.10327,52.2449989,783.886536,0.2568424,2
20260721-Rox-robots:m00099,20260721-Rox-robots,1,2026-07-21T19:55:12.2249223Z,165,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,52aa3d9899596478,3596.979,51.7449989,783.935852,3596.02661,52.2449989,783.718628,0,2
20260721-Rox-robots:m00100,20260721-Rox-robots,1,2026-07-21T19:55:12.2249223Z,169,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.09619,52.2449989,783.848083,0.2088703,2
20260721-Rox-robots:m00105,20260721-Rox-robots,1,2026-07-21T19:55:12.4337926Z,178,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.10327,52.2449989,783.888184,0.4367318,2
20260721-Rox-robots:m00108,20260721-Rox-robots,1,2026-07-21T19:55:12.8705244Z,186,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.01074,52.2449989,784.139465,0.0009993,2
20260721-Rox-robots:m00111,20260721-Rox-robots,1,2026-07-21T19:55:12.8715237Z,191,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.2178654,2
20260721-Rox-robots:m00114,20260721-Rox-robots,1,2026-07-21T19:55:13.0893891Z,195,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.10254,52.2449989,783.960327,0.2028758,2
20260721-Rox-robots:m00116,20260721-Rox-robots,1,2026-07-21T19:55:13.2922649Z,199,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.2088695,2
20260721-Rox-robots:m00118,20260721-Rox-robots,1,2026-07-21T19:55:13.5011344Z,203,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.07422,52.2449989,783.788452,0.1868859,2
20260721-Rox-robots:m00120,20260721-Rox-robots,1,2026-07-21T19:55:13.6880203Z,206,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.2498458,2
20260721-Rox-robots:m00122,20260721-Rox-robots,1,2026-07-21T19:55:13.9378661Z,211,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.2128685,2
20260721-Rox-robots:m00125,20260721-Rox-robots,1,2026-07-21T19:55:14.1507346Z,217,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.10425,52.2449989,783.898132,0.2028752,2
20260721-Rox-robots:m00127,20260721-Rox-robots,1,2026-07-21T19:55:14.3536098Z,222,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.2038741,2
