ObservationId,CaptureId,EquivalentObservationCount,CapturedUtc,Sequence,Behavior,NpcFamily,MonsterData,Level,CapturedPlayfieldId,RuntimePlayfieldId,Name,SourceIdentity,SourceGeneration,RouteSignature,StartX,StartY,StartZ,EndX,EndY,EndZ,DelayAfterSeconds,PathCount
20260722-104809:m07348,20260722-104809,1,2026-07-22T09:00:13.712873Z,28133,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,1,e5d891be987ef4b6,3450.05225,9.145,889.701904,3461.76147,9.01,888.967957,0,2
20260722-104809:m07495,20260722-104809,1,2026-07-22T09:01:36.450465Z,29265,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,2,e47f471b38533c64,3441.45703,9.01,858.462646,3448.84668,9.050667,862.536926,0,2
20260722-104809:m07561,20260722-104809,1,2026-07-22T09:02:15.350797Z,29731,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,3,02f1e53805738d3e,3442.44946,9.165,889.472656,3447.95923,9.053416,889.979736,2.901979,2
20260722-104809:m07567,20260722-104809,1,2026-07-22T09:02:18.252776Z,29764,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,3,d253fd1e01597ca9,3446.7417,9.145,889.862244,3451.55005,9.109654,889.622498,0,2
20260722-104809:m09100,20260722-104809,1,2026-07-22T09:04:45.706465Z,34943,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,4,97207de34910a10b,3462.76221,9.01,885.179199,3457.02905,9.109645,880.685242,0,2
20260722-104809:m09784,20260722-104809,1,2026-07-22T09:10:42.625244Z,46852,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,5,02f1e53805738d3e,3442.58374,9.165,889.477966,3447.95923,9.053416,889.979736,2.963338,2
20260722-104809:m09787,20260722-104809,1,2026-07-22T09:10:45.588582Z,46944,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,5,d253fd1e01597ca9,3446.66895,9.145,889.853638,3451.55005,9.109654,889.622498,0,2
20260722-104809:m10251,20260722-104809,1,2026-07-22T09:17:17.675287Z,56667,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,6,e97c08af8420f01f,3465.21851,9.01,889.079224,3469.4873,9.01,884.308228,3.591608,2
20260722-104809:m10262,20260722-104809,1,2026-07-22T09:17:21.266895Z,56774,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,6,ada6fe2dfef9c659,3468.7251,9.01,885.249634,3461.42432,9.009971,885.246643,0,2
20260722-104809:m10386,20260722-104809,1,2026-07-22T09:19:09.366198Z,58212,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,7,02f1e53805738d3e,3442.57715,9.165,889.478394,3447.95923,9.053416,889.979736,2.745231,2
20260722-104809:m10395,20260722-104809,1,2026-07-22T09:19:12.111429Z,58342,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,7,d253fd1e01597ca9,3446.62036,9.145,889.848816,3451.55005,9.109654,889.622498,0,2
20260722-104809:m10671,20260722-104809,1,2026-07-22T09:21:50.596293Z,63042,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,8,cfb94f28e08ddb13,3457.12256,9.145,870.56134,3457.23755,9.732795,860.66803,0,2
20260722-104809:m10745,20260722-104809,1,2026-07-22T09:22:43.536194Z,63497,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,9,e47f471b38533c64,3441.25073,9.01,858.403503,3448.84668,9.050667,862.536926,0,2
20260722-104809:m10810,20260722-104809,1,2026-07-22T09:23:22.757699Z,63843,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,10,02f1e53805738d3e,3442.56763,9.165,889.477295,3447.95923,9.053416,889.979736,2.499968,2
20260722-104809:m10816,20260722-104809,1,2026-07-22T09:23:25.257667Z,63862,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,10,146d23dd33de6eec,3446.80298,9.145,889.86676,3451.55005,9.109654,889.622498,0,2
20260722-104809:m10948,20260722-104809,1,2026-07-22T09:24:49.756686Z,64828,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,11,2e7998c30ffcef00,3441.17358,9.01,858.385315,3448.84668,9.050667,862.536926,0,2
20260722-104809:m11004,20260722-104809,1,2026-07-22T09:25:29.069961Z,65145,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,12,02f1e53805738d3e,3442.62061,9.165,889.479126,3447.95923,9.053416,889.979736,2.642212,2
20260722-104809:m11008,20260722-104809,1,2026-07-22T09:25:31.712173Z,65160,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,12,d253fd1e01597ca9,3446.55103,9.145,889.840881,3451.55005,9.109654,889.622498,0,2
20260722-104809:m11120,20260722-104809,1,2026-07-22T09:26:56.526912Z,65633,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,13,2e7998c30ffcef00,3441.18774,9.01,858.390991,3448.84668,9.050667,862.536926,0,2
20260722-104809:m11189,20260722-104809,1,2026-07-22T09:27:35.701623Z,65864,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,14,02f1e53805738d3e,3442.61255,9.165,889.479736,3447.95923,9.053416,889.979736,2.764514,2
20260722-104809:m11193,20260722-104809,1,2026-07-22T09:27:38.466137Z,65875,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,14,d253fd1e01597ca9,3446.63525,9.145,889.849609,3451.55005,9.109654,889.622498,0,2
20260722-104809:m11338,20260722-104809,1,2026-07-22T09:29:03.052202Z,66354,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,15,e47f471b38533c64,3441.25049,9.01,858.402954,3448.84668,9.050667,862.536926,0,2
20260722-104809:m11413,20260722-104809,1,2026-07-22T09:29:42.158612Z,66584,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,16,02f1e53805738d3e,3442.42798,9.165,889.473145,3447.95923,9.053416,889.979736,2.823042,2
20260722-104809:m11419,20260722-104809,1,2026-07-22T09:29:44.981654Z,66601,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,16,d253fd1e01597ca9,3446.64722,9.145,889.853882,3451.55005,9.109654,889.622498,0,2
20260722-104809:m11572,20260722-104809,1,2026-07-22T09:31:09.706027Z,67091,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,17,e47f471b38533c64,3441.25659,9.01,858.417664,3448.84668,9.050667,862.536926,0,2
20260722-104809:m11649,20260722-104809,1,2026-07-22T09:31:49.007470Z,67323,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,18,02f1e53805738d3e,3442.40625,9.165,889.474792,3447.95923,9.053416,889.979736,2.703133,2
20260722-104809:m11657,20260722-104809,1,2026-07-22T09:31:51.710603Z,67342,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,18,d253fd1e01597ca9,3446.7334,9.145,889.862976,3451.55005,9.109654,889.622498,0,2
20260722-104809:m11842,20260722-104809,1,2026-07-22T09:33:25.285058Z,67866,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,19,e47f471b38533c64,3441.44141,9.01,858.459351,3448.84668,9.050667,862.536926,0,2
20260722-104809:m11922,20260722-104809,1,2026-07-22T09:34:12.717804Z,68111,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,20,02f1e53805738d3e,3442.55347,9.165,889.479065,3447.95923,9.053416,889.979736,2.749518,2
20260722-104809:m11928,20260722-104809,1,2026-07-22T09:34:15.467322Z,68124,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,20,d253fd1e01597ca9,3446.59668,9.145,889.847168,3451.55005,9.109654,889.622498,0,2
20260722-104809:m12101,20260722-104809,1,2026-07-22T09:35:40.521535Z,68754,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,21,e47f471b38533c64,3441.36279,9.01,858.427124,3448.84668,9.050667,862.536926,0,2
20260722-104809:m12177,20260722-104809,1,2026-07-22T09:36:19.568919Z,69078,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,22,02f1e53805738d3e,3442.58301,9.165,889.481018,3447.95923,9.053416,889.979736,2.700975,2
20260722-104809:m12187,20260722-104809,1,2026-07-22T09:36:22.269894Z,69096,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,22,d253fd1e01597ca9,3446.60986,9.145,889.847961,3451.55005,9.109654,889.622498,0,2
20260722-104809:m12346,20260722-104809,1,2026-07-22T09:37:48.123380Z,69691,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,23,e47f471b38533c64,3441.26758,9.01,858.405029,3448.84668,9.050667,862.536926,0,2
20260722-104809:m12412,20260722-104809,1,2026-07-22T09:38:27.340889Z,69953,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,24,02f1e53805738d3e,3442.55493,9.165,889.479431,3447.95923,9.053416,889.979736,2.770777,2
20260722-104809:m12419,20260722-104809,1,2026-07-22T09:38:30.111666Z,69965,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,24,d253fd1e01597ca9,3446.51099,9.145,889.838745,3451.55005,9.109654,889.622498,0,2
20260722-104809:m12574,20260722-104809,1,2026-07-22T09:39:55.034240Z,70591,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,25,e47f471b38533c64,3441.36938,9.01,858.430908,3448.84668,9.050667,862.536926,0,2
20260722-104809:m12642,20260722-104809,1,2026-07-22T09:40:34.001252Z,70901,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,26,02f1e53805738d3e,3442.40552,9.165,889.476074,3447.95923,9.053416,889.979736,3.132192,2
20260722-104809:m12647,20260722-104809,1,2026-07-22T09:40:37.133444Z,70920,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,26,146d23dd33de6eec,3446.78369,9.145,889.868042,3451.55005,9.109654,889.622498,0,2
20260722-104809:m12796,20260722-104809,1,2026-07-22T09:42:01.846760Z,71694,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,27,e47f471b38533c64,3441.30103,9.01,858.429626,3448.84668,9.050667,862.536926,0,2
20260722-104809:m12867,20260722-104809,1,2026-07-22T09:42:40.899390Z,72040,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,28,02f1e53805738d3e,3442.57373,9.165,889.480896,3447.95923,9.053416,889.979736,2.93238,2
20260722-104809:m12873,20260722-104809,1,2026-07-22T09:42:43.831770Z,72064,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,28,d253fd1e01597ca9,3446.6543,9.145,889.852539,3451.55005,9.109654,889.622498,0,2
20260722-104809:m13411,20260722-104809,1,2026-07-22T09:46:54.614115Z,80497,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,29,02f1e53805738d3e,3442.5603,9.165,889.480042,3447.95923,9.053416,889.979736,2.85718,2
20260722-104809:m13417,20260722-104809,1,2026-07-22T09:46:57.471295Z,80553,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,29,146d23dd33de6eec,3446.76929,9.145,889.863892,3451.55005,9.109654,889.622498,0,2
20260722-104809:m13731,20260722-104809,1,2026-07-22T09:49:03.977603Z,86766,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,30,d253fd1e01597ca9,3446.5,9.145,889.83606,3451.55005,9.109654,889.622498,2.288913,2
20260722-104809:m13738,20260722-104809,1,2026-07-22T09:49:06.266516Z,86850,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,30,e5d891be987ef4b6,3450.18213,9.145,889.694153,3461.76147,9.01,888.967957,0,2
20260722-104809:m13866,20260722-104809,1,2026-07-22T09:50:28.671424Z,87388,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,31,e47f471b38533c64,3441.27637,9.01,858.4245,3448.84668,9.050667,862.536926,0,2
20260722-104809:m09091,20260722-104809,1,2026-07-22T09:04:42.500263Z,34829,spawn,103,26149,23,1044525,6553,Janae Seaman,SimpleChar:78E0FD08,4,e941be33dc652c4d,3470.63501,9.01,883.391663,3472.61182,9.01,885.654236,1.244272,2
20260722-104809:m09095,20260722-104809,1,2026-07-22T09:04:43.744535Z,34869,spawn,103,26149,23,1044525,6553,Janae Seaman,SimpleChar:78E0FD08,4,12e0d3873210dbab,3471.78735,9.01,884.462341,3473.25024,9.01,888.013428,1.441282,2
20260722-104809:m09098,20260722-104809,1,2026-07-22T09:04:45.185817Z,34926,spawn,103,26149,23,1044525,6553,Janae Seaman,SimpleChar:78E0FD08,4,818ca27973c7818e,3472.71191,9.01,886.615479,3470.88599,9.01,888.954834,1.351722,2
20260722-104809:m09104,20260722-104809,1,2026-07-22T09:04:46.537539Z,34980,spawn,103,26149,23,1044525,6553,Janae Seaman,SimpleChar:78E0FD08,4,66b688f7267af6b6,3471.79297,9.01,888.106323,3468.55835,9.01,888.870117,0,2
20260722-104809:m10258,20260722-104809,1,2026-07-22T09:17:19.074483Z,56719,spawn,103,26149,23,1044525,6553,Janae Seaman,SimpleChar:78E0FD08,9,c4f07e772f4fa2d8,3463.4043,9.01,889.433838,3438.57275,9.01,887.679321,0,2
20260722-104809:m13734,20260722-104809,1,2026-07-22T09:49:04.983504Z,86820,spawn,103,26149,23,1044525,6553,Janae Seaman,SimpleChar:78E0FD08,41,c4f07e772f4fa2d8,3463.29517,9.01,889.482361,3438.57275,9.01,887.679321,0,2
20260722-104809:m14247,20260722-104809,1,2026-07-22T09:53:01.290021Z,91979,spawn,103,26149,23,1044525,6553,Janae Seaman,SimpleChar:78E0FD08,44,5246139a6c656f6a,3467.17017,9.01,883.242798,3472.10791,9.01,883.451599,0,2
20260722-104809:m00019,20260722-104809,1,2026-07-22T08:48:10.451660Z,29,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.08423,52.244999,783.811035,0.243095,2
20260722-104809:m00022,20260722-104809,1,2026-07-22T08:48:10.694755Z,36,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,52aa3d9899596478,3596.979,51.744999,783.935852,3596.03223,52.244999,783.724976,0.20764,2
20260722-104809:m00025,20260722-104809,1,2026-07-22T08:48:10.902395Z,45,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0.120055,2
20260722-104809:m00027,20260722-104809,1,2026-07-22T08:48:11.022450Z,63,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.05298,52.244999,784.090027,0.193574,2
20260722-104809:m00030,20260722-104809,1,2026-07-22T08:48:11.216024Z,74,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.01758,52.244999,784.132813,0.210586,2
20260722-104809:m00033,20260722-104809,1,2026-07-22T08:48:11.426610Z,99,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.09717,52.244999,783.990234,0.309116,2
20260722-104809:m00036,20260722-104809,1,2026-07-22T08:48:11.735726Z,111,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.0957,52.244999,783.996033,0.117537,2
20260722-104809:m00038,20260722-104809,1,2026-07-22T08:48:11.853263Z,119,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0.206652,2
20260722-104809:m00041,20260722-104809,1,2026-07-22T08:48:12.059915Z,161,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0.325136,2
20260722-104809:m00044,20260722-104809,1,2026-07-22T08:48:12.385051Z,182,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.07129,52.244999,783.782776,0,2
20260722-104809:m00046,20260722-104809,1,2026-07-22T08:48:12.385051Z,188,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0.27911,2
20260722-104809:m00050,20260722-104809,1,2026-07-22T08:48:12.664161Z,200,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0.261597,2
20260722-104809:m00052,20260722-104809,1,2026-07-22T08:48:12.925758Z,216,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.08008,52.244999,784.040955,0.102037,2
20260722-104809:m00054,20260722-104809,1,2026-07-22T08:48:13.027795Z,237,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.05615,52.244999,784.085327,0.199686,2
20260722-104809:m00057,20260722-104809,1,2026-07-22T08:48:13.227481Z,259,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.01001,52.244999,784.140259,0.36769,2
20260722-104809:m00060,20260722-104809,1,2026-07-22T08:48:13.595171Z,278,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0.19011,2
20260722-104809:m00063,20260722-104809,1,2026-07-22T08:48:13.785281Z,291,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.08203,52.244999,783.805481,0.097672,2
20260722-104809:m00065,20260722-104809,1,2026-07-22T08:48:13.882953Z,315,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.10107,52.244999,783.969849,0.241585,2
20260722-104809:m00068,20260722-104809,1,2026-07-22T08:48:14.124538Z,325,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0.255608,2
20260722-104809:m00070,20260722-104809,1,2026-07-22T08:48:14.380146Z,340,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.10229,52.244999,783.961975,0.281103,2
20260722-104809:m00072,20260722-104809,1,2026-07-22T08:48:14.661249Z,349,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,52aa3d9899596478,3596.979,51.744999,783.935852,3596.03418,52.244999,783.727295,0.165071,2
20260722-104809:m00074,20260722-104809,1,2026-07-22T08:48:14.826320Z,358,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,52aa3d9899596478,3596.979,51.744999,783.935852,3596.04492,52.244999,783.740723,0.162155,2
20260722-104809:m00076,20260722-104809,1,2026-07-22T08:48:14.988475Z,374,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0.221573,2
20260722-104809:m00078,20260722-104809,1,2026-07-22T08:48:15.210048Z,379,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0,2
20260722-104809:m03959,20260722-104809,1,2026-07-22T08:52:13.216277Z,11259,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,2,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.09155,52.244999,784.010071,0.363784,2
20260722-104809:m03962,20260722-104809,1,2026-07-22T08:52:13.580061Z,11289,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,2,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0.120549,2
20260722-104809:m03965,20260722-104809,1,2026-07-22T08:52:13.700610Z,11331,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,2,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0.238609,2
20260722-104809:m03971,20260722-104809,1,2026-07-22T08:52:13.939219Z,11361,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,2,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0.234116,2
20260722-104809:m03974,20260722-104809,1,2026-07-22T08:52:14.173335Z,11371,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,2,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.08984,52.244999,784.015808,0.283111,2
20260722-104809:m03978,20260722-104809,1,2026-07-22T08:52:14.456446Z,11382,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,2,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.10498,52.244999,783.932922,0.158564,2
20260722-104809:m03980,20260722-104809,1,2026-07-22T08:52:14.615010Z,11391,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,2,52aa3d9899596478,3596.979,51.744999,783.935852,3596.02612,52.244999,783.718079,0.323117,2
20260722-104809:m03984,20260722-104809,1,2026-07-22T08:52:14.938127Z,11423,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,2,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.09131,52.244999,783.831116,0.000498,2
20260722-104809:m03986,20260722-104809,1,2026-07-22T08:52:14.938625Z,11437,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,2,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.10522,52.244999,783.926636,0.20008,2
20260722-104809:m03990,20260722-104809,1,2026-07-22T08:52:15.138705Z,11447,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,2,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0.251104,2
20260722-104809:m03993,20260722-104809,1,2026-07-22T08:52:15.389809Z,11461,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,2,52aa3d9899596478,3596.979,51.744999,783.935852,3596.02539,52.244999,783.717224,0.200084,2
20260722-104809:m04000,20260722-104809,1,2026-07-22T08:52:15.589893Z,11468,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,2,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0.271231,2
20260722-104809:m04004,20260722-104809,1,2026-07-22T08:52:15.861124Z,11489,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,2,52aa3d9899596478,3596.979,51.744999,783.935852,3596.03711,52.244999,783.730774,0.323137,2
20260722-104809:m04006,20260722-104809,1,2026-07-22T08:52:16.184261Z,11494,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,2,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0.203085,2
20260722-104809:m04009,20260722-104809,1,2026-07-22T08:52:16.387346Z,11498,spawn,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,2,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.02173,52.244999,784.128662,0.204091,2
