ObservationId,EquivalentObservationCount,CapturedUtc,Sequence,Behavior,NpcFamily,MonsterData,Level,CapturedPlayfieldId,RuntimePlayfieldId,Name,SourceIdentity,SourceGeneration,RouteSignature,StartX,StartY,StartZ,EndX,EndY,EndZ,DelayAfterSeconds,PathCount
m07859,1,2026-07-22T14:04:53.742842Z,62894,leash,15,17662,1,1044525,6553,Minibronto,SimpleChar:78E0FD9C,1,7a9736731f0348f5,3498.56226,8.110001,448.886353,3500.94971,8.110001,451.051819,0,2
m03136,1,2026-07-22T13:42:32.801208Z,29377,leash,0,26092,40,1044525,6553,ICC Peacekeeper,SimpleChar:7962A325,5,ee492ed9efce8293,3471.51636,9.145,786.745178,3479.02222,8.71745,785.850891,11.912039,2
m03149,1,2026-07-22T13:42:44.713247Z,29589,leash,0,26092,40,1044525,6553,ICC Peacekeeper,SimpleChar:7962A325,5,abc0a9722cbc7075,3486.79102,5.318535,784.338745,3482.7561,4.78062,782.527283,0,2
m02256,1,2026-07-22T13:33:06.267663Z,16597,leash,1019,17649,4,1044525,6553,IIV-X Advanced Docker,SimpleChar:798913F4,2,e0ba91b25e190c93,3497.62915,7.157102,912.321716,3498.7417,10.062677,916.406006,0,2
m03077,1,2026-07-22T13:42:04.204206Z,28745,leash,25,17657,7,1044525,6553,Mutated Garbage Flea,SimpleChar:79891578,1,6d55617dfaf96b9d,3426.12451,0,868.586365,3424.85571,0.51,887.2453,0,2
m03500,1,2026-07-22T13:47:05.316627Z,37970,leash,97,96195,1,1044525,6553,Anger Manifestation,SimpleChar:798915B3,1,8bb16705b0809157,3345.75464,4.913803,661.55481,3348.80298,5.352714,661.359863,0.531826,2
m03503,1,2026-07-22T13:47:05.848453Z,38006,leash,97,96195,1,1044525,6553,Anger Manifestation,SimpleChar:798915B3,1,ba16f473f98b3703,3347.81763,5.377975,661.422485,3352.91479,4.220523,662.842346,1.357806,2
m03506,1,2026-07-22T13:47:07.206259Z,38070,leash,97,96195,1,1044525,6553,Anger Manifestation,SimpleChar:798915B3,1,a1bde842f59c19fa,3352.00342,4.413728,662.588501,3361.22314,3.607527,665.551086,18.351252,2
m03522,1,2026-07-22T13:47:25.557511Z,38724,leash,97,96195,1,1044525,6553,Anger Manifestation,SimpleChar:798915B3,1,65d9741fbc38d221,3368.13965,2.239593,670.684265,3373.7561,2.761264,670.121887,1.243036,2
m03525,1,2026-07-22T13:47:26.800547Z,38753,leash,97,96195,1,1044525,6553,Anger Manifestation,SimpleChar:798915B3,1,c4f609e7455e0454,3372.79517,2.352487,670.218079,3378.17603,2.61,675.890747,1.609046,2
m03531,1,2026-07-22T13:47:28.409593Z,38805,leash,97,96195,1,1044525,6553,Anger Manifestation,SimpleChar:798915B3,1,b8656fb43a8e33c8,3377.48999,2.11,675.167847,3385.54858,2.61,677.126221,9.469565,2
m03535,1,2026-07-22T13:47:37.879158Z,39098,leash,97,96195,1,1044525,6553,Anger Manifestation,SimpleChar:798915B3,1,a2a7113ec7f3ba52,3384.68042,2.11,676.915161,3387.98193,2.61,679.351501,1.332255,2
m03539,1,2026-07-22T13:47:39.211413Z,39148,leash,97,96195,1,1044525,6553,Anger Manifestation,SimpleChar:798915B3,1,216f31eddea87af5,3387.33936,2.11,678.877319,3390.3667,3.150445,684.749817,1.419298,2
m03543,1,2026-07-22T13:47:40.630711Z,39203,leash,97,96195,1,1044525,6553,Anger Manifestation,SimpleChar:798915B3,1,9c5608a95fe33bab,3389.97217,2.11,683.984314,3395.23853,3.296598,689.125549,1.6529,2
m03547,1,2026-07-22T13:47:42.283611Z,39267,leash,97,96195,1,1044525,6553,Anger Manifestation,SimpleChar:798915B3,1,f49de30bf5d8af4a,3394.5813,2.11,688.483887,3404.95923,3.398491,690.656982,2.753663,2
m03551,1,2026-07-22T13:47:45.037274Z,39428,leash,97,96195,1,1044525,6553,Anger Manifestation,SimpleChar:798915B3,1,621e00303224b604,3404.0293,2.11,690.46228,3412.95117,2.61,688.577026,75.070941,2
m03618,1,2026-07-22T13:49:00.108215Z,41248,leash,97,96195,1,1044525,6553,Anger Manifestation,SimpleChar:798915B3,1,7b37738f0d1b8576,3502.05298,2.11,691.331055,3505.09644,2.61,690.674194,0.839944,2
m03621,1,2026-07-22T13:49:00.948159Z,41292,leash,97,96195,1,1044525,6553,Anger Manifestation,SimpleChar:798915B3,1,c5c03b6b3b62a98a,3504.26611,2.11,690.853455,3508.8562,3.008106,690.948853,1.43063,2
m03624,1,2026-07-22T13:49:02.378789Z,41344,leash,97,96195,1,1044525,6553,Anger Manifestation,SimpleChar:798915B3,1,5b8aa0d254ed785e,3508.01685,2.11,690.931396,3514.81885,2.874631,689.354919,1.778065,2
m03628,1,2026-07-22T13:49:04.156854Z,41394,leash,97,96195,1,1044525,6553,Anger Manifestation,SimpleChar:798915B3,1,195b6eceba7fda44,3513.96191,2.11,689.553589,3524.47388,2.61,685.372986,13.656208,2
m03638,1,2026-07-22T13:49:17.813062Z,41886,leash,97,96195,1,1044525,6553,Anger Manifestation,SimpleChar:798915B3,1,d475b27e0a2e627c,3527.88379,2.11,679.62793,3534.02856,2.61,679.464355,1.482432,2
m03642,1,2026-07-22T13:49:19.295494Z,41912,leash,97,96195,1,1044525,6553,Anger Manifestation,SimpleChar:798915B3,1,fc71d82782d6d0b8,3533.18726,2.150613,679.486755,3540.07153,2.61,686.267761,1.972122,2
