Level,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Tokens
1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,2,2,2,2,3,3,1
3,2,2,2,2,2,3,3,3,3,4,5,1
4,2,3,3,3,3,4,4,4,5,6,7,1
5,3,3,4,4,4,5,5,6,6,7,8,1
6,4,4,4,5,5,6,6,7,7,9,10,1
7,4,5,5,5,6,7,7,8,9,10,12,1
8,5,6,6,6,7,8,8,9,10,12,14,1
9,6,6,7,7,8,9,9,10,11,13,16,1
10,7,7,8,8,9,10,11,12,13,15,18,1
11,7,8,8,9,9,11,12,13,14,16,19,1
12,8,9,9,10,10,12,13,14,15,18,21,1
13,9,9,10,11,11,13,14,15,16,19,22,1
14,9,10,11,11,12,14,15,16,18,21,24,1
15,10,11,12,12,13,15,16,18,19,22,26,2
16,11,12,12,13,14,16,17,19,20,24,28,2
17,11,12,13,14,15,17,18,20,22,25,30,2
18,12,13,14,15,16,18,19,21,23,27,32,2
19,13,14,15,16,17,19,20,22,24,28,34,2
20,14,15,16,17,18,20,22,24,26,30,36,2
21,14,15,16,17,18,21,23,25,27,31,37,2
22,15,16,17,18,19,22,24,26,28,33,38,2
23,16,17,18,19,20,23,25,27,29,34,41,2
24,16,18,19,20,21,24,26,28,31,36,42,2
25,17,18,20,21,22,25,27,30,32,37,44,2
26,18,19,20,22,23,26,28,31,33,39,46,2
27,18,20,21,22,24,27,29,32,35,40,48,2
28,19,21,22,23,25,28,30,33,36,42,50,2
29,20,21,23,24,26,29,31,34,37,43,51,2
30,21,22,24,25,27,30,33,36,39,45,53,2
31,21,23,24,26,27,31,34,37,40,46,55,2
32,22,24,25,27,28,32,35,38,41,48,56,2
33,23,24,26,28,29,33,36,39,42,49,58,2
34,23,25,27,28,30,34,37,40,44,51,60,2
35,24,26,28,29,31,35,38,42,45,52,62,2
36,25,27,28,30,32,36,39,43,46,54,64,2
37,25,27,29,31,33,37,40,44,48,55,66,2
38,26,28,30,32,34,38,41,45,49,57,68,2
39,27,29,31,33,35,39,42,46,50,58,69,2
