PacketId,Aoid,ActionTemplateId,ActionHash,SlotId,Name
111,211656,214399,LIMB,10111,"Acrobat 2"
113,211658,211453,DAOF,10113,"Acrobat 4"
120,211676,214366,TAWO,10120,"Alchemist 1"
121,211677,214368,CHBI,10121,"Alchemist 2"
123,211679,214367,PSSI,10123,"Alchemist 4"
125,211681,214369,SLWU,10125,"Alchemist 6"
141,210843,214202,RANQ,10141,"Assassin 2"
143,210845,226918,TISC,10143,"Assassin 4"
146,210848,226490,CCSH,10146,"Assassin 7"
149,210851,226496,SSIN,10149,"Assassin 10"
150,211682,215456,BTHA,10150,"Assault Force Medic 1"
154,211686,215457,BAHL,10154,"Assault Force Medic 5"
155,211687,215724,VICO,10155,"Assault Force Medic 6"
157,211689,215458,BTHE,10157,"Assault Force Medic 8"
159,211691,215459,BTH4,10159,"Assault Force Medic 10"
170,211666,215568,BISI,10170,"Bio Shielding 1"
172,211668,215577,BICC,10172,"Bio Shielding 3"
176,211672,215578,BIRJ,10176,"Bio Shielding 7"
179,211675,215599,BIRG,10179,"Bio Shielding 10"
180,211692,227700,CHMD,10180,"Black Ops 1"
182,211694,226679,SOUP,10182,"Black Ops 3"
185,211697,225834,PNSI,10185,"Black Ops 6"
188,211700,225840,DTSI,10188,"Black Ops 9"
190,211702,215791,LAON,10190,"Blessing 1"
193,211705,215856,DEAM,10193,"Blessing 4"
195,211707,215864,CUTO,10195,"Blessing 6"
201,211713,226519,QUBS,10320,"Blunt Mastery 2 [slotPacket=320]"
204,225939,226528,CUBO,10323,"Blunt Mastery 5 [slotPacket=323]"
207,225942,226536,BITP,10326,"Blunt Mastery 8 [slotPacket=326]"
209,225944,226537,DVBL,10328,"Blunt Mastery 10 [slotPacket=328]"
211,211723,225847,BISM,10211,"Brawler 2"
213,211725,225855,FLSS,10213,"Brawler 4"
215,211727,225862,BIBW,10215,"Brawler 6"
220,211728,227062,DOTE,10220,"Bureaucratic Shuffle 1"
223,211731,227065,UCCU,10223,"Bureaucratic Shuffle 4"
226,211734,227066,CNWI,10226,"Bureaucratic Shuffle 7"
230,211738,214181,EAST,10230,"Careful in Battle 1"
240,211748,227421,ELTE,10240,"Cartographer 1"
250,211753,227693,CNRE,10250,"Channel Rage 1"
272,211765,216602,BNOI,10272,"Colossal Health 3"
274,211767,216612,LIFE,10274,"Colossal Health 5"
278,211771,216613,DRBO,10278,"Colossal Health 9"
293,223633,225575,EADE,10293,"Directorship 4"
295,223635,225577,GOVE,10295,"Directorship 6"
299,223639,225578,THDI,10299,"Directorship 10"
306,211789,227044,BAOY,10306,"Disharmony 7"
310,211773,227641,RALI,10310,"Distill Life 1"
315,211778,226685,LOOD,10315,"Distill Life 6"
318,211781,226687,VASK,10318,"Distill Life 9"
320,211660,225788,QUCT,10320,"Edged Mastery 1"
323,211663,225794,WQTV,10323,"Edged Mastery 4"
326,212173,225801,FYOC,10326,"Edged Mastery 7"
328,212175,225807,RIFE,10328,"Edged Mastery 9"
334,211797,227236,REDN,10334,"Enhance DNA 5"
339,211802,227237,VIWP,10339,"Enhance DNA 10"
363,212120,213413,BRDE,10363,"Enhanced Nano Damage 4"
370,211809,233837,TAHL,10370,"Essence of Notum 1"
381,211813,227476,EXTE,10381,"Explorer 2"
390,211816,227365,POMW,10390,"Ferocity of Nature 1"
391,211817,227363,BLWO,10391,"Ferocity of Nature 2"
392,211818,227364,GUBL,10392,"Ferocity of Nature 3"
401,211820,227223,BDNB,10401,"First Aid 2"
422,211845,227068,TRFO,10422,"Form of Troll 3"
424,211847,227070,DINT,10424,"Form of Troll 5"
426,211849,227072,SNFI,10426,"Form of Troll 7"
428,211851,227076,AVAL,10428,"Form of Troll 9"
430,211853,227712,BFEI,10430,"Freak Strength 1"
431,211854,227713,EARH,10431,"Freak Strength 2"
432,211855,227714,GIOC,10432,"Freak Strength 3"
441,212124,225474,GLQD,10441,"Spatial Displacement 2"
443,212126,225475,MDID,10443,"Spatial Displacement 4"
445,212128,225476,TTEI,10445,"Spatial Displacement 6"
447,212130,225477,LVSF,10447,"Spatial Displacement 8"
449,212132,225479,GRPU,10449,"Spatial Displacement 10"
451,211857,229119,ECON,10451,"Gadgeteer 2"
454,211860,229132,TABX,10454,"Gadgeteer 5"
456,211862,229658,SPBX,10456,"Gadgeteer 7"
459,211865,227788,CTER,10459,"Gadgeteer 10"
461,211867,214068,RGNN,10461,"Genius 2"
470,211869,214069,NUBO,10470,"Grid NCU Extension 1"
481,211874,226688,LAPI,10481,"Heavy Ranged 2"
482,211875,225869,WEBS,10482,"Heavy Ranged 3"
484,211877,226699,TRTA,10484,"Heavy Ranged 5"
486,211879,226700,NPSR,10486,"Heavy Ranged 7"
490,211881,226895,MKOV,10490,"Holy Mark 1"
493,211884,226881,MAOS,10493,"Holy Mark 4"
496,211887,226900,MKOH,10496,"Holy Mark 7"
499,211890,226903,MEOU,10499,"Holy Mark 10"
501,211892,225876,AMPI,10501,"Infantry 2"
504,211895,225882,FDTF,10504,"Infantry 5"
509,216629,226732,XDGJ,10509,"Infantry 10"
512,211903,226797,TRHN,10512,"Kung-Fu Master 3"
514,211905,227151,XHJU,10514,"Kung-Fu Master 5"
520,211906,227152,GDZH,10520,"Manners of Mongo 1"
521,211907,227817,BXUX,10521,"Manners of Mongo 2"
523,211909,227809,TXXD,10523,"Manners of Mongo 4"
525,211911,227158,NMWT,10525,"Manners of Mongo 6"
528,211914,227807,GOKK,10528,"Manners of Mongo 9"
532,211918,229660,REPE,10532,"Mechanic 3"
535,211921,229669,TRUC,10535,"Mechanic 6"
542,211928,227190,ENIS,10542,"Mountaineer 3"
544,211930,227191,DTSN,10544,"Mountaineer 5"
