"Program","EntryPoint","Name","Namespace","Signature","SourceType"
"Gamecode.dll","10016a58","GetAttackRange","n3EngineClientAnarchy_t","float __thiscall GetAttackRange(void)","ANALYSIS"
"Gamecode.dll","10121b8d","GetFightModeHandler","PlayfieldAnarchy_t","FightModeHandler_t * __thiscall GetFightModeHandler(void)","ANALYSIS"
"Gamecode.dll","10027250","N3Msg_ActivateMech","n3EngineClientAnarchy_t","void __thiscall N3Msg_ActivateMech(uint param_1)","ANALYSIS"
"Gamecode.dll","1001d76c","N3Msg_AddToQueue","n3EngineClientAnarchy_t","void __thiscall N3Msg_AddToQueue(int param_1)","ANALYSIS"
"Gamecode.dll","1001d9db","N3Msg_Airstrike","n3EngineClientAnarchy_t","void __thiscall N3Msg_Airstrike(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","1001d8ab","N3Msg_ArtilleryAttack","n3EngineClientAnarchy_t","void __thiscall N3Msg_ArtilleryAttack(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","100274f0","N3Msg_AssistFight","n3EngineClientAnarchy_t","void __thiscall N3Msg_AssistFight(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","10029b95","N3Msg_BuildAnalyzerItem","n3EngineClientAnarchy_t","void __thiscall N3Msg_BuildAnalyzerItem(int param_1)","ANALYSIS"
"Gamecode.dll","10015ff9","N3Msg_CameraMouseLookMovement","n3EngineClientAnarchy_t","void __thiscall N3Msg_CameraMouseLookMovement(float param_1, float param_2)","ANALYSIS"
"Gamecode.dll","10015feb","N3Msg_CameraSetDefaultPos","n3EngineClientAnarchy_t","void __thiscall N3Msg_CameraSetDefaultPos(void)","ANALYSIS"
"Gamecode.dll","10026b19","N3Msg_CanAttack","n3EngineClientAnarchy_t","bool __thiscall N3Msg_CanAttack(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","100164b9","N3Msg_CanClickTargetTarget","n3EngineClientAnarchy_t","bool __thiscall N3Msg_CanClickTargetTarget(Identity_t * param_1, Identity_t * param_2)","ANALYSIS"
"Gamecode.dll","10027310","N3Msg_CanUseMech","n3EngineClientAnarchy_t","bool __thiscall N3Msg_CanUseMech(void)","ANALYSIS"
"Gamecode.dll","1001b5d4","N3Msg_CastNanoSpell","n3EngineClientAnarchy_t","void __thiscall N3Msg_CastNanoSpell(Identity_t * param_1, Identity_t * param_2)","ANALYSIS"
"Gamecode.dll","10026ffa","N3Msg_ClientIPAdjust","n3EngineClientAnarchy_t","void __thiscall N3Msg_ClientIPAdjust(map<int,int,std::less<int>,std::allocator<std::pair<int_const_,int>_>_> * param_1)","ANALYSIS"
"Gamecode.dll","100174fe","N3Msg_Consider","n3EngineClientAnarchy_t","Consider_e __thiscall N3Msg_Consider(Identity_t * param_1, float * param_2)","ANALYSIS"
