"Dll","Category","SizeBytes","LastWriteTime","ExportCount","DecoratedFunctionStringCount","AoSymbolHintCount"
"AFCM.dll","AOClient","95744","2023-06-02 11:10:36","416","252","8"
"BinaryIO.dll","AOClient","28672","2023-06-02 11:10:30","200","113","0"
"BinaryStream.dll","AOClient","15360","2023-06-02 11:10:18","180","90","0"
"BlockDatabase.dll","AOClient","379392","2015-11-09 10:02:34","116","131","0"
"city.dll","AOClient","239616","2023-06-02 11:10:50","1116","638","0"
"Collision.dll","AOClient","113664","2023-06-02 11:10:36","428","251","0"
"Connection.dll","AOClient","105472","2023-06-02 11:10:52","376","300","0"
"DatabaseController.dll","AOClient","427520","2023-06-02 11:10:40","274","250","0"
"dbDebug.dll","AOClient","6656","2023-06-02 11:10:18","2","0","0"
"DeltaTimer.dll","AOClient","8192","2023-06-02 11:10:18","42","21","0"
"DisplaySystem.dll","AOClient","759808","2023-06-02 11:13:26","1150","1082","21"
"Fanatic.dll","AOClient","17408","2023-06-02 11:14:04","2","49","1"
"FXS.dll","AOClient","97280","2023-06-02 11:11:34","106","91","306"
"Gamecode.dll","AOClient","3035136","2023-06-02 11:21:20","1374","1983","1297"
"GameData.dll","AOClient","205312","2023-06-02 11:10:54","954","567","1"
"GUI.dll","AOClient","2790400","2023-06-02 11:25:16","6436","4390","61"
"Image.dll","AOClient","266752","2023-06-02 11:10:40","556","72","0"
"InstanceManager.dll","AOClient","41472","2023-06-02 11:10:38","102","75","0"
"Interfaces.dll","AOClient","211968","2023-06-02 11:21:32","1228","1313","0"
"ldb.dll","AOClient","42496","2023-06-02 11:10:30","210","137","0"
"MessageProtocol.dll","AOClient","37376","2023-06-02 11:10:42","310","212","0"
"N3.dll","AOClient","385024","2023-06-02 11:14:04","1870","1310","4"
"PathFinder.dll","AOClient","41472","2023-06-02 11:10:56","194","123","0"
"randy31.dll","AOClient","786432","2023-06-02 11:11:26","1542","670","0"
"references.dll","AOClient","18944","2023-06-02 11:10:38","52","56","0"
"ResourceManager.dll","AOClient","51712","2023-06-02 11:10:50","120","162","0"
"SandyInterface.dll","AOClient","55808","2023-06-02 11:10:46","344","219","0"
"serialize.dll","AOClient","53248","2023-06-02 11:10:24","298","158","0"
"SIMPlayer.dll","AOClient","76288","2023-06-02 11:10:26","326","199","0"
"Utils.dll","AOClient","190464","2023-06-02 11:10:28","1260","671","0"
"Vehicle.dll","AOClient","100864","2023-06-02 11:10:30","486","251","0"
"ACE.dll","ThirdPartyRuntime","1192448","2012-03-09 11:56:48","11942","6014","0"
"Awesomium.dll","ThirdPartyRuntime","21192704","2012-06-05 01:04:38","712","155","0"
"icudt42.dll","ThirdPartyRuntime","10941440","2012-03-09 11:58:30","2","0","1"
"mfc100.dll","ThirdPartyRuntime","4397384","2012-03-09 11:58:42","14166","2","1"
"mpir.dll","ThirdPartyRuntime","299520","2012-03-09 12:03:42","868","38","0"
"mss32.dll","ThirdPartyRuntime","395264","2012-03-09 11:58:48","646","0","0"
"msvcp100.dll","ThirdPartyRuntime","421200","2012-03-09 11:58:42","3352","1634","0"
"msvcr100.dll","ThirdPartyRuntime","773968","2012-03-09 11:58:42","3242","263","0"
"PATCHW32.DLL","ThirdPartyRuntime","181760","2012-03-09 12:03:40","24","0","0"
