Program,ExecutablePath,EntryPoint,Name,Namespace,Signature,CallingConvention,SourceType,IsExternal,IsThunk,ThunkTarget,BodyAddressCount,ReadableName
"BinaryStream.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryStream.dll","10001000","strbuf","BinaryStream","char * __thiscall strbuf(void)","__thiscall","ANALYSIS","false","false","","4","true"
"BinaryStream.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryStream.dll","10001004","freeze","BinaryStream","void __thiscall freeze(void)","__thiscall","ANALYSIS","false","false","","5","true"
"BinaryStream.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryStream.dll","10001009","isAlloc","BinaryStream","bool __thiscall isAlloc(void)","__thiscall","ANALYSIS","false","false","","4","true"
"BinaryStream.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryStream.dll","1000100d","adopt","BinaryStream","void __thiscall adopt(void)","__thiscall","ANALYSIS","false","false","","5","true"
"BinaryStream.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryStream.dll","10001012","rdstate","BinaryStream","int __thiscall rdstate(void)","__thiscall","ANALYSIS","false","false","","4","true"
"BinaryStream.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryStream.dll","10001016","eof","BinaryStream","bool __thiscall eof(void)","__thiscall","ANALYSIS","false","false","","7","true"
"BinaryStream.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryStream.dll","1000101d","fail","BinaryStream","bool __thiscall fail(void)","__thiscall","ANALYSIS","false","false","","9","true"
"BinaryStream.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryStream.dll","10001026","bad","BinaryStream","bool __thiscall bad(void)","__thiscall","ANALYSIS","false","false","","10","true"
"BinaryStream.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryStream.dll","10001030","good","BinaryStream","bool __thiscall good(void)","__thiscall","ANALYSIS","false","false","","9","true"
"BinaryStream.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryStream.dll","10001039","GetMachineEndian","BinaryStream","Endian_e __thiscall GetMachineEndian(void)","__thiscall","ANALYSIS","false","false","","4","true"
