Program,ExecutablePath,EntryPoint,Name,Namespace,Signature,CallingConvention,SourceType,IsExternal,IsThunk,ThunkTarget,BodyAddressCount,ReadableName
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","1000100c","FUN_1000100c","Global","exception * __thiscall FUN_1000100c(byte param_1)","__thiscall","DEFAULT","false","false","","38","false"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","10001032","FUN_10001032","Global","undefined __stdcall FUN_10001032(__time64_t * param_1)","__stdcall","DEFAULT","false","false","","10","false"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","10001046","FUN_10001046","Global","undefined __stdcall FUN_10001046(void)","__stdcall","DEFAULT","false","false","","516","false"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","1000124a","FUN_1000124a","Global","undefined __cdecl FUN_1000124a(undefined4 param_1)","__cdecl","DEFAULT","false","false","","49","false"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","1000127b","BlockDatabaseCursor_t","BlockDatabaseCursor_t","undefined __thiscall BlockDatabaseCursor_t(BlockDatabase_t * param_1, bool param_2)","__thiscall","ANALYSIS","false","false","","31","true"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","1000129a","~BlockDatabaseCursor_t","BlockDatabaseCursor_t","void __thiscall ~BlockDatabaseCursor_t(void)","__thiscall","ANALYSIS","false","false","","1","true"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","1000129b","HasHugeFileSupport","BlockDatabase_t","bool __thiscall HasHugeFileSupport(int * param_1)","__thiscall","ANALYSIS","false","false","","74","true"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","100012e5","GetFirstKey","BlockDatabaseCursor_t","int __thiscall GetFirstKey(uint * param_1, uint * param_2)","__thiscall","ANALYSIS","false","false","","154","true"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","1000137f","GetLastKey","BlockDatabaseCursor_t","int __thiscall GetLastKey(uint * param_1, uint * param_2)","__thiscall","ANALYSIS","false","false","","154","true"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","10001419","GetPrevKey","BlockDatabaseCursor_t","int __thiscall GetPrevKey(uint * param_1, uint * param_2)","__thiscall","ANALYSIS","false","false","","154","true"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","100014b3","GetGreaterEqualKey","BlockDatabaseCursor_t","int __thiscall GetGreaterEqualKey(uint * param_1, uint * param_2)","__thiscall","ANALYSIS","false","false","","135","true"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","1000153a","Delete","BlockDatabaseCursor_t","int __thiscall Delete(void)","__thiscall","ANALYSIS","false","false","","39","true"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","10001561","Statistics","BlockDatabase_t","void __thiscall Statistics(IOPerformance_t * param_1)","__thiscall","ANALYSIS","false","false","","16","true"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","10001571","Assign","BlockDatabase_t","void __thiscall Assign(void)","__thiscall","ANALYSIS","false","false","","48","true"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","100015a1","FUN_100015a1","Global","undefined __cdecl FUN_100015a1(undefined4 param_1, char param_2, char param_3)","__cdecl","DEFAULT","false","false","","315","false"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","100016dc","FUN_100016dc","Global","undefined __stdcall FUN_100016dc(void)","__stdcall","DEFAULT","false","false","","59","false"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","10001717","DbCreate","BlockDatabase_t","int __thiscall DbCreate(void)","__thiscall","ANALYSIS","false","false","","291","true"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","1000183a","DbInit","BlockDatabase_t","int __thiscall DbInit(void)","__thiscall","ANALYSIS","false","false","","48","true"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","1000186a","DbInitResource","BlockDatabase_t","int __thiscall DbInitResource(void)","__thiscall","ANALYSIS","false","false","","383","true"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","100019e9","DbExit","BlockDatabase_t","int __thiscall DbExit(void)","__thiscall","ANALYSIS","false","false","","28","true"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","10001a05","Sync","BlockDatabase_t","int __thiscall Sync(void)","__thiscall","ANALYSIS","false","false","","11","true"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","10001a10","Lock","BlockDatabase_t","int __thiscall Lock(LockType_e param_1)","__thiscall","ANALYSIS","false","false","","112","true"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","10001a80","Unlock","BlockDatabase_t","int __thiscall Unlock(void)","__thiscall","ANALYSIS","false","false","","66","true"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","10001ac2","GetIsamRecord","BlockDatabase_t","int __thiscall GetIsamRecord(uint param_1, uint param_2)","__thiscall","ANALYSIS","false","false","","196","true"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","10001b86","GetRecordPos","BlockDatabase_t","ulong __thiscall GetRecordPos(uint param_1, uint param_2)","__thiscall","ANALYSIS","false","false","","268","true"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","10001c92","GetNumberOfKeys","BlockDatabase_t","uint __thiscall GetNumberOfKeys(void)","__thiscall","ANALYSIS","false","false","","26","true"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","10001cac","operator-","BlockDatabase_t::IOPerformance_t","IOPerformance_t * __thiscall operator-(IOPerformance_t * param_1)","__thiscall","ANALYSIS","false","false","","58","true"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","10001ce6","BlockDatabaseLock_t","BlockDatabaseLock_t","undefined __thiscall BlockDatabaseLock_t(BlockDatabase_t * param_1, LockType_e param_2)","__thiscall","ANALYSIS","false","false","","26","true"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","10001d00","~BlockDatabaseLock_t","BlockDatabaseLock_t","void __thiscall ~BlockDatabaseLock_t(void)","__thiscall","ANALYSIS","false","false","","7","true"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","10001d07","FUN_10001d07","Global","undefined __cdecl FUN_10001d07(undefined4 param_1, char param_2, int param_3)","__cdecl","DEFAULT","false","false","","61","false"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","10001d44","~RebuildBlockDatabase_c","RebuildBlockDatabase_c","void __thiscall ~RebuildBlockDatabase_c(void)","__thiscall","ANALYSIS","false","false","","52","true"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","10001d78","Rebuild","RebuildBlockDatabase_c","int __thiscall Rebuild(void)","__thiscall","ANALYSIS","false","false","","15","true"
"BlockDatabase.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BlockDatabase.dll","10001d87","Compact","RebuildBlockDatabase_c","int __thiscall Compact(void)","__thiscall","ANALYSIS","false","false","","50","true"
