Program,ExecutablePath,EntryPoint,Name,Namespace,Signature,CallingConvention,SourceType,IsExternal,IsThunk,ThunkTarget,BodyAddressCount,ReadableName
"GameData.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GameData.dll","1000100c","FUN_1000100c","Global","exception * __thiscall FUN_1000100c(byte param_1)","__thiscall","DEFAULT","false","false","","38","false"
"GameData.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GameData.dll","10001032","GetPosition","GameData::AutoContentPoint_t","Vector3_t __thiscall GetPosition(void)","__thiscall","ANALYSIS","false","false","","22","true"
"GameData.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GameData.dll","10001048","GetType","GameData::AutoContentPoint_t","AutoContentPointType_e __thiscall GetType(void)","__thiscall","ANALYSIS","false","false","","4","true"
"GameData.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GameData.dll","1000104c","AutoContentPoint_t","GameData::AutoContentPoint_t","undefined __thiscall AutoContentPoint_t(AutoContentPoint_t * param_1)","__thiscall","ANALYSIS","false","false","","37","true"
"GameData.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GameData.dll","10001071","operator=","GameData::AutoContentPoint_t","AutoContentPoint_t * __thiscall operator=(AutoContentPoint_t * param_1)","__thiscall","ANALYSIS","false","false","","31","true"
"GameData.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GameData.dll","10001090","FUN_10001090","Global","int * __thiscall FUN_10001090(byte param_1)","__thiscall","DEFAULT","false","false","","75","false"
"GameData.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GameData.dll","100010db","GetName","GameData::ACGEntranceData_t","basic_string<char,std::char_traits<char>,std::allocator<char>_> * __thiscall GetName(void)","__thiscall","ANALYSIS","false","false","","4","true"
"GameData.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GameData.dll","100010df","CanUseStyleList","GameData::ACGEntranceData_t","bool __thiscall CanUseStyleList(uint param_1)","__thiscall","ANALYSIS","false","false","","19","true"
"GameData.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GameData.dll","100010f2","SetStyleList","GameData::ACGEntranceData_t","void __thiscall SetStyleList(uint param_1)","__thiscall","ANALYSIS","false","false","","13","true"
"GameData.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GameData.dll","100010ff","GetDescription","GameData::DataStreamException_t","basic_string<char,std::char_traits<char>,std::allocator<char>_> * __thiscall GetDescription(void)","__thiscall","ANALYSIS","false","false","","4","true"
"GameData.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GameData.dll","10001103","CanUseStyle","GameData::ACGEntranceData_t","bool __thiscall CanUseStyle(uint param_1)","__thiscall","ANALYSIS","false","false","","24","true"
"GameData.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GameData.dll","1000111b","EnableStyle","GameData::ACGEntranceData_t","void __thiscall EnableStyle(uint param_1)","__thiscall","ANALYSIS","false","false","","21","true"
"GameData.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/GameData.dll","10001130","DisableStyle","GameData::ACGEntranceData_t","void __thiscall DisableStyle(uint param_1)","__thiscall","ANALYSIS","false","false","","23","true"
