Program,ExecutablePath,EntryPoint,Name,Namespace,Signature,CallingConvention,SourceType,IsExternal,IsThunk,ThunkTarget,BodyAddressCount,ReadableName
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","10001000","FUN_10001000","Global","undefined FUN_10001000(void)","unknown","DEFAULT","false","false","","20","false"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","10001014","FUN_10001014","Global","undefined FUN_10001014(void)","unknown","DEFAULT","false","false","","30","false"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","10001032","GetNumberOfWaters","PlayfieldAnarchy_t","int __thiscall GetNumberOfWaters(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","10001039","GetWaters","PlayfieldAnarchy_t","n3WaterData_t * __thiscall GetWaters(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","10001040","GetEnvironmentData","PlayfieldAnarchy_t","EnvironmentData_t * __thiscall GetEnvironmentData(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","10001047","GetIDRangeRemapper","PlayfieldAnarchy_t","IDRangeRemapper_t * __thiscall GetIDRangeRemapper(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","1000104e","GetPFWorldXPos","PlayfieldAnarchy_t","int __thiscall GetPFWorldXPos(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","10001055","GetPFWorldZPos","PlayfieldAnarchy_t","int __thiscall GetPFWorldZPos(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","1000105c","SetPFWorldXPos","PlayfieldAnarchy_t","void __thiscall SetPFWorldXPos(int param_1)","__thiscall","ANALYSIS","false","false","","16","true"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","1000106c","SetPFWorldZPos","PlayfieldAnarchy_t","void __thiscall SetPFWorldZPos(int param_1)","__thiscall","ANALYSIS","false","false","","16","true"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","1000107c","GetAreaInfo","PlayfieldAnarchy_t","PlayfieldAreaInfo_t * __thiscall GetAreaInfo(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","10001083","GetDistrictInfo","PlayfieldAnarchy_t","PlayfieldDistrictInfo_t * __thiscall GetDistrictInfo(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","1000108a","GetLandControlMap","PlayfieldAnarchy_t","LandControlMap_t * __thiscall GetLandControlMap(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","10001091","GetGameRunMode","PlayfieldAnarchy_t","GameRunMode_e __thiscall GetGameRunMode(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","10001098","SetGameRunMode","PlayfieldAnarchy_t","void __thiscall SetGameRunMode(GameRunMode_e param_1)","__thiscall","ANALYSIS","false","false","","16","true"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","100010a8","FUN_100010a8","Global","undefined FUN_100010a8(void)","unknown","DEFAULT","false","false","","87","false"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","100010ff","FUN_100010ff","Global","undefined FUN_100010ff(void)","unknown","DEFAULT","false","false","","117","false"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","10001174","FUN_10001174","Global","undefined FUN_10001174(void)","unknown","DEFAULT","false","false","","180","false"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","10001228","FUN_10001228","Global","undefined FUN_10001228(void)","unknown","DEFAULT","false","false","","39","false"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","1000124f","FUN_1000124f","Global","undefined FUN_1000124f(void)","unknown","DEFAULT","false","false","","182","false"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","10001305","FUN_10001305","Global","undefined FUN_10001305(void)","unknown","DEFAULT","false","false","","31","false"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","10001324","FUN_10001324","Global","undefined FUN_10001324(void)","unknown","DEFAULT","false","false","","95","false"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","1000138f","FUN_1000138f","Global","undefined FUN_1000138f(void)","unknown","DEFAULT","false","false","","38","false"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","100013b5","_Inside","std::basic_string<char,std::char_traits<char>,std::allocator<char>_>","bool __thiscall _Inside(char * param_1)","__thiscall","ANALYSIS","false","false","","59","true"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","100013f0","FUN_100013f0","Global","undefined FUN_100013f0(void)","unknown","DEFAULT","false","false","","38","false"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","10001416","FUN_10001416","Global","undefined FUN_10001416(void)","unknown","DEFAULT","false","false","","72","false"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","1000145e","FUN_1000145e","Global","undefined FUN_1000145e(void)","unknown","DEFAULT","false","false","","28","false"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","1000147a","FUN_1000147a","Global","undefined FUN_1000147a(void)","unknown","DEFAULT","false","false","","56","false"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","100014b2","_Tidy","std::basic_string<char,std::char_traits<char>,std::allocator<char>_>","void __thiscall _Tidy(bool param_1, uint param_2)","__thiscall","ANALYSIS","false","false","","68","true"
"Gamecode.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Gamecode.dll","100014f6","FUN_100014f6","Global","undefined FUN_100014f6(void)","unknown","DEFAULT","false","false","","122","false"
