Program,ExecutablePath,EntryPoint,Name,Namespace,Signature,CallingConvention,SourceType,IsExternal,IsThunk,ThunkTarget,BodyAddressCount,ReadableName
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10001000","png_set_sig_bytes","Global","undefined __cdecl png_set_sig_bytes(int param_1, int param_2)","__cdecl","IMPORTED","false","false","","46","true"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10001030","png_sig_cmp","Global","undefined __cdecl png_sig_cmp(int param_1, uint param_2, uint param_3)","__cdecl","IMPORTED","false","false","","245","true"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10001130","FUN_10001130","Global","void * __cdecl FUN_10001130(int param_1, uint param_2, uint param_3)","__cdecl","DEFAULT","false","false","","81","false"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10001190","png_free","Global","undefined __cdecl png_free(int param_1, void * param_2)","__cdecl","IMPORTED","false","false","","47","true"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","100011c0","FUN_100011c0","Global","undefined __fastcall FUN_100011c0(uint param_1, uint * param_2)","__fastcall","DEFAULT","false","false","","58","false"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10001200","png_create_info_struct","Global","undefined __cdecl png_create_info_struct(int param_1)","__cdecl","IMPORTED","false","false","","143","true"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10001290","png_destroy_info_struct","Global","undefined __cdecl png_destroy_info_struct(int param_1, undefined4 * param_2)","__cdecl","IMPORTED","false","false","","113","true"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10001310","png_info_init_3","Global","undefined __cdecl png_info_init_3(undefined4 * param_1, uint param_2)","__cdecl","IMPORTED","false","false","","113","true"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10001390","png_data_freer","Global","undefined __cdecl png_data_freer(int param_1, int param_2, int param_3, uint param_4)","__cdecl","IMPORTED","false","false","","70","true"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","100013e0","png_free_data","Global","undefined __cdecl png_free_data(int param_1, int param_2, uint param_3, int param_4)","__cdecl","IMPORTED","false","false","","1436","true"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10001980","FUN_10001980","Global","undefined __stdcall FUN_10001980(void)","__stdcall","DEFAULT","false","false","","132","false"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10001a10","png_get_io_ptr","Global","undefined4 __cdecl png_get_io_ptr(int param_1)","__cdecl","IMPORTED","false","false","","17","true"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10001a30","png_init_io","Global","undefined __cdecl png_init_io(int param_1, undefined4 param_2)","__cdecl","IMPORTED","false","false","","18","true"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10001a50","png_convert_to_rfc1123","Global","undefined4 __cdecl png_convert_to_rfc1123(int param_1, ushort * param_2)","__cdecl","IMPORTED","false","false","","202","true"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10001b20","png_get_copyright","Global","char * __stdcall png_get_copyright(void)","__stdcall","IMPORTED","false","false","","6","true"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10001b30","png_get_header_ver","Global","undefined1 * __stdcall png_get_header_ver(void)","__stdcall","IMPORTED","false","false","","6","true"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10001b40","png_get_header_version","Global","char * __stdcall png_get_header_version(void)","__stdcall","IMPORTED","false","false","","6","true"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10001b50","png_handle_as_unknown","Global","undefined1 __cdecl png_handle_as_unknown(int param_1, int * param_2)","__cdecl","IMPORTED","false","false","","73","true"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10001ba0","png_reset_zstream","Global","undefined4 __cdecl png_reset_zstream(int param_1)","__cdecl","IMPORTED","false","false","","31","true"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10001bc0","png_access_version_number","Global","undefined4 __stdcall png_access_version_number(void)","__stdcall","IMPORTED","false","false","","6","true"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10001bd0","FUN_10001bd0","Global","undefined4 __fastcall FUN_10001bd0(int param_1, int param_2, int param_3, int param_4, int param_5, int param_6, int param_7, int param_8)","__fastcall","DEFAULT","false","false","","560","false"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10001e00","FUN_10001e00","Global","undefined __cdecl FUN_10001e00(uint param_1, int param_2, int param_3, int param_4, int param_5, int param_6)","__cdecl","DEFAULT","false","false","","537","false"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10002020","FUN_10002020","Global","uint __fastcall FUN_10002020(undefined4 param_1, int param_2, uint * param_3, uint * param_4)","__fastcall","DEFAULT","false","false","","139","false"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10002160","FUN_10002160","Global","undefined4 __stdcall FUN_10002160(void)","__stdcall","DEFAULT","false","false","","75","false"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","100021b0","FUN_100021b0","Global","float10 __stdcall FUN_100021b0(void)","__stdcall","DEFAULT","false","false","","73","false"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10002200","FUN_10002200","Global","undefined __thiscall FUN_10002200(char * param_1, int param_2, double param_3)","__thiscall","DEFAULT","false","false","","1273","false"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10002700","FUN_10002700","Global","undefined __fastcall FUN_10002700(uint param_1, char * param_2, int param_3)","__fastcall","DEFAULT","false","false","","243","false"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10002800","FUN_10002800","Global","ulonglong __cdecl FUN_10002800(double param_1)","__cdecl","DEFAULT","false","false","","175","false"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","100028b0","FUN_100028b0","Global","undefined8 __cdecl FUN_100028b0(int param_1, int param_2, int param_3)","__cdecl","DEFAULT","false","false","","122","false"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10002930","FUN_10002930","Global","ulonglong __cdecl FUN_10002930(int param_1)","__cdecl","DEFAULT","false","false","","74","false"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10002980","FUN_10002980","Global","ulonglong __cdecl FUN_10002980(int param_1, int param_2)","__cdecl","DEFAULT","false","false","","77","false"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","100029d0","FUN_100029d0","Global","ulonglong __cdecl FUN_100029d0(int param_1, int param_2)","__cdecl","DEFAULT","false","false","","77","false"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10002a20","FUN_10002a20","Global","undefined __stdcall FUN_10002a20(void)","__stdcall","DEFAULT","false","false","","110","false"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10002a90","FUN_10002a90","Global","undefined __stdcall FUN_10002a90(void)","__stdcall","DEFAULT","false","false","","111","false"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10002b00","FUN_10002b00","Global","undefined __cdecl FUN_10002b00(int param_1, undefined4 * param_2, int param_3, int param_4)","__cdecl","DEFAULT","false","false","","402","false"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10002ca0","FUN_10002ca0","Global","uint __cdecl FUN_10002ca0(undefined4 * param_1, byte param_2)","__cdecl","DEFAULT","false","false","","445","false"
"Image.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Image.dll","10002e60","FUN_10002e60","Global","undefined __cdecl FUN_10002e60(undefined4 * param_1, int param_2)","__cdecl","DEFAULT","false","false","","263","false"
