Program,ExecutablePath,EntryPoint,Name,Namespace,Signature,CallingConvention,SourceType,IsExternal,IsThunk,ThunkTarget,BodyAddressCount,ReadableName
"Interfaces.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Interfaces.dll","10001000","FUN_10001000","Global","DWORD __stdcall FUN_10001000(void)","__stdcall","DEFAULT","false","false","","25","false"
"Interfaces.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Interfaces.dll","10001025","FUN_10001025","Global","exception * __thiscall FUN_10001025(byte param_1)","__thiscall","DEFAULT","false","false","","38","false"
"Interfaces.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Interfaces.dll","1000104b","~PixelConverter_t","PixelConverter_t","void __thiscall ~PixelConverter_t(void)","__thiscall","ANALYSIS","false","false","","1","true"
"Interfaces.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Interfaces.dll","1000104c","FUN_1000104c","Global","undefined __fastcall FUN_1000104c(undefined4 * param_1)","__fastcall","DEFAULT","false","false","","25","false"
"Interfaces.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Interfaces.dll","10001065","FUN_10001065","Global","int __thiscall FUN_10001065(uint param_1)","__thiscall","DEFAULT","false","false","","59","false"
"Interfaces.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Interfaces.dll","100010a0","FUN_100010a0","Global","undefined __fastcall FUN_100010a0(undefined4 * param_1)","__fastcall","DEFAULT","false","false","","7","false"
"Interfaces.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Interfaces.dll","100010a7","FUN_100010a7","Global","undefined4 __stdcall FUN_100010a7(void)","__stdcall","DEFAULT","false","false","","6","false"
"Interfaces.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Interfaces.dll","100010ad","FUN_100010ad","Global","undefined4 * __thiscall FUN_100010ad(byte param_1)","__thiscall","DEFAULT","false","false","","32","false"
"Interfaces.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Interfaces.dll","100010cd","FUN_100010cd","Global","undefined __fastcall FUN_100010cd(int param_1)","__fastcall","DEFAULT","false","false","","12","false"
"Interfaces.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Interfaces.dll","100010d9","GetInstanceIfAny","Client_t","Client_t * __cdecl GetInstanceIfAny(void)","__cdecl","ANALYSIS","false","false","","6","true"
"Interfaces.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Interfaces.dll","100010df","Receive","Client_t","int __thiscall Receive(int param_1, Connection_t * param_2, uint param_3, void * param_4)","__thiscall","ANALYSIS","false","false","","6","true"
"Interfaces.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Interfaces.dll","100010e5","IsModuleActive","Client_t","bool __thiscall IsModuleActive(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Interfaces.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Interfaces.dll","100010ec","GetConnectionAddr","Client_t","ACE_INET_Addr * __thiscall GetConnectionAddr(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Interfaces.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Interfaces.dll","100010f3","GetServerID","Client_t","uint __thiscall GetServerID(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Interfaces.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Interfaces.dll","100010fa","GetN3Status","Client_t","basic_string<char,std::char_traits<char>,std::allocator<char>_> * __thiscall GetN3Status(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Interfaces.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Interfaces.dll","10001101","GetClientStatus","Client_t","basic_string<char,std::char_traits<char>,std::allocator<char>_> * __thiscall GetClientStatus(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Interfaces.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Interfaces.dll","10001108","GetServerStatus","Client_t","basic_string<char,std::char_traits<char>,std::allocator<char>_> * __thiscall GetServerStatus(void)","__thiscall","ANALYSIS","false","false","","7","true"
"Interfaces.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Interfaces.dll","1000110f","GetCharID","Client_t","uint __cdecl GetCharID(void)","__cdecl","ANALYSIS","false","false","","6","true"
"Interfaces.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Interfaces.dll","10001115","SetCharID","Client_t","void __cdecl SetCharID(uint param_1)","__cdecl","ANALYSIS","false","false","","13","true"
"Interfaces.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Interfaces.dll","10001122","SetCookies","Client_t","void __cdecl SetCookies(uint param_1, uint param_2)","__cdecl","ANALYSIS","false","false","","21","true"
"Interfaces.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Interfaces.dll","10001137","GetCookies","Client_t","void __cdecl GetCookies(uint * param_1, uint * param_2)","__cdecl","ANALYSIS","false","false","","27","true"
"Interfaces.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Interfaces.dll","10001152","SetRedirectData","Client_t","void __cdecl SetRedirectData(uint param_1, uint param_2)","__cdecl","ANALYSIS","false","false","","21","true"
"Interfaces.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Interfaces.dll","10001167","SetLHData","Client_t","void __cdecl SetLHData(uint param_1, uint param_2)","__cdecl","ANALYSIS","false","false","","21","true"
