Program,ExecutablePath,EntryPoint,Name,Namespace,Signature,CallingConvention,SourceType,IsExternal,IsThunk,ThunkTarget,BodyAddressCount,ReadableName
"N3.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/N3.dll","10001000","GetInstance","n3Playfield_t","uint __thiscall GetInstance(void)","__thiscall","ANALYSIS","false","false","","4","true"
"N3.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/N3.dll","10001004","GetGeneratorData","n3Playfield_t","DbObject_t * __thiscall GetGeneratorData(void)","__thiscall","ANALYSIS","false","false","","7","true"
"N3.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/N3.dll","1000100b","IsDying","n3Playfield_t","bool __thiscall IsDying(void)","__thiscall","ANALYSIS","false","false","","4","true"
"N3.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/N3.dll","1000100f","GetOrgZoneIDList","n3Playfield_t","vector<int,std::allocator<int>_> * __thiscall GetOrgZoneIDList(void)","__thiscall","ANALYSIS","false","false","","7","true"
"N3.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/N3.dll","10001016","GetPlayfieldInstanceID","n3Dynel_t","uint __thiscall GetPlayfieldInstanceID(void)","__thiscall","ANALYSIS","false","false","","4","true"
"N3.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/N3.dll","1000101a","GetSpace","n3Playfield_t","Space_i * __thiscall GetSpace(void)","__thiscall","ANALYSIS","false","false","","4","true"
"N3.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/N3.dll","1000101e","GetPathfinder","n3Playfield_t","Pathfinder_i * __thiscall GetPathfinder(void)","__thiscall","ANALYSIS","false","false","","4","true"
"N3.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/N3.dll","10001022","GetStartingRoom","n3Playfield_t","n3Room_t * __thiscall GetStartingRoom(void)","__thiscall","ANALYSIS","false","false","","9","true"
"N3.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/N3.dll","1000102b","GetLastEntranceDoorNo","n3Playfield_t","int __thiscall GetLastEntranceDoorNo(void)","__thiscall","ANALYSIS","false","false","","4","true"
"N3.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/N3.dll","1000102f","GetRoomLinks","n3Playfield_t","map<int,std::vector<n3Playfield_t::RoomStatusPair_t,std::allocator<n3Playfield_t::RoomStatusPair_t>_>*,std::less<int>,std::allocator<std::pair<int_const_,std::vector<n3Playfield_t::RoomStatusPair_t,std::allocator<n3Playfield_t::RoomStatusPair_t>_>*>_>_> * __thiscall GetRoomLinks(void)","__thiscall","ANALYSIS","false","false","","4","true"
"N3.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/N3.dll","10001033","GetDynelChildren","n3Playfield_t","vector<n3Dynel_t*,std::allocator<n3Dynel_t*>_> * __thiscall GetDynelChildren(void)","__thiscall","ANALYSIS","false","false","","4","true"
"N3.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/N3.dll","10001037","GetFrameCount","n3Engine_t","int __thiscall GetFrameCount(void)","__thiscall","ANALYSIS","false","false","","4","true"
"N3.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/N3.dll","1000103b","GetNumOrgZones","n3Playfield_t","int __thiscall GetNumOrgZones(void)","__thiscall","ANALYSIS","false","false","","7","true"
"N3.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/N3.dll","10001042","SetNumOrgZones","n3Playfield_t","void __thiscall SetNumOrgZones(int param_1)","__thiscall","ANALYSIS","false","false","","16","true"
"N3.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/N3.dll","10001052","GetPlayfields","n3Playfield_t","map<unsigned_int,n3Playfield_t*,std::less<unsigned_int>,std::allocator<std::pair<unsigned_int_const_,n3Playfield_t*>_>_> * __cdecl GetPlayfields(void)","__cdecl","ANALYSIS","false","false","","6","true"
