Program,ExecutablePath,EntryPoint,Name,Namespace,Signature,CallingConvention,SourceType,IsExternal,IsThunk,ThunkTarget,BodyAddressCount,ReadableName
"PathFinder.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/PathFinder.dll","1000100c","FUN_1000100c","Global","exception * __thiscall FUN_1000100c(byte param_1)","__thiscall","DEFAULT","false","false","","38","false"
"PathFinder.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/PathFinder.dll","10001032","FUN_10001032","Global","undefined __thiscall FUN_10001032(float * param_1, float * param_2)","__thiscall","DEFAULT","false","false","","62","false"
"PathFinder.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/PathFinder.dll","10001070","FUN_10001070","Global","float10 __fastcall FUN_10001070(float * param_1)","__fastcall","DEFAULT","false","false","","38","false"
"PathFinder.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/PathFinder.dll","10001096","Pathfinder_i","Pathfinder_i","undefined __thiscall Pathfinder_i(Pathfinder_i * param_1)","__thiscall","ANALYSIS","false","false","","11","true"
"PathFinder.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/PathFinder.dll","100010a1","FID_conflict:`vector_deleting_destructor'","Global","Pathfinder_i * __thiscall FID_conflict:`vector_deleting_destructor'(byte param_1)","__thiscall","ANALYSIS","false","false","","74","true"
"PathFinder.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/PathFinder.dll","100010eb","GetPos","VisibilityNode_t","Vector3_t * __thiscall GetPos(void)","__thiscall","ANALYSIS","false","false","","4","true"
"PathFinder.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/PathFinder.dll","100010ef","FID_conflict:`vector_deleting_destructor'","Global","VisibilityNode_t * __thiscall FID_conflict:`vector_deleting_destructor'(byte param_1)","__thiscall","ANALYSIS","false","false","","74","true"
"PathFinder.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/PathFinder.dll","10001139","ANode_t","ANode_t","undefined __thiscall ANode_t(void)","__thiscall","ANALYSIS","false","false","","25","true"
"PathFinder.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/PathFinder.dll","10001152","ANode_t","ANode_t","undefined __thiscall ANode_t(VisibilityNode_t * param_1)","__thiscall","ANALYSIS","false","false","","34","true"
"PathFinder.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/PathFinder.dll","10001174","ClearEstimates","ANode_t","void __thiscall ClearEstimates(void)","__thiscall","ANALYSIS","false","false","","23","true"
