Program,ExecutablePath,EntryPoint,Name,Namespace,Signature,CallingConvention,SourceType,IsExternal,IsThunk,ThunkTarget,BodyAddressCount,ReadableName
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001000","GetArgCount","SlotBase_c","int __thiscall GetArgCount(void)","__thiscall","ANALYSIS","false","false","","4","true"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001004","GetCode","Message","int __thiscall GetCode(void)","__thiscall","ANALYSIS","false","false","","4","true"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001008","GetNextInSignal","SlotBase_c","SlotBase_c * __thiscall GetNextInSignal(void)","__thiscall","ANALYSIS","false","false","","4","true"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","1000100c","GetPrevInSignal","SlotBase_c","SlotBase_c * __thiscall GetPrevInSignal(void)","__thiscall","ANALYSIS","false","false","","4","true"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001010","Empty","SignalBase_c","bool __thiscall Empty(void)","__thiscall","ANALYSIS","false","false","","8","true"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001018","GetObjectList","ObjectMonitor_c","list<BaseObject_c*,std::allocator<BaseObject_c*>_> * __thiscall GetObjectList(void)","__thiscall","ANALYSIS","false","false","","4","true"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","1000101c","FID_conflict:`vector_deleting_destructor'","Global","ObjectMonitor_c * __thiscall FID_conflict:`vector_deleting_destructor'(byte param_1)","__thiscall","ANALYSIS","false","false","","74","true"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001072","FUN_10001072","Global","exception * __thiscall FUN_10001072(byte param_1)","__thiscall","DEFAULT","false","false","","38","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001098","FUN_10001098","Global","exception * __thiscall FUN_10001098(exception * param_1)","__thiscall","DEFAULT","false","false","","28","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","100010b4","ObjectMonitor_c","ObjectMonitor_c","undefined __thiscall ObjectMonitor_c(void)","__thiscall","ANALYSIS","false","false","","78","true"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001102","FUN_10001102","Global","undefined4 __stdcall FUN_10001102(void)","__stdcall","DEFAULT","false","false","","124","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","1000117e","Catch_All@1000117e","Global","undefined __stdcall Catch_All@1000117e(void)","__stdcall","ANALYSIS","false","false","","20","true"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001193","FUN_10001193","Global","undefined __thiscall FUN_10001193(int param_1)","__thiscall","DEFAULT","false","false","","97","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","100011f4","~BaseObject_c","BaseObject_c","void __thiscall ~BaseObject_c(void)","__thiscall","ANALYSIS","false","false","","74","true"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","1000123e","BaseObject_c","BaseObject_c","undefined __thiscall BaseObject_c(void)","__thiscall","ANALYSIS","false","false","","38","true"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001264","FUN_10001264","Global","void * __stdcall FUN_10001264(void)","__stdcall","DEFAULT","false","false","","77","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","100012b1","Catch_All@100012b1","Global","undefined __stdcall Catch_All@100012b1(void)","__stdcall","ANALYSIS","false","false","","28","true"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","100012ce","FUN_100012ce","Global","void * __thiscall FUN_100012ce(void * param_1)","__thiscall","DEFAULT","false","false","","47","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","100012fd","FID_conflict:`vector_deleting_destructor'","Global","BaseObject_c * __thiscall FID_conflict:`vector_deleting_destructor'(byte param_1)","__thiscall","ANALYSIS","false","false","","74","true"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001347","BaseObject_c","BaseObject_c","undefined __thiscall BaseObject_c(BaseObject_c * param_1)","__thiscall","ANALYSIS","false","false","","34","true"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001369","operator=","BaseObject_c","BaseObject_c * __thiscall operator=(BaseObject_c * param_1)","__thiscall","ANALYSIS","false","false","","28","true"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001385","FUN_10001385","Global","undefined __stdcall FUN_10001385(__time64_t * param_1)","__stdcall","DEFAULT","false","false","","10","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001399","GetDateString","Global","basic_string<char,std::char_traits<char>,std::allocator<char>_> __cdecl GetDateString(__int64 param_1, uint param_2)","__cdecl","ANALYSIS","false","false","","155","true"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001434","GetDurationString","Global","basic_string<char,std::char_traits<char>,std::allocator<char>_> __cdecl GetDurationString(__int64 param_1)","__cdecl","ANALYSIS","false","false","","389","true"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","100015b9","FUN_100015b9","Global","undefined __fastcall FUN_100015b9(int param_1)","__fastcall","DEFAULT","false","false","","61","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","100015f6","FUN_100015f6","Global","uint __stdcall FUN_100015f6(byte param_1)","__stdcall","DEFAULT","false","false","","44","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001622","FUN_10001622","Global","undefined4 * __thiscall FUN_10001622(int * param_1)","__thiscall","DEFAULT","false","false","","38","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001648","FUN_10001648","Global","undefined __fastcall FUN_10001648(int * param_1)","__fastcall","DEFAULT","false","false","","23","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","1000165f","_Inside","std::basic_string<char,std::char_traits<char>,std::allocator<char>_>","bool __thiscall _Inside(char * param_1)","__thiscall","ANALYSIS","false","false","","59","true"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","1000169a","FUN_1000169a","Global","int * __cdecl FUN_1000169a(int * param_1, undefined4 * param_2)","__cdecl","DEFAULT","false","false","","42","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","100016c4","FUN_100016c4","Global","undefined __cdecl FUN_100016c4(char * param_1)","__cdecl","DEFAULT","false","false","","72","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","1000170c","FUN_1000170c","Global","undefined __fastcall FUN_1000170c(basic_streambuf<char,std::char_traits<char>_> * param_1)","__fastcall","DEFAULT","false","false","","23","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001723","FUN_10001723","Global","uint __fastcall FUN_10001723(int param_1)","__fastcall","DEFAULT","false","false","","93","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001780","FUN_10001780","Global","int __thiscall FUN_10001780(int param_1)","__thiscall","DEFAULT","false","false","","75","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","100017cb","FUN_100017cb","Global","undefined __thiscall FUN_100017cb(uint * param_1, uint param_2, uint param_3, int param_4, uint param_5)","__thiscall","DEFAULT","false","false","","396","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001957","FUN_10001957","Global","undefined __thiscall FUN_10001957(uint * param_1, uint param_2, int param_3, uint param_4)","__thiscall","DEFAULT","false","false","","269","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001a64","FUN_10001a64","Global","basic_streambuf<char,std::char_traits<char>_> * __thiscall FUN_10001a64(byte param_1)","__thiscall","DEFAULT","false","false","","31","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001a83","FUN_10001a83","Global","void * __stdcall FUN_10001a83(void)","__stdcall","DEFAULT","false","false","","93","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001ae0","FUN_10001ae0","Global","undefined __stdcall FUN_10001ae0(void)","__stdcall","DEFAULT","false","false","","63","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001b1f","FUN_10001b1f","Global","int * __stdcall FUN_10001b1f(void)","__stdcall","DEFAULT","false","false","","376","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001c97","Catch_All@10001c97","Global","undefined * __stdcall Catch_All@10001c97(void)","__stdcall","ANALYSIS","false","false","","30","true"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001cbd","FUN_10001cbd","Global","undefined __stdcall FUN_10001cbd(void)","__stdcall","DEFAULT","false","false","","72","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001d05","FUN_10001d05","Global","int __thiscall FUN_10001d05(int param_1)","__thiscall","DEFAULT","false","false","","405","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001e9a","_Tidy","std::basic_string<char,std::char_traits<char>,std::allocator<char>_>","void __thiscall _Tidy(bool param_1, uint param_2)","__thiscall","ANALYSIS","false","false","","68","true"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001ede","FUN_10001ede","Global","basic_streambuf<char,std::char_traits<char>_> * __stdcall FUN_10001ede(void)","__stdcall","DEFAULT","false","false","","60","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001f1a","FUN_10001f1a","Global","undefined4 * __thiscall FUN_10001f1a(uint param_1, uint param_2)","__thiscall","DEFAULT","false","false","","122","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001f94","FUN_10001f94","Global","undefined __stdcall FUN_10001f94(void)","__stdcall","DEFAULT","false","false","","101","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10001ff9","Catch_All@10001ff9","Global","undefined * __stdcall Catch_All@10001ff9(void)","__stdcall","ANALYSIS","false","false","","33","true"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10002020","FUN_10002020","Global","undefined __stdcall FUN_10002020(void)","__stdcall","DEFAULT","false","false","","82","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10002072","Catch_All@10002072","Global","undefined __stdcall Catch_All@10002072(void)","__stdcall","ANALYSIS","false","false","","20","true"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10002087","FUN_10002087","Global","undefined __fastcall FUN_10002087(int param_1)","__fastcall","DEFAULT","false","false","","35","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","100020aa","FUN_100020aa","Global","basic_ostream<char,std::char_traits<char>_> * __stdcall FUN_100020aa(void)","__stdcall","DEFAULT","false","false","","125","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10002127","FUN_10002127","Global","void * __thiscall FUN_10002127(byte param_1)","__thiscall","DEFAULT","false","false","","34","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10002149","FUN_10002149","Global","bool __thiscall FUN_10002149(uint param_1, char param_2)","__thiscall","DEFAULT","false","false","","101","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","100021ae","FUN_100021ae","Global","undefined4 * __thiscall FUN_100021ae(undefined4 * param_1, uint param_2, uint param_3)","__thiscall","DEFAULT","false","false","","154","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10002248","assign","std::basic_string<char,std::char_traits<char>,std::allocator<char>_>","basic_string<char,struct_std::char_traits<char>,class_std::allocator<char>_> * __thiscall assign(char * param_1, uint param_2)","__thiscall","ANALYSIS","false","false","","117","true"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","100022bd","basic_string<char,std::char_traits<char>,std::allocator<char>_>","std::basic_string<char,std::char_traits<char>,std::allocator<char>_>","undefined __thiscall basic_string<char,std::char_traits<char>,std::allocator<char>_>(char * param_1, uint param_2)","__thiscall","ANALYSIS","false","false","","38","true"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","100022e3","FUN_100022e3","Global","undefined __thiscall FUN_100022e3(char * param_1)","__thiscall","DEFAULT","false","false","","33","false"
"Utils.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/Utils.dll","10002304","basic_string<>","Global","undefined1 * __thiscall basic_string<>(char * param_1)","__thiscall","ANALYSIS","false","false","","35","true"
