Program,ExecutablePath,EntryPoint,Name,Namespace,Signature,CallingConvention,SourceType,IsExternal,IsThunk,ThunkTarget,BodyAddressCount,ReadableName
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","10001000","TilePos_c","TilePos_c","undefined __thiscall TilePos_c(void)","__thiscall","ANALYSIS","false","false","","25","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","10001019","TilePos_c","TilePos_c","undefined __thiscall TilePos_c(int param_1, int param_2)","__thiscall","ANALYSIS","false","false","","31","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","10001038","operator+","TilePos_c","TilePos_c __thiscall operator+(TilePos_c * param_1)","__thiscall","ANALYSIS","false","false","","54","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","1000106e","operator-","TilePos_c","TilePos_c __thiscall operator-(TilePos_c * param_1)","__thiscall","ANALYSIS","false","false","","54","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","100010a4","operator+=","TilePos_c","TilePos_c * __thiscall operator+=(TilePos_c * param_1)","__thiscall","ANALYSIS","false","false","","47","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","100010d3","operator-=","TilePos_c","TilePos_c * __thiscall operator-=(TilePos_c * param_1)","__thiscall","ANALYSIS","false","false","","47","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","10001102","operator<","TilePos_c","bool __thiscall operator<(TilePos_c * param_1)","__thiscall","ANALYSIS","false","false","","81","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","10001153","operator==","TilePos_c","bool __thiscall operator==(TilePos_c * param_1)","__thiscall","ANALYSIS","false","false","","54","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","10001189","operator=","TilePos_c","TilePos_c * __thiscall operator=(TilePos_c * param_1)","__thiscall","ANALYSIS","false","false","","30","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","100011a7","GetTilePos","BaseClientHouseData_t","TilePos_c __thiscall GetTilePos(void)","__thiscall","ANALYSIS","false","false","","91","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","10001202","FUN_10001202","Global","undefined __cdecl FUN_10001202(float param_1)","__cdecl","DEFAULT","false","false","","18","false"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","10001214","FUN_10001214","Global","float10 __cdecl FUN_10001214(float param_1)","__cdecl","DEFAULT","false","false","","27","false"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","1000122f","BaseClientHouseData_t","BaseClientHouseData_t","undefined __thiscall BaseClientHouseData_t(void)","__thiscall","ANALYSIS","false","false","","31","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","1000124e","FUN_1000124e","Global","undefined4 * __fastcall FUN_1000124e(undefined4 * param_1)","__fastcall","DEFAULT","false","false","","35","false"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","10001271","BaseClientHouseData_t","BaseClientHouseData_t","undefined __thiscall BaseClientHouseData_t(BaseClientHouseData_t * param_1)","__thiscall","ANALYSIS","false","false","","69","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","100012b6","FUN_100012b6","Global","undefined4 * __thiscall FUN_100012b6(undefined4 * param_1)","__thiscall","DEFAULT","false","false","","36","false"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","100012da","operator=","BaseClientHouseData_t","BaseClientHouseData_t * __thiscall operator=(BaseClientHouseData_t * param_1)","__thiscall","ANALYSIS","false","false","","29","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","100012f7","AssignFromBase","ClientHouseData_t","void __thiscall AssignFromBase(BaseClientHouseData_t * param_1)","__thiscall","ANALYSIS","false","false","","66","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","10001339","ClientHouseData_t","ClientHouseData_t","undefined __thiscall ClientHouseData_t(ClientHouseData_t * param_1)","__thiscall","ANALYSIS","false","false","","55","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","10001370","operator=","ClientHouseData_t","ClientHouseData_t * __thiscall operator=(ClientHouseData_t * param_1)","__thiscall","ANALYSIS","false","false","","59","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","100013ab","~HouseSurface_c","HouseSurface_c","void __thiscall ~HouseSurface_c(void)","__thiscall","ANALYSIS","false","false","","18","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","100013bd","HouseSurface_c","HouseSurface_c","undefined __thiscall HouseSurface_c(HouseSurface_c * param_1)","__thiscall","ANALYSIS","false","false","","96","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","1000141d","operator=","HouseSurface_c","HouseSurface_c * __thiscall operator=(HouseSurface_c * param_1)","__thiscall","ANALYSIS","false","false","","87","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","10001474","FUN_10001474","Global","HouseSurface_c * __thiscall FUN_10001474(uint param_1)","__thiscall","DEFAULT","false","false","","97","false"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","100014d5","House_c","House_c","undefined __thiscall House_c(House_c * param_1)","__thiscall","ANALYSIS","false","false","","208","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","100015a5","operator=","House_c","House_c * __thiscall operator=(House_c * param_1)","__thiscall","ANALYSIS","false","false","","169","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","1000164e","~PlayfieldCityHolderServer_c","PlayfieldCityHolderServer_c","void __thiscall ~PlayfieldCityHolderServer_c(void)","__thiscall","ANALYSIS","false","false","","131","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","100016d1","FUN_100016d1","Global","undefined __fastcall FUN_100016d1(TilePos_c * param_1)","__fastcall","DEFAULT","false","false","","17","false"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","100016e2","FUN_100016e2","Global","undefined __fastcall FUN_100016e2(TilePos_c * param_1)","__fastcall","DEFAULT","false","false","","17","false"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","100016f3","~CityFactory_c","CityFactory_c","void __thiscall ~CityFactory_c(void)","__thiscall","ANALYSIS","false","false","","18","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","10001705","CityFactory_c","CityFactory_c","undefined __thiscall CityFactory_c(void)","__thiscall","ANALYSIS","false","false","","21","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","1000171a","CityFactory_c","CityFactory_c","undefined __thiscall CityFactory_c(CityFactory_c * param_1)","__thiscall","ANALYSIS","false","false","","23","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","10001731","FUN_10001731","Global","CityFactory_c * __thiscall FUN_10001731(uint param_1)","__thiscall","DEFAULT","false","false","","97","false"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","10001792","~HouseLayout_c","HouseLayout_c","void __thiscall ~HouseLayout_c(void)","__thiscall","ANALYSIS","false","false","","20","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","100017a6","operator=","HouseLayout_c","HouseLayout_c * __thiscall operator=(HouseLayout_c * param_1)","__thiscall","ANALYSIS","false","false","","90","true"
"city.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/city.dll","10001800","`copy_constructor_closure'","HouseLayout_c","void __thiscall `copy_constructor_closure'(HouseLayout_c * param_1)","__thiscall","ANALYSIS","false","false","","24","true"
