Program,ExecutablePath,EntryPoint,Name,Namespace,Signature,CallingConvention,SourceType,IsExternal,IsThunk,ThunkTarget,BodyAddressCount,ReadableName
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","1000100c","FUN_1000100c","Global","exception * __thiscall FUN_1000100c(byte param_1)","__thiscall","DEFAULT","false","false","","38","false"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","10001032","FUN_10001032","Global","undefined __stdcall FUN_10001032(void)","__stdcall","DEFAULT","false","false","","1","false"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","10001033","FormatTime","FormatTime","undefined __thiscall FormatTime(uint param_1, uint param_2, uint param_3, uint param_4)","__thiscall","ANALYSIS","false","false","","32","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","10001053","operator=","FormatTime","FormatTime * __thiscall operator=(FormatTime * param_1)","__thiscall","ANALYSIS","false","false","","22","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","10001069","RemoteEntry","RemoteEntry","undefined __thiscall RemoteEntry(uint param_1, uint param_2)","__thiscall","ANALYSIS","false","false","","20","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","1000107d","operator=","RemoteEntry","RemoteEntry * __thiscall operator=(RemoteEntry * param_1)","__thiscall","ANALYSIS","false","false","","22","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","10001093","operator<<","LDBformat","LDBformat * __thiscall operator<<(int param_1)","__thiscall","ANALYSIS","false","false","","9","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","1000109c","operator<<","LDBformat","LDBformat * __thiscall operator<<(uint param_1)","__thiscall","ANALYSIS","false","false","","9","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","100010a5","operator<<","LDBformat","LDBformat * __thiscall operator<<(float param_1)","__thiscall","ANALYSIS","false","false","","19","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","100010b8","operator<<","LDBformat","LDBformat * __thiscall operator<<(char * param_1)","__thiscall","ANALYSIS","false","false","","9","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","100010c1","operator<<","LDBformat","LDBformat * __thiscall operator<<(basic_string<char,std::char_traits<char>,std::allocator<char>_> * param_1)","__thiscall","ANALYSIS","false","false","","9","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","100010ca","operator<<","LDBformat","LDBformat * __thiscall operator<<(FormatTime * param_1)","__thiscall","ANALYSIS","false","false","","9","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","100010d3","operator<<","RemoteFormat","RemoteFormat * __thiscall operator<<(int param_1)","__thiscall","ANALYSIS","false","false","","9","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","100010dc","operator<<","RemoteFormat","RemoteFormat * __thiscall operator<<(uint param_1)","__thiscall","ANALYSIS","false","false","","9","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","100010e5","operator<<","RemoteFormat","RemoteFormat * __thiscall operator<<(float param_1)","__thiscall","ANALYSIS","false","false","","19","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","100010f8","operator<<","RemoteFormat","RemoteFormat * __thiscall operator<<(char * param_1)","__thiscall","ANALYSIS","false","false","","9","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","10001101","operator<<","RemoteFormat","RemoteFormat * __thiscall operator<<(basic_string<char,std::char_traits<char>,std::allocator<char>_> * param_1)","__thiscall","ANALYSIS","false","false","","9","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","1000110a","operator<<","RemoteFormat","RemoteFormat * __thiscall operator<<(RemoteEntry * param_1)","__thiscall","ANALYSIS","false","false","","9","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","10001113","operator<<","RemoteFormat","RemoteFormat * __thiscall operator<<(RemoteFormat * param_1)","__thiscall","ANALYSIS","false","false","","9","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","1000111c","operator<<","RemoteFormat","RemoteFormat * __thiscall operator<<(ArgType * param_1)","__thiscall","ANALYSIS","false","false","","9","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","10001125","RemoteFormat","RemoteFormat","undefined __thiscall RemoteFormat(RemoteFormat * param_1)","__thiscall","ANALYSIS","false","false","","47","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","10001154","operator=","RemoteFormat","RemoteFormat * __thiscall operator=(RemoteFormat * param_1)","__thiscall","ANALYSIS","false","false","","47","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","10001183","MapMDBfileINT","LDBface","int __thiscall MapMDBfileINT(char * param_1)","__thiscall","ANALYSIS","false","false","","33","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","100011a4","ElfHash","LDBface","ulong __cdecl ElfHash(uchar * param_1)","__cdecl","ANALYSIS","false","false","","54","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","100011da","WriteBigEndian","LDBface","void __thiscall WriteBigEndian(uchar * param_1, uint param_2)","__thiscall","ANALYSIS","false","false","","39","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","10001201","ReadBigEndian","LDBface","uint __thiscall ReadBigEndian(uchar * param_1)","__thiscall","ANALYSIS","false","false","","40","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","10001229","BinarySearch","LDBface","int __thiscall BinarySearch(int * param_1, int param_2, int param_3, int * param_4)","__thiscall","ANALYSIS","false","false","","82","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","1000127b","~LDBentry","LDBentry","void __thiscall ~LDBentry(void)","__thiscall","ANALYSIS","false","false","","1","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","1000127c","LDB_Map_Entry","LDB_Map_Entry","undefined __thiscall LDB_Map_Entry(void)","__thiscall","ANALYSIS","false","false","","26","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","10001296","~LDB_Map_Entry","LDB_Map_Entry","void __thiscall ~LDB_Map_Entry(void)","__thiscall","ANALYSIS","false","false","","30","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","100012b4","~LDBface","LDBface","void __thiscall ~LDBface(void)","__thiscall","ANALYSIS","false","false","","88","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","1000130c","LDB_Map_Entry","LDB_Map_Entry","undefined __thiscall LDB_Map_Entry(LDB_Map_Entry * param_1)","__thiscall","ANALYSIS","false","false","","132","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","10001390","operator=","LDB_Map_Entry","LDB_Map_Entry * __thiscall operator=(LDB_Map_Entry * param_1)","__thiscall","ANALYSIS","false","false","","94","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","100013ee","InsertString","LDBface","char * __thiscall InsertString(uint param_1, uint param_2, basic_string<char,std::char_traits<char>,std::allocator<char>_> * param_3, uint param_4)","__thiscall","ANALYSIS","false","false","","232","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","100014d6","InsertReference","LDBface","LDB_Map_Entry __thiscall InsertReference(uint param_1, uint param_2, char * param_3, int param_4, uint param_5)","__thiscall","ANALYSIS","false","false","","332","true"
"ldb.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/ldb.dll","10001622","GetMapEntry","LDBface","LDB_Map_Entry __thiscall GetMapEntry(uint param_1, uint param_2, char * * param_3)","__thiscall","ANALYSIS","false","false","","1353","true"
