"PlayfieldId","PlayfieldName","EnemyKeywords","HintStrings","DistrictHints","AreaHints","StatelHints","SourceRecordTypes"
"102","NPC Dependencies","monster","MOnsterDistrict","MOnsterDistrict","","","District:1000014"
"125","Smuggler's Rearranged","mantis","Mantis Hive District | Mantis Den District | Mantis Hive | Mantis Den","Mantis Hive District | Mantis Den District","Mantis Hive | Mantis Den","","District:1000014; Area:1000029"
"346","ACD Omnilab (dng)","spider","Omnilab_Corridor_Spider","Omnilab_Corridor_Spider","Omnilab_Corridor_Spider","","District:1000014; Area:1000029"
"500","Parnassos","shade","Shade","","","Shade","Statel:1000026"
"505","Avalon","monster; anun; mantis; cyborg","Bones Monsterlair | Anun Feeding Pit | New Mantis Hive | Near Anun Slaughter Region | Cyborg Enclave | Mantis Badlands | Mantis Hive | Cyborg Domain | Cyborg Billet@ | Cyborg Citadel | Anun Hunting Grounds | Mantis HiveEntrance to a mantis hive. | To Cyborg Citadel | Cyborg Billet","Bones Monsterlair | Anun Feeding Pit | New Mantis Hive | Near Anun Slaughter Region | Cyborg Enclave","Mantis Badlands | Mantis Hive | Cyborg Domain | Cyborg Billet@ | Cyborg Citadel | Anun Hunting Grounds","Mantis HiveEntrance to a mantis hive. | To Cyborg Citadel | Cyborg Billet | Cyborg Citadel","District:1000014; Area:1000029; Statel:1000026"
"540","Old Athen","leet","christmas_leets","christmas_leets","","","District:1000014"
"545","West Athens","leet","christmas_leets","christmas_leets","","","District:1000014"
"551","Wailing Wastes","rollerrat; dynacamp; biofreak; mob; scorpiod; spider; hound; mutant","Rollerrat Den | Dynacamp Template | Dynacamp1 Biofreaks 35-40 | BMOB* | Dynacamp2 Scorpiods 45-50 | Dynacamp3 Skin Spiders 50-55 | Dynacamp4 Hammerbeasts 70-75 | Dynacamp5 Skin Spiders 55-60 | Dynacamp6 Clawfingers 40-45 | Dynacamp7 Hounds 40-45 | Dynacamp8 Hounds 40-45 | Dynacamp9 Hounds 40-45 | Dynacamp10 35-40 Blubbags | Dynacamp11 55-60 Skin Spiders | Dynacamp13 35-40 Rollerrats | Dynacamp12 70-75 Hammerbeasts | Dynacamp14 40-45 Blubbags | Dynacamp15 70-75 Hammerbeasts | Dynacamp16 45-50 Skin Spiders | Dynacamp17 40-45 Blubbags | Dynacamp18 45-50 Blubbags | Dynacamp19 50-55 Blubbags | Dynacamp20 55-60 Blubbags | The Boka. This part is dominated by the constant battle against the mutants escaping from the big one. | Daumeland. This reach of the desert used to be the playground of roaming flocks of hounds, Thanks to the effort of Daume this is no longer the case. | The Wailing Wastes. This part of the wasteland got its name because of the endless wailing of the hounds residing in the area.","Rollerrat Den | Dynacamp Template | Dynacamp1 Biofreaks 35-40 | BMOB* | Dynacamp2 Scorpiods 45-50 | Dynacamp3 Skin Spiders 50-55 | Dynacamp4 Hammerbeasts 70-75 | Dynacamp5 Skin Spiders 55-60 | Dynacamp6 Clawfingers 40-45 | Dynacamp7 Hounds 40-45 | Dynacamp8 Hounds 40-45 | Dynacamp9 Hounds 40-45 | Dynacamp10 35-40 Blubbags | Dynacamp11 55-60 Skin Spiders | Dynacamp13 35-40 Rollerrats | Dynacamp12 70-75 Hammerbeasts | Dynacamp14 40-45 Blubbags | Dynacamp15 70-75 Hammerbeasts | Dynacamp16 45-50 Skin Spiders | Dynacamp17 40-45 Blubbags | Dynacamp18 45-50 Blubbags | Dynacamp19 50-55 Blubbags | Dynacamp20 55-60 Blubbags","The Boka. This part is dominated by the constant battle against the mutants escaping from the big one. | Daumeland. This reach of the desert used to be the playground of roaming flocks of hounds, Thanks to the effort of Daume this is no longer the case. | The Wailing Wastes. This part of the wasteland got its name because of the endless wailing of the hounds residing in the area.","","District:1000014; Area:1000029"
"560","Mort","monster; mantis; cyborg; mutant","Monstercrater 2 | Monstercrater Mantis | Monstercrater 3 | Cyborg Camp | Cyborg Hideout | The Monstercrater Mantis is an extremely dangerous area. There are a lot of Mutant Mantis here.","Monstercrater 2 | Monstercrater Mantis | Monstercrater 3 | Cyborg Camp | Cyborg Hideout","Monstercrater Mantis | The Monstercrater Mantis is an extremely dangerous area. There are a lot of Mutant Mantis here.","","District:1000014; Area:1000029"
"565","Newland Desert","rhinoman; mob; dynacamp; lizard; leet; mutant; snake; bronto; scorpiod; buzzsaw; salamander; flea; minibull","Rhinoman Camp | SMOB | Rhinoman Base | SMOB< | Dynacamp1 20-25 Lizards | Dynacamp3 30-35 Leets | Dynacamp4 30-35 Leets | Dynacamp5 30-35 Leets | Dynacamp6 10-15 Rhinomen | Dynacamp7 10-15 Rhinomen | Dynacamp8 30-35 Rhinomen | SMOB$ | Dynacamp9 30-35 Rhinomen | Dynacamp10 15-20 Eyemutants | Dynacamp11 30-35 Snakes | Dynacamp12 20-25 Brontos | Dynacamp13 30-35 Scorpiods | Dynacamp14 30-35 Scorpiods | Dynacamp15 20-25 Buzzsaws | Dynacamp16 45-50 Rhinomen | Dynacamp17 50-55 Rhinomen | Dynacamp18 30-35 Salamanders | Dynacamp19 25-30 Fleas | FMOB | Dynacamp20 40-45 Minibulls | Dynacamp21 40-45 Rhinomen | Rhinoman Scout Camp | Rhinomen | Rhinoman Valley | Rhinoman","Rhinoman Camp | SMOB | Rhinoman Base | SMOB< | Dynacamp1 20-25 Lizards | Dynacamp3 30-35 Leets | Dynacamp4 30-35 Leets | Dynacamp5 30-35 Leets | Dynacamp6 10-15 Rhinomen | Dynacamp7 10-15 Rhinomen | Dynacamp8 30-35 Rhinomen | SMOB$ | Dynacamp9 30-35 Rhinomen | Dynacamp10 15-20 Eyemutants | Dynacamp11 30-35 Snakes | Dynacamp12 20-25 Brontos | Dynacamp13 30-35 Scorpiods | Dynacamp14 30-35 Scorpiods | Dynacamp15 20-25 Buzzsaws | Dynacamp16 45-50 Rhinomen | Dynacamp17 50-55 Rhinomen | Dynacamp18 30-35 Salamanders | Dynacamp19 25-30 Fleas | FMOB | Dynacamp20 40-45 Minibulls | Dynacamp21 40-45 Rhinomen","Rhinoman Scout Camp | Rhinomen | Rhinoman Valley | Rhinoman Camp | Rhinoman","","District:1000014; Area:1000029"
