CapturedUtc,Direction,Sequence,InventoryIdentity,Handle,Slot,Placement,Flags,Count,ItemIdentity,LowId,HighId,Quality,Unknown
"2026-06-22T16:26:56.7564275Z","IN-N3",1037,"(Corpse:F6C008)",122,0,0,161,1,"(None:0000)",42640,42640,1,0
"2026-06-22T16:26:57.9771657Z","IN-N3",1046,"(Corpse:F6C003)",123,0,0,161,1,"(None:0000)",209491,209491,1,0
"2026-06-22T16:26:57.9771657Z","IN-N3",1046,"(Corpse:F6C003)",123,1,1,161,1,"(None:0000)",42640,42640,1,0
"2026-06-22T16:27:05.2762169Z","IN-N3",1098,"(Corpse:F6C005)",124,0,0,161,1,"(None:0000)",209491,209491,1,0
"2026-06-22T16:27:05.2762169Z","IN-N3",1098,"(Corpse:F6C005)",124,1,1,161,1,"(None:0000)",42640,42640,1,0
"2026-06-22T16:27:37.9658843Z","IN-N3",1472,"(Corpse:F6C007)",127,0,0,161,1,"(None:0000)",42640,42640,1,0
"2026-06-22T16:27:39.2066692Z","IN-N3",1484,"(Corpse:F6C00B)",128,0,0,161,1,"(None:0000)",209491,209491,1,0
"2026-06-22T16:27:41.9357813Z","IN-N3",1507,"(Corpse:F6C006)",129,0,0,161,1,"(None:0000)",209491,209491,1,0
"2026-06-22T16:28:03.6577609Z","IN-N3",1832,"(Corpse:F6C004)",131,0,0,161,1,"(None:0000)",136644,136645,2,0
"2026-06-22T16:28:24.0126367Z","IN-N3",2001,"(Corpse:F6C009)",133,0,0,33,1,"(None:0000)",201135,201136,4,0
"2026-06-22T16:28:24.0126367Z","IN-N3",2001,"(Corpse:F6C009)",133,1,1,33,1,"(None:0000)",85655,22104,4,0
"2026-06-22T16:28:24.0126367Z","IN-N3",2001,"(Corpse:F6C009)",133,2,2,33,1,"(None:0000)",124579,124580,4,0
"2026-06-22T16:28:24.0126367Z","IN-N3",2001,"(Corpse:F6C009)",133,3,3,33,1,"(None:0000)",154070,150196,4,0
"2026-06-22T16:28:24.0126367Z","IN-N3",2001,"(Corpse:F6C009)",133,4,4,33,1,"(None:0000)",160448,160441,4,0
"2026-06-22T16:28:24.0126367Z","IN-N3",2001,"(Corpse:F6C009)",133,5,5,33,1,"(None:0000)",162623,162623,14,0
"2026-06-22T16:28:24.0126367Z","IN-N3",2001,"(Corpse:F6C009)",133,6,6,33,1,"(None:0000)",162623,162623,14,0
"2026-06-22T16:29:04.4379709Z","IN-N3",2345,"(Corpse:F6C00C)",137,0,0,161,1,"(None:0000)",101400,101401,3,0
"2026-06-22T16:29:08.8274176Z","IN-N3",2378,"(Corpse:F6C00C)",139,0,0,161,1,"(None:0000)",101400,101401,3,0
"2026-06-22T16:29:41.1789160Z","IN-N3",2766,"(Corpse:F6C00A)",147,0,0,161,1,"(None:0000)",101388,101389,3,0
"2026-06-22T16:30:04.7389832Z","IN-N3",3084,"(Corpse:F6C00E)",148,0,0,161,1,"(None:0000)",42640,42640,1,0
"2026-06-22T16:30:06.6089233Z","IN-N3",3102,"(Corpse:F6C00D)",149,0,0,161,1,"(None:0000)",101801,101801,1,0
"2026-06-22T16:30:08.0478165Z","IN-N3",3114,"(Corpse:F6C00E)",150,0,0,161,1,"(None:0000)",42640,42640,1,0
"2026-06-22T16:30:12.0673567Z","IN-N3",3154,"(Corpse:F6C00D)",151,0,0,161,1,"(None:0000)",101801,101801,1,0
"2026-06-22T16:30:13.3500878Z","IN-N3",3165,"(Corpse:F6C00F)",152,0,0,161,1,"(None:0000)",85740,85739,2,0
"2026-06-22T16:30:13.3500878Z","IN-N3",3165,"(Corpse:F6C00F)",152,1,1,161,1,"(None:0000)",101181,101182,2,0
"2026-06-22T16:35:58.4546058Z","IN-N3",4126,"(Corpse:F6C004)",153,0,0,161,1,"(None:0000)",101783,101783,1,0
"2026-06-22T16:35:58.4546058Z","IN-N3",4126,"(Corpse:F6C004)",153,1,1,161,1,"(None:0000)",42640,42640,1,0
"2026-06-22T16:36:17.9638339Z","IN-N3",4195,"(Corpse:F6C004)",155,0,0,161,1,"(None:0000)",101783,101783,1,0
"2026-06-22T16:36:17.9638339Z","IN-N3",4195,"(Corpse:F6C004)",155,1,1,161,1,"(None:0000)",42640,42640,1,0
"2026-06-22T16:36:19.4036526Z","IN-N3",4208,"(Corpse:F6C005)",156,0,0,161,1,"(None:0000)",42640,42641,2,0
"2026-06-22T16:36:20.7537340Z","IN-N3",4218,"(Corpse:F6C003)",157,0,0,161,1,"(None:0000)",42640,42641,2,0
"2026-06-22T16:36:23.1155091Z","IN-N3",4237,"(Corpse:F6C007)",158,0,0,161,1,"(None:0000)",85533,85532,2,0
"2026-06-22T16:36:32.1544360Z","IN-N3",4312,"(Corpse:F6C001)",159,0,0,161,1,"(None:0000)",42640,42640,1,0
"2026-06-22T16:36:56.7167290Z","IN-N3",4567,"(Corpse:F6C006)",161,0,0,161,1,"(None:0000)",70564,85515,2,0
"2026-06-22T16:37:55.8120416Z","IN-N3",5262,"(Corpse:F6C00B)",163,0,0,33,1,"(None:0000)",204978,204979,4,0
"2026-06-22T16:37:55.8120416Z","IN-N3",5262,"(Corpse:F6C00B)",163,1,1,33,1,"(None:0000)",85723,85722,4,0
"2026-06-22T16:37:55.8120416Z","IN-N3",5262,"(Corpse:F6C00B)",163,2,2,33,1,"(None:0000)",85711,22014,4,0
"2026-06-22T16:37:55.8120416Z","IN-N3",5262,"(Corpse:F6C00B)",163,3,3,33,1,"(None:0000)",124383,124384,4,0
"2026-06-22T16:37:55.8120416Z","IN-N3",5262,"(Corpse:F6C00B)",163,4,4,33,1,"(None:0000)",152311,152312,4,0
"2026-06-22T16:37:55.8120416Z","IN-N3",5262,"(Corpse:F6C00B)",163,5,5,33,1,"(None:0000)",161645,161646,4,0
"2026-06-22T16:37:55.8120416Z","IN-N3",5262,"(Corpse:F6C00B)",163,6,6,33,1,"(None:0000)",162736,162736,7,0
"2026-06-22T16:39:02.9803948Z","IN-N3",6236,"(Corpse:F6C004)",170,0,0,161,1,"(None:0000)",85510,85509,2,0
"2026-06-22T16:39:52.6192176Z","IN-N3",6843,"(Corpse:F6C00C)",173,0,0,161,1,"(None:0000)",209491,209491,1,0
"2026-06-22T16:39:52.6192176Z","IN-N3",6843,"(Corpse:F6C00C)",173,1,1,161,1,"(None:0000)",42640,42640,1,0
"2026-06-22T16:40:38.2410004Z","IN-N3",7450,"(Corpse:F6C006)",178,0,0,161,1,"(None:0000)",136616,136616,1,0
"2026-06-22T16:40:38.2410004Z","IN-N3",7450,"(Corpse:F6C006)",178,1,1,161,1,"(None:0000)",42640,42640,1,0
"2026-06-22T16:40:39.3204980Z","IN-N3",7462,"(Corpse:F6C008)",179,0,0,161,1,"(None:0000)",209491,209491,1,0
"2026-06-22T16:40:39.3204980Z","IN-N3",7462,"(Corpse:F6C008)",179,1,1,161,1,"(None:0000)",136620,136620,1,0
"2026-06-22T16:40:39.3204980Z","IN-N3",7462,"(Corpse:F6C008)",179,2,2,161,1,"(None:0000)",42640,42640,1,0
"2026-06-22T16:40:40.7802582Z","IN-N3",7483,"(Corpse:F6C007)",180,0,0,161,1,"(None:0000)",209491,209491,1,0
