CapturedUtc,Direction,Sequence,Identity,OwnerType,OwnerInstance,PlayfieldId,PositionX,PositionY,PositionZ,Unknown7,Template,Mesh,BuyModifier,SellModifier,StatsCount
"2026-06-22T16:29:35.9479960Z","IN-N3",2711,"(VendingMachine:12EA61A1)",50000,2029597735,1108028,,,,2,209286,0,0,0,8
"2026-06-22T16:29:42.0176139Z","IN-N3",2789,"(VendingMachine:12EA61A1)",50000,2029597735,1108028,,,,2,209286,0,0,0,8
"2026-06-22T16:36:59.6550073Z","IN-N3",4626,"(VendingMachine:12EA61A0)",0,0,1108028,60,13.9999981,50,2,100035,0,0,0,8
"2026-06-22T16:38:03.2671571Z","IN-N3",5354,"(VendingMachine:12EA61A1)",50000,2029597735,1108028,,,,2,209286,0,0,0,8
"2026-06-22T16:38:40.1688539Z","IN-N3",5838,"(VendingMachine:12EA61A0)",0,0,1108028,60,13.9999981,50,2,100035,0,0,0,8
"2026-06-22T16:38:40.1803605Z","IN-N3",5889,"(VendingMachine:12EA61A0)",0,0,1108028,60,13.9999981,50,2,100035,0,0,0,8
"2026-06-22T16:38:45.5811972Z","IN-N3",5977,"(VendingMachine:12EA61A1)",50000,2029597735,1108028,,,,2,209286,0,0,0,8
"2026-06-22T16:38:45.6789787Z","IN-N3",6005,"(VendingMachine:12EA61A0)",0,0,1108028,60,13.9999981,50,2,100035,0,0,0,8
"2026-06-22T16:38:45.6799779Z","IN-N3",6029,"(VendingMachine:12EA61A1)",50000,2029597735,1108028,,,,2,209286,0,0,0,8
"2026-06-22T16:39:58.9096453Z","IN-N3",6945,"(VendingMachine:12EA61A0)",0,0,1108028,60,13.9999981,50,2,100035,0,0,0,8
"2026-06-22T16:40:53.9207500Z","IN-N3",7667,"(VendingMachine:12EA61A1)",50000,2029597735,1108028,,,,2,209286,0,0,0,8
"2026-06-22T16:42:15.2411038Z","IN-N3",8658,"(VendingMachine:12EA61A0)",0,0,1108028,60,13.9999981,50,2,100035,0,0,0,8
"2026-06-22T16:49:57.5771412Z","IN-N3",10256,"(VendingMachine:12EA61A1)",50000,2029597735,1108028,,,,2,209286,0,0,0,8
"2026-06-22T16:50:28.3270278Z","IN-N3",10548,"(VendingMachine:12EA61A1)",50000,2029597735,1108028,,,,2,209286,0,0,0,8
"2026-06-22T16:51:41.0507009Z","IN-N3",11508,"(VendingMachine:12EA61A0)",0,0,1108028,60,13.9999981,50,2,100035,0,0,0,8
"2026-06-22T16:52:53.5309939Z","IN-N3",12344,"(VendingMachine:12EA61A0)",0,0,1108028,60,13.9999981,50,2,100035,0,0,0,8
"2026-06-22T16:53:51.5126796Z","IN-N3",13155,"(VendingMachine:12EA61A1)",50000,2029597735,1108028,,,,2,209286,0,0,0,8
