"capture","file_count","mission_flow","mission_replay_log","mission_replay_errors","raw_packets","events_log","packets_hex","capture_info","capture_health","enemy_state_csv","enemy_state_json","npc_lifecycle_csv","npc_lifecycle_summary","movement_summary","raw_status","priority"
"20260531-023030","2","no","no","no","no","yes","yes","no","no","no","no","no","no","no","low","P2"
"20260604-235530","2","no","no","no","no","yes","yes","no","no","no","no","no","no","no","low","P2"
"20260607-202610","4","no","no","no","no","yes","yes","no","no","no","no","no","no","no","low","P2"
"20260610-185759","5","no","no","no","no","yes","yes","no","no","no","no","no","no","no","medium","P2"
"20260610-214233","5","no","no","no","no","yes","yes","no","no","no","no","no","no","no","medium","P2"
"20260610-232330","5","no","no","no","no","yes","yes","no","no","no","no","no","no","no","medium","P2"
"20260610-233143","5","no","no","no","no","yes","yes","no","no","no","no","no","no","no","medium","P2"
"20260611-005202","5","no","no","no","no","yes","yes","no","no","no","no","no","no","no","medium","P2"
"20260611-015456","5","no","no","no","no","yes","yes","no","no","no","no","no","no","no","medium","P2"
"20260611-031405","5","no","no","no","no","yes","yes","no","no","no","no","no","no","no","medium","P2"
"20260623-012720","13","no","no","no","no","yes","yes","yes","yes","yes","yes","no","no","no","medium","P2"
"20260623-015602","12","no","no","no","no","yes","yes","yes","no","yes","yes","no","no","no","medium","P2"
"20260623-021643","12","no","no","no","no","yes","yes","yes","no","yes","yes","no","no","no","medium","P2"
"20260623-040642","12","no","no","no","no","yes","yes","yes","no","yes","yes","no","no","no","medium","P2"
"20260623-042326","12","no","no","no","no","yes","yes","yes","no","yes","yes","no","no","no","medium","P2"
"20260623-081344","12","no","no","no","no","yes","yes","yes","no","yes","yes","no","no","no","medium","P2"
"20260716-222007","32","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","medium","P2"
"20260717-214751","32","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","medium","P2"
"20260717-215250","31","no","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","medium","P2"
"20260717-220340","32","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","medium","P2"
"20260722-104809","30","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","high","P1"
"20260722-152454","30","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","high","P1"
"20260728-001044","31","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","high","P1"
"20260728-003410","31","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","high","P1"
"20260728-005042","31","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","high","P1"
"20260728-010220","31","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","high","P1"
"20260728-010846","29","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","high","P1"
"20260728-012547","31","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","high","P1"
"20260728-231938","31","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","high","P1"
"20260728-233312","31","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","high","P1"
"20260729-000735","28","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","high","P1"
"20260731-030702","30","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","high","P1"
"20260731-035230","30","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","high","P1"
"20260814-014647","28","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","high","P1"
"20260814-015856","28","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","high","P1"
"BrandonThornCapture","28","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","high","P1"
