capture_id,evidence_digest,analysis_state,evidence_coverage,used_by,derived_artifacts,raw_archive_path,raw_archive_digest,unresolved_gaps,retention_state,approved_by,approved_at,reason
20260509-175138,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260509-182711,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260509-183006,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260509-215425,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260509-221306,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260509-224515,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260509-225115,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260509-225210,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260509-225300,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260509-225357,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260509-225700,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260510-011941,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260510-030142,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260510-030750,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260517-220409,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260517-222543,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260517-223438,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260517-230408,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260517-234942,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260517-235150,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260517-235347,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260524-221111,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260524-221909,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260524-223807,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260524-224357,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260524-225855,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260524-231847,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260524-232944,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260528-190456,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260528-191120,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260528-192819,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260528-210106,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260529-205920,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260529-212034,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260531-023030,e9868e69b47b8bdc365d0861e76b991190474963061eba90016fca39d2683862,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260531-033152,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260531-034321,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260531-035317,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260531-155930,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260531-160142,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260531-201704,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260531-201712,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260531-203605,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260531-205302,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260531-224655,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260531-224658,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260531-224755,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260604-235530,7abb21e9b00c1d6719c796e27cbda23ab83ba093616ba41c86d3dd4882a23be2,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260605-173336,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260605-180144,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260607-005753,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260607-025250,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260607-025758,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260607-042220,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260607-202610,25f72409ec709fb5afe8f4692ecb4bfc57d00c85d4273875cf1f378115db0ec9,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260607-224551,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260607-230531,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260607-233326,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260608-000425,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260608-004711,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260610-185759,b4562194a96298b0b7a240b14674118e49b822a062f4b916b9711007739e2aa1,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260610-214233,ed61431666b01ad2e83c9cd9f6b0a1221b3f7032d7ad06d97e59cce05a1bb17d,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260610-231453,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260610-232330,a3e4a545955b0e0ba3345342337a8207c7f1018c61c9b9f5b40f815b31d0c3e6,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260610-233143,251eddb2805fe7734d551145a53c3b5bdfc1db03e830ae159e5e9fe3e628e1fa,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260611-005202,7dd02048d4ecb43f7ec0ac8f0ee858f0b61d211b1dda10f8f857e631b8224a4c,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260611-015456,a85cf3babb4762e92e93eee44934f96661c2e81a13ac228f3fc603926dfbe712,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260611-024905,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260611-031405,245811a70f8d22e6510c8ee4801156e1e79ef2cc0898642f95df1be60e21036e,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260612-003817,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260612-012644,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260612-040856,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260612-044234,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260612-222450,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
