LiveIdentity,Name,NpcFamily,MonsterData,Level,PlayfieldId,PositionX,PositionY,PositionZ,PatrolRows,SpawnRows,ChaseRows,FleeRows,LeashRows,NearestPatrolStartMeters,PatrolActivationEligible,SelectedSourceIdentity,SelectedSourceGeneration,SelectedVariantDistanceMeters,SelectedPatrolRows,SelectedPatrolNearestMeters,FirstPatrolDecisionEligible,ObservedNpcPathPackets,ExactReason
SimpleChar:000F4283,Alex Gibbs,137,263050,20,6553,3520.78442,5.11000061,856.6935,0,0,0,0,0,,false,,,,0,,false,0,no_exact_promoted_metadata_constraint
SimpleChar:000F4284,ICC Immigration Officer Bill,137,26088,25,6553,3510.2,5.11000061,826.2723,0,0,0,0,0,,false,,,,0,,false,0,no_exact_promoted_metadata_constraint
SimpleChar:000F4287,Barry the Food Vendor,0,26139,10,6553,3516.73145,6.80500031,826.9838,0,0,0,0,0,,false,,,,0,,false,0,no_exact_promoted_metadata_constraint
SimpleChar:000F4289,Bruiser,103,26088,5,6553,3525.66,5.11000061,829.66,0,0,0,0,0,,false,,,,0,,false,0,no_exact_promoted_metadata_constraint
SimpleChar:000F4291,Protester,103,203740,2,6553,3523.32,6.52,780.9,0,19,0,0,0,,false,,,,0,,false,0,no_source_variant_within_6m
SimpleChar:000F429B,Antonio Stacklund,137,26088,20,6553,3443.073,9.145,832.652649,0,0,0,0,0,,false,,,,0,,false,0,no_exact_promoted_metadata_constraint
SimpleChar:000F429C,Carol Schieffer,103,26090,21,6553,3470.92017,9.01,858.4814,0,0,0,0,0,,false,,,,0,,false,0,no_exact_promoted_metadata_constraint
SimpleChar:000F429D,Cedric Harding,0,165188,6,6553,3501.87085,5.11000061,825.5927,0,0,0,0,0,,false,,,,0,,false,0,no_exact_promoted_metadata_constraint
SimpleChar:000F429E,Chauncey Varela,103,26139,1,6553,3438.50854,9.01,846.927063,0,0,0,0,0,,false,,,,0,,false,0,no_exact_promoted_metadata_constraint
SimpleChar:000F429F,Dion Giscombe,103,26097,7,6553,3429.213,9.215,800.1055,0,0,0,0,0,,false,,,,0,,false,0,no_exact_promoted_metadata_constraint
SimpleChar:000F42A0,Lorelei the Bartender,0,26137,10,6553,3369.1416,17.315,794.4232,0,0,0,0,0,,false,,,,0,,false,0,no_exact_promoted_metadata_constraint
SimpleChar:000F42A1,Omni-AF Private,2,26151,10,6553,3393.15747,18.545,854.9975,0,0,0,0,0,,false,,,,0,,false,0,no_exact_promoted_metadata_constraint
SimpleChar:000F42A2,Dr. Mason,137,26147,20,6553,3430.51563,9.215,795.449158,0,0,0,0,0,,false,,,,0,,false,0,no_exact_promoted_metadata_constraint
SimpleChar:000F42A3,Eliseo Ye,103,26139,19,6553,3436.187,9.01,887.3641,0,0,0,0,0,,false,,,,0,,false,0,no_exact_promoted_metadata_constraint
SimpleChar:000F42A4,Food Provider,0,26090,10,6553,3439.04688,9.01,849.458069,0,0,0,0,0,,false,,,,0,,false,0,no_exact_promoted_metadata_constraint
SimpleChar:000F42A5,Furniture Merchant,0,26137,104,6553,3438.173,9.165,892.195251,0,0,0,0,0,,false,,,,0,,false,0,no_exact_promoted_metadata_constraint
SimpleChar:000F42A6,ICC Peacekeeper,0,26092,40,6553,3401.45532,9.409285,802.44635,336,44,1,1,2,0.807865,true,SimpleChar:797D337E,5,0.691960,5,3.668421,false,394,selected_patrol_start_exceeds_2_5m_continuation
SimpleChar:000F42A7,ICC Peacekeeper,0,26092,40,6553,3481.32544,8.018829,786.583069,336,44,1,1,2,1.036449,true,SimpleChar:7962A325,11,1.036449,54,1.036449,true,0,eligible_selected_patrol_but_no_live_movement_packet
SimpleChar:000F42A8,ICC Peacekeeper,0,26092,40,6553,3435.735,5.11,780.871,336,44,1,1,2,1.264300,true,SimpleChar:7962A3F9,2,1.264300,13,1.264300,true,213,live_movement_packet_observed
SimpleChar:000F42A9,ICC Peacekeeper,0,26092,40,6553,3456.158,9.145,834.197754,336,44,1,1,2,4.484199,true,SimpleChar:79882D97,11,4.484199,10,4.484199,false,0,selected_patrol_start_exceeds_2_5m_continuation
SimpleChar:000F42AA,Jamison Clasen,103,26097,6,6553,3404.147,9.01,811.6471,0,0,0,0,0,,false,,,,0,,false,0,no_exact_promoted_metadata_constraint
SimpleChar:000F42AB,Janae Seaman,103,26149,23,6553,3463.00171,9.01,889.49884,0,15,0,0,0,,false,SimpleChar:78E0FD08,11,5.052963,0,,false,0,selected_source_variant_has_no_patrol_observation
SimpleChar:000F42AC,Janee Forejt,103,26090,6,6553,3413.605,9.01,848.813843,0,16,0,0,0,,false,SimpleChar:78E0FD07,1,4.292638,0,,false,0,selected_source_variant_has_no_patrol_observation
SimpleChar:000F42AD,Joseph Schuemann,103,26139,8,6553,3405.26953,9.01,834.66,0,0,0,0,0,,false,,,,0,,false,0,no_exact_promoted_metadata_constraint
SimpleChar:000F42AE,Keesha McKesson,103,26149,19,6553,3441.17188,9.01,860.7495,0,0,0,0,0,,false,,,,0,,false,0,no_exact_promoted_metadata_constraint
SimpleChar:000F42AF,Lady Sheila Black,137,26137,15,6553,3411.6333,9.205,903.6198,0,0,0,0,0,,false,,,,0,,false,0,no_exact_promoted_metadata_constraint
SimpleChar:000F42B0,Leonora Marty,137,26125,10,6553,3448.84668,9.050667,862.5369,0,20,0,0,0,,false,SimpleChar:78E0FC74,2,1.236945,0,,false,0,selected_source_variant_has_no_patrol_observation
SimpleChar:000F42B1,Logistics Manager Fausto,137,26101,20,6553,3408.101,9.01,866.9548,0,0,0,0,0,,false,,,,0,,false,0,no_exact_promoted_metadata_constraint
