CapturedUtc,Direction,Sequence,TerminalIdentity,Slot,LowId,HighId,Quality
"2026-07-19T07:16:13.7018052Z","IN-N3",19,"(VendingMachine:12F62853)",0,36786,36780,49
"2026-07-19T07:16:13.7018052Z","IN-N3",19,"(VendingMachine:12F62853)",1,300751,300751,1
"2026-07-19T07:16:13.7018052Z","IN-N3",19,"(VendingMachine:12F62853)",2,206904,206904,1
"2026-07-19T07:16:13.7018052Z","IN-N3",19,"(VendingMachine:12F62853)",3,36783,36782,18
"2026-07-19T07:16:13.7018052Z","IN-N3",19,"(VendingMachine:12F62853)",4,95576,95576,1
"2026-07-19T07:16:13.7018052Z","IN-N3",19,"(VendingMachine:12F62853)",5,158038,158039,13
"2026-07-19T07:16:13.7018052Z","IN-N3",19,"(VendingMachine:12F62853)",6,31837,31837,1
"2026-07-19T07:16:13.7018052Z","IN-N3",19,"(VendingMachine:12F62853)",7,87810,87814,39
"2026-07-19T07:16:13.7018052Z","IN-N3",19,"(VendingMachine:12F62853)",8,121305,121304,40
"2026-07-19T07:16:13.7018052Z","IN-N3",19,"(VendingMachine:12F62853)",9,121306,121307,32
"2026-07-19T07:16:13.7018052Z","IN-N3",19,"(VendingMachine:12F62853)",10,121309,121308,6
"2026-07-19T07:16:13.7018052Z","IN-N3",19,"(VendingMachine:12F62853)",11,95577,95577,1
"2026-07-19T07:16:13.7018052Z","IN-N3",19,"(VendingMachine:12F62853)",12,81757,81756,38
"2026-07-19T07:16:13.7018052Z","IN-N3",19,"(VendingMachine:12F62853)",13,81753,99727,24
"2026-07-19T07:16:13.7018052Z","IN-N3",19,"(VendingMachine:12F62853)",14,28564,28564,1
"2026-07-19T07:16:13.7018052Z","IN-N3",19,"(VendingMachine:12F62853)",15,95514,95515,44
"2026-07-19T07:16:13.7018052Z","IN-N3",19,"(VendingMachine:12F62853)",16,161699,161699,1
"2026-07-19T07:16:13.7018052Z","IN-N3",19,"(VendingMachine:12F62853)",17,29738,29738,1
"2026-07-19T07:16:13.7018052Z","IN-N3",19,"(VendingMachine:12F62853)",18,88373,88374,39
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",0,99302,99302,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",1,143832,143832,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",2,157684,157684,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",3,157689,157689,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",4,157686,157686,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",5,157691,157691,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",6,157692,157692,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",7,157683,157683,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",8,157693,157693,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",9,157682,157682,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",10,157685,157685,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",11,157688,157688,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",12,157687,157687,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",13,157694,157694,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",14,157695,157695,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",15,157690,157690,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",16,99241,99241,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",17,99228,99228,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",18,287422,287422,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",19,287421,287421,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",20,287423,287423,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",21,287609,287609,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",22,287610,287610,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",23,287427,287427,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",24,287417,287417,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",25,287424,287424,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",26,287425,287425,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",27,287426,287426,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",28,287611,287611,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",29,287428,287428,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",30,287418,287418,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",31,287612,287612,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",32,287613,287613,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",33,287429,287429,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",34,287430,287430,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",35,287614,287614,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",36,287431,287431,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",37,287615,287615,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",38,287432,287432,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",39,287433,287433,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",40,287434,287434,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",41,287435,287435,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",42,287437,287437,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",43,287436,287436,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",44,287616,287616,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",45,287438,287438,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",46,287439,287439,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",47,287419,287419,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",48,287440,287440,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",49,287441,287441,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",50,287617,287617,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",51,287442,287442,1
