capture_id,capture_path,capture_classification,capture_confidence,source_realm,source_basis,subject_scope,subject_kind,subject_identity,related_identity,subject_name,monster_data,levels,evidence_kind,observation_count,first_utc,last_utc,numeric_min,numeric_max,observed_values_json,source_artifact,source_schema,runtime_references,test_references,generator_references,generated_references,documentation_references,evidence_status,issues
20260708-004038,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260708-004038,MIXED,high,official_live,"mapped-official-runtime;capture=1187842;events=655,1187842,1364029",elsewhere_exact,enemy,(SimpleChar:78F698E4),,Traveller,165180,197,scfu_appearance,2,2026-07-08T05:41:06.6885050Z,2026-07-08T05:42:35.9234657Z,,,"{""observations"":[{""count"":2,""value"":{""appearance"":1832,""breed"":""Solitus"",""decode_status"":""decoded_complete"",""fully_consumed"":true,""gender"":""Female"",""head_mesh"":40628,""health"":26620,""los_height"":0,""meshes"":""0:40628:0:4"",""monster_scale"":121,""npc_family"":100,""race"":""1"",""run_speed"":480,""textures"":""0:85939:0|1:30846:0|2:30865:0|3:30828:0|4:30877:0""}}]}",scfu-appearance.csv,csv:1742e445775eb342,,,,,,observed,
20260708-004038,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260708-004038,MIXED,high,official_live,"mapped-official-runtime;capture=1187842;events=655,1187842,1364029",elsewhere_exact,enemy,(SimpleChar:78F698E5),,Confused Colonist,204067,68,scfu_appearance,2,2026-07-08T05:41:04.7364704Z,2026-07-08T05:42:34.1293354Z,,,"{""observations"":[{""count"":2,""value"":{""appearance"":1416,""breed"":""Atrox"",""decode_status"":""decoded_complete"",""fully_consumed"":true,""gender"":""Uni"",""head_mesh"":40117,""health"":3786,""los_height"":0,""meshes"":""0:40117:0:4"",""monster_scale"":108,""npc_family"":100,""race"":""1"",""run_speed"":239,""textures"":""0:0:0|1:21825:0|2:9619:0|3:21820:0|4:21832:0""}}]}",scfu-appearance.csv,csv:1742e445775eb342,,,,,,observed,
20260708-004038,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260708-004038,MIXED,high,official_live,"mapped-official-runtime;capture=1187842;events=655,1187842,1364029",elsewhere_exact,enemy,(SimpleChar:78F698E6),,Merchant,165186,76,scfu_appearance,2,2026-07-08T05:41:04.7364704Z,2026-07-08T05:42:34.1293354Z,,,"{""observations"":[{""count"":2,""value"":{""appearance"":1576,""breed"":""Solitus"",""decode_status"":""decoded_complete"",""fully_consumed"":true,""gender"":""Male"",""head_mesh"":40681,""health"":4462,""los_height"":0,""meshes"":""0:40681:0:4"",""monster_scale"":109,""npc_family"":100,""race"":""1"",""run_speed"":269,""textures"":""0:0:0|1:9611:0|2:14050:0|3:9604:0|4:14034:0""}}]}",scfu-appearance.csv,csv:1742e445775eb342,,,,,,observed,
20260708-004038,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260708-004038,MIXED,high,official_live,"mapped-official-runtime;capture=1187842;events=655,1187842,1364029",elsewhere_exact,enemy,(SimpleChar:78F698E7),,Colonist,165192,104,scfu_appearance,2,2026-07-08T05:41:04.7364704Z,2026-07-08T05:42:34.1293354Z,,,"{""observations"":[{""count"":2,""value"":{""appearance"":1608,""breed"":""Opifex"",""decode_status"":""decoded_complete"",""fully_consumed"":true,""gender"":""Male"",""head_mesh"":40267,""health"":7304,""los_height"":0,""meshes"":""0:45772:0:0|0:40267:0:4"",""monster_scale"":112,""npc_family"":100,""race"":""1"",""run_speed"":356,""textures"":""0:0:0|1:37030:0|2:22595:0|3:37032:0|4:22626:0""}}]}",scfu-appearance.csv,csv:1742e445775eb342,,,,,,observed,
20260708-004038,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260708-004038,MIXED,high,official_live,"mapped-official-runtime;capture=1187842;events=655,1187842,1364029",elsewhere_exact,enemy,(SimpleChar:78F698E8),,Colonist,165196,132,scfu_appearance,2,2026-07-08T05:41:04.7364704Z,2026-07-08T05:42:34.1293354Z,,,"{""observations"":[{""count"":2,""value"":{""appearance"":1416,""breed"":""Atrox"",""decode_status"":""decoded_complete"",""fully_consumed"":true,""gender"":""Uni"",""head_mesh"":40117,""health"":10686,""los_height"":0,""meshes"":""0:40117:0:4"",""monster_scale"":116,""npc_family"":100,""race"":""1"",""run_speed"":423,""textures"":""0:0:0|1:22571:0|2:9407:0|3:156739:0|4:8813:0""}}]}",scfu-appearance.csv,csv:1742e445775eb342,,,,,,observed,
20260708-004038,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260708-004038,MIXED,high,official_live,"mapped-official-runtime;capture=1187842;events=655,1187842,1364029",elsewhere_exact,enemy,(SimpleChar:78F698E9),,Young Man,204985,26,scfu_appearance,2,2026-07-08T05:41:04.7364704Z,2026-07-08T05:42:34.1293354Z,,,"{""observations"":[{""count"":2,""value"":{""appearance"":1576,""breed"":""Solitus"",""decode_status"":""decoded_complete"",""fully_consumed"":true,""gender"":""Male"",""head_mesh"":40700,""health"":786,""los_height"":0,""meshes"":""0:40700:0:4"",""monster_scale"":101,""npc_family"":100,""race"":""1"",""run_speed"":90,""textures"":""0:0:0|1:22582:0|2:9450:0|3:22553:0|4:22641:0""}}]}",scfu-appearance.csv,csv:1742e445775eb342,,,,,,observed,
20260708-004038,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260708-004038,MIXED,high,official_live,"mapped-official-runtime;capture=1187842;events=655,1187842,1364029",elsewhere_exact,enemy,(SimpleChar:78F698EA),,Old Lady,165178,104,scfu_appearance,2,2026-07-08T05:41:04.7364704Z,2026-07-08T05:42:34.1293354Z,,,"{""observations"":[{""count"":2,""value"":{""appearance"":1832,""breed"":""Solitus"",""decode_status"":""decoded_complete"",""fully_consumed"":true,""gender"":""Female"",""head_mesh"":40660,""health"":7304,""los_height"":0,""meshes"":""0:40660:0:4"",""monster_scale"":112,""npc_family"":100,""race"":""1"",""run_speed"":356,""textures"":""0:0:0|1:0:0|2:0:0|3:0:0|4:0:0""}}]}",scfu-appearance.csv,csv:1742e445775eb342,,,,,,observed,
20260708-004038,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260708-004038,MIXED,high,official_live,"mapped-official-runtime;capture=1187842;events=655,1187842,1364029",elsewhere_exact,enemy,(SimpleChar:78F698EB),,Colonist,165179,38,scfu_appearance,2,2026-07-08T05:41:04.7364704Z,2026-07-08T05:42:34.1293354Z,,,"{""observations"":[{""count"":2,""value"":{""appearance"":1832,""breed"":""Solitus"",""decode_status"":""decoded_complete"",""fully_consumed"":true,""gender"":""Female"",""head_mesh"":40624,""health"":1526,""los_height"":0,""meshes"":""0:40624:0:4"",""monster_scale"":103,""npc_family"":100,""race"":""1"",""run_speed"":131,""textures"":""0:155956:0|1:155954:0|2:14045:0|3:155953:0|4:155957:0""}}]}",scfu-appearance.csv,csv:1742e445775eb342,,,,,,observed,
20260708-004038,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260708-004038,MIXED,high,official_live,"mapped-official-runtime;capture=1187842;events=655,1187842,1364029",elsewhere_exact,enemy,(SimpleChar:78F698EC),,Old Geezer,165212,169,scfu_appearance,2,2026-07-08T05:41:04.7364704Z,2026-07-08T05:42:34.1293354Z,,,"{""observations"":[{""count"":2,""value"":{""appearance"":1416,""breed"":""Atrox"",""decode_status"":""decoded_complete"",""fully_consumed"":true,""gender"":""Uni"",""head_mesh"":40116,""health"":16201,""los_height"":0,""meshes"":""0:40116:0:4"",""monster_scale"":118,""npc_family"":100,""race"":""1"",""run_speed"":442,""textures"":""0:155947:0|1:296298:0|2:9619:0|3:155946:0|4:155943:0""}}]}",scfu-appearance.csv,csv:1742e445775eb342,,,,,,observed,
20260708-004038,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260708-004038,MIXED,high,official_live,"mapped-official-runtime;capture=1187842;events=655,1187842,1364029",elsewhere_exact,enemy,(SimpleChar:78F698ED),,Helpful Colonist,165185,14,scfu_appearance,2,2026-07-08T05:41:04.7364704Z,2026-07-08T05:42:34.1293354Z,,,"{""observations"":[{""count"":2,""value"":{""appearance"":1576,""breed"":""Solitus"",""decode_status"":""decoded_complete"",""fully_consumed"":true,""gender"":""Male"",""head_mesh"":40710,""health"":360,""los_height"":0,""meshes"":""0:40710:0:4"",""monster_scale"":97,""npc_family"":100,""race"":""1"",""run_speed"":48,""textures"":""0:0:0|1:42255:0|2:162142:0|3:81907:0|4:22640:0""}}]}",scfu-appearance.csv,csv:1742e445775eb342,,,,,,observed,
20260708-004038,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260708-004038,MIXED,high,official_live,"mapped-official-runtime;capture=1187842;events=655,1187842,1364029",elsewhere_exact,enemy,(SimpleChar:78F69907),,Young Woman,165181,48,scfu_appearance,2,2026-07-08T05:41:04.7364704Z,2026-07-08T05:42:34.1293354Z,,,"{""observations"":[{""count"":2,""value"":{""appearance"":1832,""breed"":""Solitus"",""decode_status"":""decoded_complete"",""fully_consumed"":true,""gender"":""Female"",""head_mesh"":40648,""health"":2143,""los_height"":0,""meshes"":""0:40648:0:4"",""monster_scale"":105,""npc_family"":100,""race"":""1"",""run_speed"":165,""textures"":""0:0:0|1:14027:0|2:14045:0|3:22543:0|4:30885:0""}}]}",scfu-appearance.csv,csv:1742e445775eb342,,,,,,observed,
