capture_id,capture_path,classification,raw_packet_evidence,analyzer_exit_code,decoder_exit_code,summary_kind,capability_status,processing_allowed,outputs_promoted,recapture_required,offline_decode_required,corpse_capability_status,local_corpse_evidence_observed,raw_corpse_full_update_packets,corpse_full_update_rows,corpse_full_update_decode_errors,enemy_respawn_complete_rows,enemy_respawn_ambiguous_rows,enemy_respawn_incomplete_rows,raw_scfu_packets,decoded_scfu_rows,scfu_decode_errors,result
20260708-004038,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260708-004038,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,15,15,0,1,0,8,329,329,0,PASS
20260708-143600,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260708-143600,SUBWAY,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,54,54,0,17,0,37,197,197,0,PASS
20260708-175514,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260708-175514,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,no_corpse_full_update_observed,false,0,0,0,0,0,0,65,65,0,PASS
20260708-180248,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260708-180248,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,5,5,0,0,0,0,45,45,0,PASS
20260708-181729,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260708-181729,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,no_corpse_full_update_observed,false,0,0,0,0,0,0,54,54,0,PASS
20260708-182237,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260708-182237,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,no_corpse_full_update_observed,false,0,0,0,0,0,0,46,46,0,PASS
20260708-185451,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260708-185451,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,no_corpse_full_update_observed,false,0,0,0,0,0,0,34,34,0,PASS
20260708-185543,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260708-185543,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,no_corpse_full_update_observed,false,0,0,0,0,0,0,34,34,0,PASS
20260708-223814,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260708-223814,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,no_corpse_full_update_observed,false,0,0,0,0,0,0,34,34,0,PASS
20260708-225850,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260708-225850,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,1,1,0,0,0,1,44,44,0,PASS
20260709-164219,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260709-164219,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,no_corpse_full_update_observed,false,0,0,0,0,0,0,47,47,0,PASS
20260709-164414,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260709-164414,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,1,1,0,0,0,1,45,45,0,PASS
20260709-165538,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260709-165538,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,no_corpse_full_update_observed,false,0,0,0,0,0,0,34,34,0,PASS
20260709-165805,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260709-165805,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,1,1,0,0,0,1,34,34,0,PASS
20260709-174823,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260709-174823,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,no_corpse_full_update_observed,false,0,0,0,0,0,0,34,34,0,PASS
