ObservationId,CapturedUtc,Sequence,Behavior,Disposition,Confidence,DecisionReasons,Influences,MetadataResolution,NpcFamily,MonsterData,Level,PlayfieldId,Name,RuntimeIdentity,RuntimeGeneration,RouteSignature,CurrentX,CurrentY,CurrentZ,DestinationX,DestinationY,DestinationZ,HorizontalDistance,PathCount
m00001,2026-07-21T19:55:03.4014435Z,5,patrol,Promotable,100,complete_decoded_path;exact_capture_scoped_identity;captured_patrol_observation,,legacy_capture_scoped_exact_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,0,2eb3373b9dba6082,3596.81177,51.7449989,788.208923,3596.05566,52.2449989,788.68457,0.893276,2
m00002,2026-07-21T19:55:03.4024431Z,8,patrol,Promotable,100,complete_decoded_path;exact_capture_scoped_identity;captured_patrol_observation,,legacy_capture_scoped_exact_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.87385,2
m00003,2026-07-21T19:55:03.4024431Z,7,patrol,Promotable,100,complete_decoded_path;exact_capture_scoped_identity;captured_patrol_observation,,legacy_capture_scoped_exact_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79866553,0,5359704d7b5dda34,3620.47729,51.7449989,785.077393,3621.25732,52.5,784.154419,1.20844,2
m00004,2026-07-21T19:55:03.4590983Z,10,patrol,Promotable,100,complete_decoded_path;exact_capture_scoped_identity;captured_patrol_observation,,legacy_capture_scoped_exact_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.05493,52.2449989,783.754883,0.941624,2
m00005,2026-07-21T19:55:03.4590983Z,9,patrol,Promotable,100,complete_decoded_path;exact_capture_scoped_identity;captured_patrol_observation,,legacy_capture_scoped_exact_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,0,2cb044179e1c0e0f,3596.81177,51.7449989,788.208923,3596.05518,51.7449989,788.482483,0.804527,2
m00006,2026-07-21T19:55:03.7049475Z,14,patrol,Promotable,100,complete_decoded_path;exact_capture_scoped_identity;captured_patrol_observation,,legacy_capture_scoped_exact_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.09912,52.2449989,783.980713,0.881023,2
m00007,2026-07-21T19:55:03.7049475Z,11,patrol,Promotable,100,complete_decoded_path;exact_capture_scoped_identity;captured_patrol_observation,,legacy_capture_scoped_exact_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,0,2cb044179e1c0e0f,3596.81177,51.7449989,788.208923,3596.05518,51.7449989,788.482483,0.804527,2
m00008,2026-07-21T19:55:03.9138187Z,18,patrol,Promotable,100,complete_decoded_path;exact_capture_scoped_identity;captured_patrol_observation,,legacy_capture_scoped_exact_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.0835,52.2449989,784.033142,0.900769,2
m00009,2026-07-21T19:55:03.9138187Z,17,patrol,Promotable,100,complete_decoded_path;exact_capture_scoped_identity;captured_patrol_observation,,legacy_capture_scoped_exact_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,0,2eb3373b9dba6082,3596.81177,51.7449989,788.208923,3596.073,52.2449989,788.578247,0.825943,2
m00010,2026-07-21T19:55:04.1107173Z,19,patrol,Promotable,100,complete_decoded_path;exact_capture_scoped_identity;captured_patrol_observation,,legacy_capture_scoped_exact_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,0,2cb044179e1c0e0f,3596.81177,51.7449989,788.208923,3596.05518,51.7449989,788.482483,0.804527,2
m00011,2026-07-21T19:55:04.1117150Z,20,patrol,Promotable,100,complete_decoded_path;exact_capture_scoped_identity;captured_patrol_observation,,legacy_capture_scoped_exact_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.87385,2
m00012,2026-07-21T19:55:04.1117150Z,21,patrol,Promotable,100,complete_decoded_path;exact_capture_scoped_identity;captured_patrol_observation,,legacy_capture_scoped_exact_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79866562,0,6c5639bf602e2209,3594.94238,51.7449989,799.75177,3611.21973,52.5,778.204224,27.004608,2
m00013,2026-07-21T19:55:04.3105940Z,23,patrol,Promotable,100,complete_decoded_path;exact_capture_scoped_identity;captured_patrol_observation,,legacy_capture_scoped_exact_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.87385,2
m00014,2026-07-21T19:55:04.3105940Z,22,patrol,Promotable,100,complete_decoded_path;exact_capture_scoped_identity;captured_patrol_observation,,legacy_capture_scoped_exact_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,0,2cb044179e1c0e0f,3596.81177,51.7449989,788.208923,3596.05518,51.7449989,788.482483,0.804527,2
m00015,2026-07-21T19:55:04.5664354Z,26,patrol,Promotable,100,complete_decoded_path;exact_capture_scoped_identity;captured_patrol_observation,,legacy_capture_scoped_exact_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.03003,52.2449989,784.119568,0.96659,2
m00016,2026-07-21T19:55:04.5664354Z,25,patrol,Promotable,100,complete_decoded_path;exact_capture_scoped_identity;captured_patrol_observation,,legacy_capture_scoped_exact_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,0,2cb044179e1c0e0f,3596.81177,51.7449989,788.208923,3596.05518,51.7449989,788.482483,0.804527,2
m00017,2026-07-21T19:55:04.7533206Z,29,patrol,Promotable,100,complete_decoded_path;exact_capture_scoped_identity;captured_patrol_observation,,legacy_capture_scoped_exact_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.87385,2
m00018,2026-07-21T19:55:04.7533206Z,28,patrol,Promotable,100,complete_decoded_path;exact_capture_scoped_identity;captured_patrol_observation,,legacy_capture_scoped_exact_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,0,2cb044179e1c0e0f,3596.81177,51.7449989,788.208923,3596.05518,51.7449989,788.482483,0.804527,2
m00019,2026-07-21T19:55:05.1570621Z,34,patrol,Promotable,100,complete_decoded_path;exact_capture_scoped_identity;captured_patrol_observation,,legacy_capture_scoped_exact_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.7449989,783.935852,3596.05933,52.2449989,783.761475,0.936056,2
m00020,2026-07-21T19:55:05.1570621Z,39,patrol,Promotable,100,complete_decoded_path;exact_capture_scoped_identity;captured_patrol_observation,,legacy_capture_scoped_exact_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,52aa3d9899596478,3596.979,51.7449989,783.935852,3596.02808,52.2449989,783.720337,0.975036,2
m00021,2026-07-21T19:55:05.1570621Z,33,patrol,Promotable,100,complete_decoded_path;exact_capture_scoped_identity;captured_patrol_observation,,legacy_capture_scoped_exact_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,0,2cb044179e1c0e0f,3596.81177,51.7449989,788.208923,3596.05518,51.7449989,788.482483,0.804527,2
m00022,2026-07-21T19:55:05.1570621Z,37,patrol,Promotable,100,complete_decoded_path;exact_capture_scoped_identity;captured_patrol_observation,,legacy_capture_scoped_exact_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,0,2cb044179e1c0e0f,3596.81177,51.7449989,788.208923,3596.05518,51.7449989,788.482483,0.804527,2
m00023,2026-07-21T19:55:05.1570621Z,38,patrol,Promotable,100,complete_decoded_path;exact_capture_scoped_identity;captured_patrol_observation,,legacy_capture_scoped_exact_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79866547,0,8ab5ddbcde1d7938,3612.97583,52.1349983,787.87738,3596.9751,52.5,772.29895,22.331835,2
m00024,2026-07-21T19:55:05.4029104Z,41,patrol,Promotable,100,complete_decoded_path;exact_capture_scoped_identity;captured_patrol_observation,,legacy_capture_scoped_exact_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.7449989,783.935852,3596.10522,51.7449989,783.924805,0.87385,2
m00025,2026-07-21T19:55:05.4029104Z,40,patrol,Promotable,100,complete_decoded_path;exact_capture_scoped_identity;captured_patrol_observation,,legacy_capture_scoped_exact_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,0,2cb044179e1c0e0f,3596.81177,51.7449989,788.208923,3596.05518,51.7449989,788.482483,0.804527,2
