ObservationId,CapturedUtc,Sequence,Behavior,Disposition,Confidence,DecisionReasons,Influences,MetadataResolution,NpcFamily,MonsterData,Level,PlayfieldId,Name,RuntimeIdentity,RuntimeGeneration,RouteSignature,CurrentX,CurrentY,CurrentZ,DestinationX,DestinationY,DestinationZ,HorizontalDistance,PathCount
m00117,2026-07-22T08:48:18.585500Z,542,chase,Ambiguous,84,combat_target_position_unavailable,combat;player,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:7988C9BE,1,7b07f2dc29caaa82,3620.62354,51.744999,799.041138,3602.09277,52.5,788.285278,21.426105,2
m01642,2026-07-22T08:49:35.314804Z,4503,chase,Ambiguous,84,combat_target_position_unavailable,combat;player,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:7988C9D3,1,1b1f7f01b8749710,3622.09155,51.744999,798.237366,3622.82764,52.5,798.754517,0.899596,2
m01649,2026-07-22T08:49:35.315303Z,4510,chase,Ambiguous,84,combat_target_position_unavailable,combat;player,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:7988C9D3,1,bd39ba2e29a53ef6,3622.09155,51.744999,798.237366,3622.71216,52.5,798.915344,0.919136,2
m01656,2026-07-22T08:49:35.522381Z,4518,chase,Ambiguous,84,combat_target_position_unavailable,combat;player,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:7988C9D3,1,1b1f7f01b8749710,3622.09155,51.744999,798.237366,3622.75488,52.5,798.827026,0.887528,2
m01663,2026-07-22T08:49:35.970063Z,4539,chase,Ambiguous,84,combat_target_position_unavailable,combat;player,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:7988C9D3,1,d4d798b345d4b1a1,3622.09155,51.744999,798.237366,3623.10938,52.5,798.720642,1.126736,2
m01674,2026-07-22T08:49:36.174677Z,4553,chase,Ambiguous,84,combat_target_position_unavailable,combat;player,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:7988C9D3,1,18063e0202096350,3622.2207,51.744999,798.298584,3622.71265,52.5,799.085999,0.92846,2
m01680,2026-07-22T08:49:36.376337Z,4560,chase,Ambiguous,84,combat_target_position_unavailable,combat;player,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:7988C9D3,1,9ebf22894923f5e1,3622.2207,51.744999,798.298584,3622.82129,52.5,798.759094,0.756821,2
m01687,2026-07-22T08:49:36.578908Z,4567,chase,Ambiguous,84,combat_target_position_unavailable,combat;player,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:7988C9D3,1,576ab04f318db6e1,3622.2207,51.744999,798.298584,3623.01587,52.5,798.700439,0.890945,2
m01694,2026-07-22T08:49:36.792664Z,4586,chase,Ambiguous,84,combat_target_position_unavailable,combat;player,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:7988C9D3,1,576ab04f318db6e1,3622.2207,51.744999,798.298584,3623.10449,52.5,798.718811,0.978609,2
m01701,2026-07-22T08:49:37.035801Z,4593,chase,Ambiguous,84,post_combat_direction_not_leash,combat;player,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:7988C9D3,1,9ebf22894923f5e1,3622.2207,51.744999,798.298584,3623.18604,52.5,798.764526,1.071906,2
m02823,2026-07-22T08:50:30.376986Z,7626,chase,Ambiguous,84,combat_target_position_unavailable,combat;player,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:7988C9F4,1,a786c0bf2ba3770b,3620.35913,51.744999,785.099426,3620.7002,52.5,783.988098,1.162488,2
m02828,2026-07-22T08:50:30.686170Z,7641,chase,Ambiguous,84,post_combat_direction_not_leash,combat;player,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:7988C9F4,1,6362d488a88ec42b,3620.41235,51.744999,784.925598,3620.97559,52.5,784.299011,0.842526,2
m02831,2026-07-22T08:50:30.891742Z,7655,chase,Ambiguous,84,post_combat_direction_not_leash,combat;player,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:7988C9F4,1,6362d488a88ec42b,3620.41235,51.744999,784.925598,3621.14282,52.5,784.263794,0.985683,2
