ObservationId,CapturedUtc,Sequence,Behavior,Disposition,Confidence,DecisionReasons,Influences,MetadataResolution,NpcFamily,MonsterData,Level,PlayfieldId,Name,RuntimeIdentity,RuntimeGeneration,RouteSignature,CurrentX,CurrentY,CurrentZ,DestinationX,DestinationY,DestinationZ,HorizontalDistance,PathCount
m03968,2026-07-22T08:52:13.939219Z,11358,flee,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_flee_observation;combat_influence_preserved_for_behavior,combat,later_scfu_same_generation,95,96056,2,1044525,Bureaucrat Worker,SimpleChar:7988C997,1,6accac977b1c4eee,3589.84375,40.964996,841.650269,3594.44336,41.854996,835.984558,7.297718,2
m03975,2026-07-22T08:52:14.173335Z,11372,flee,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_flee_observation;combat_influence_preserved_for_behavior;player_influence_preserved_for_behavior,combat;player,later_scfu_same_generation,137,26137,3,1044525,Dockworker,SimpleChar:79666CF1,1,80fb3dd3c96e86c9,3588.37769,40.964996,843.475098,3591.68115,41.854996,832.889038,11.089523,2
m04001,2026-07-22T08:52:15.589893Z,11469,flee,Rejected,49,path_interrupted_by_stop_command,combat;player,later_scfu_same_generation,137,26137,3,1044525,Dockworker,SimpleChar:79666CF1,1,799210758b7cb52e,3590.23901,41.144997,837.510803,3598.43384,41.644997,833.735291,9.022734,2
m04020,2026-07-22T08:52:17.025132Z,11526,flee,Rejected,49,path_interrupted_by_stop_command,combat;player,later_scfu_same_generation,137,26137,3,1044525,Dockworker,SimpleChar:79666CF1,1,0c18d84dedef40d5,3594.59375,41.354996,834.914551,3588.66748,41.464996,843.397888,10.348318,2
m07120,2026-07-22T08:58:13.369123Z,24266,flee,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_flee_observation;combat_influence_preserved_for_behavior;player_influence_preserved_for_behavior,combat;player,complete_capture_stable_identity,25,17657,2,1044525,Garbage Flea,SimpleChar:7988C8C4,3,5efd0aec2f4189d5,3551.59448,7.343136,886.900635,3549.66699,6.231045,885.653076,2.296001,2
m07128,2026-07-22T08:58:14.939046Z,24381,flee,Rejected,49,explicit_setpos_teleport;path_interrupted_by_stop_command,combat;player,complete_capture_stable_identity,25,17657,2,1044525,Garbage Flea,SimpleChar:7988C8C4,3,35f8db96c220795f,3550.92407,6.936093,886.381836,3545.22632,7.250183,888.214722,5.985301,2
m09436,2026-07-22T09:07:44.533020Z,40348,flee,Rejected,49,explicit_setpos_teleport;path_interrupted_by_stop_command,combat;player,complete_capture_stable_identity,25,17657,2,1044525,Garbage Flea,SimpleChar:7988CAA5,5,109d23f9ca7a9f27,3553.67407,5.110001,867.696045,3554.36035,5.110001,874.144592,6.484963,2
m09609,2026-07-22T09:09:02.500192Z,43958,flee,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_flee_observation;combat_influence_preserved_for_behavior,combat,later_scfu_same_generation,95,96056,2,1044525,Bureaucrat Worker,SimpleChar:7988C997,1,8cf5eeb08d1f3f2b,3542.47095,9.253627,943.257874,3541.60449,10.212801,940.164185,3.212735,2
m10210,2026-07-22T09:16:57.064955Z,55615,flee,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_flee_observation;combat_influence_preserved_for_behavior,combat,later_scfu_same_generation,95,96056,2,1044525,Bureaucrat Worker,SimpleChar:7988C997,1,4dc2340d372f0fbd,3551.28687,9.650064,933.549194,3547.08618,9.848288,940.681824,8.277693,2
m10353,2026-07-22T09:18:53.624214Z,57486,flee,Rejected,49,explicit_setpos_teleport;path_interrupted_by_stop_command,combat;player,complete_capture_stable_identity,25,17657,2,1044525,Garbage Flea,SimpleChar:7988CB32,3,6cd518fb0e3b2653,3512.89575,7.654027,930.682922,3520.65869,6.933264,927.031128,8.578976,2
