ObservationId,CapturedUtc,Sequence,Behavior,Disposition,Confidence,DecisionReasons,Influences,MetadataResolution,NpcFamily,MonsterData,Level,PlayfieldId,Name,RuntimeIdentity,RuntimeGeneration,RouteSignature,CurrentX,CurrentY,CurrentZ,DestinationX,DestinationY,DestinationZ,HorizontalDistance,PathCount
m02867,2026-07-22T08:50:34.005368Z,7758,leash,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_leash_observation;combat_influence_preserved_for_behavior;player_influence_preserved_for_behavior,combat;player,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:7988C9F4,1,ae0b4b20a5f412e9,3620.49854,51.744999,784.848694,3612.18042,52.5,787.760315,8.812982,2
m02953,2026-07-22T08:50:40.281351Z,7974,leash,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_leash_observation;combat_influence_preserved_for_behavior;player_influence_preserved_for_behavior,combat;player,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:7988C9F4,1,7df020e2965951fd,3612.94678,52.134998,787.473389,3612.1626,52.5,788.252075,1.10512,2
m04206,2026-07-22T08:52:31.621923Z,12060,leash,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_leash_observation;combat_influence_preserved_for_behavior,combat,later_scfu_same_generation,95,96056,2,1044525,Bureaucrat Worker,SimpleChar:7988C997,1,f10b739120a8d570,3629.92651,51.654579,790.319214,3632.44946,49.569778,797.340149,7.460483,2
m04229,2026-07-22T08:52:33.570863Z,12197,leash,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_leash_observation;combat_influence_preserved_for_behavior,combat,later_scfu_same_generation,95,96056,2,1044525,Bureaucrat Worker,SimpleChar:7988C997,1,3554403f0b8eb7a7,3632.17456,49.378876,796.575317,3635.40942,46.498463,804.485168,8.545763,2
m04248,2026-07-22T08:52:34.967541Z,12241,leash,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_leash_observation;combat_influence_preserved_for_behavior,combat,later_scfu_same_generation,95,96056,2,1044525,Bureaucrat Worker,SimpleChar:7988C997,1,9d53c35b9cb85565,3634.48145,47.327518,802.214661,3632.58887,43.50494,812.545288,10.502557,2
m04267,2026-07-22T08:52:37.010417Z,12338,leash,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_leash_observation;combat_influence_preserved_for_behavior,combat,later_scfu_same_generation,95,96056,2,1044525,Bureaucrat Worker,SimpleChar:7988C997,1,da1e43cc9f16d217,3633.11865,44.327892,810.460876,3631.75415,41.484997,820.960388,10.587805,2
m04288,2026-07-22T08:52:38.775909Z,12395,leash,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_leash_observation;combat_influence_preserved_for_behavior,combat,later_scfu_same_generation,95,96056,2,1044525,Bureaucrat Worker,SimpleChar:7988C997,1,920c1113ed640aa7,3631.97217,41.199005,819.062439,3623.84033,41.484997,825.851074,10.593035,2
m04308,2026-07-22T08:52:40.331731Z,12466,leash,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_leash_observation;combat_influence_preserved_for_behavior,combat,later_scfu_same_generation,95,96056,2,1044525,Bureaucrat Worker,SimpleChar:7988C997,1,f4d1db064200a14a,3625.4209,40.984997,824.783447,3616.98291,41.464996,831.233826,10.621067,2
m04333,2026-07-22T08:52:42.416721Z,12545,leash,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_leash_observation;combat_influence_preserved_for_behavior,combat,later_scfu_same_generation,95,96056,2,1044525,Bureaucrat Worker,SimpleChar:7988C997,1,4242fa253df7e003,3617.74731,40.984997,830.640198,3611.64038,41.464996,833.073914,6.574007,2
m04350,2026-07-22T08:52:43.856991Z,12600,leash,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_leash_observation;combat_influence_preserved_for_behavior,combat,later_scfu_same_generation,95,96056,2,1044525,Bureaucrat Worker,SimpleChar:7988C997,1,1a62d91857980a02,3612.41821,40.964996,832.763916,3607.11475,41.464996,834.709839,5.649186,2
m07191,2026-07-22T08:58:44.001610Z,25278,leash,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_leash_observation;combat_influence_preserved_for_behavior,combat,later_scfu_same_generation,95,96056,2,1044525,Bureaucrat Worker,SimpleChar:7988C997,1,f7f78b8eb84bce66,3545.45947,7.23791,888.637329,3547.43579,6.517819,885.714722,3.528098,2
m07312,2026-07-22T09:00:00.672762Z,27597,leash,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_leash_observation;combat_influence_preserved_for_behavior,combat,later_scfu_same_generation,95,96056,2,1044525,Bureaucrat Worker,SimpleChar:7988C997,1,6c45519c9eb14eb4,3557.82007,5.110001,866.050171,3561.84009,5.610001,866.138611,4.020993,2
m07317,2026-07-22T09:00:01.725778Z,27660,leash,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_leash_observation;combat_influence_preserved_for_behavior,combat,later_scfu_same_generation,95,96056,2,1044525,Bureaucrat Worker,SimpleChar:7988C997,1,cb7f39e8d26cfb7b,3560.84058,5.110001,866.116577,3564.3125,5.610001,863.064941,4.622414,2
m07321,2026-07-22T09:00:02.752873Z,27706,leash,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_leash_observation;combat_influence_preserved_for_behavior,combat,later_scfu_same_generation,95,96056,2,1044525,Bureaucrat Worker,SimpleChar:7988C997,1,ca5a64af5e13021d,3563.6687,5.110001,863.630676,3567.69409,5.945,857.372009,7.441416,2
