ObservationId,CapturedUtc,Sequence,Behavior,Disposition,Confidence,DecisionReasons,Influences,MetadataResolution,NpcFamily,MonsterData,Level,PlayfieldId,Name,RuntimeIdentity,RuntimeGeneration,RouteSignature,CurrentX,CurrentY,CurrentZ,DestinationX,DestinationY,DestinationZ,HorizontalDistance,PathCount
m00001,2026-07-22T08:48:09.362643Z,1,patrol,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_patrol_observation,,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,0,2cb044179e1c0e0f,3596.81177,51.744999,788.208923,3596.05518,51.744999,788.482483,0.804527,2
m00002,2026-07-22T08:48:09.363143Z,2,patrol,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_patrol_observation,,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0.87385,2
m00003,2026-07-22T08:48:09.363143Z,3,patrol,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_patrol_observation,,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,0,2cb044179e1c0e0f,3596.81177,51.744999,788.208923,3596.05518,51.744999,788.482483,0.804527,2
m00004,2026-07-22T08:48:09.363143Z,4,patrol,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_patrol_observation,,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.05347,52.244999,784.089233,0.938153,2
m00005,2026-07-22T08:48:09.363143Z,5,patrol,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_patrol_observation,,complete_capture_stable_identity,1019,297023,1,1044525,Cleaning Robot,SimpleChar:79882F8E,0,199f4b75c66ac154,3627.79077,40.984997,834.160339,3623.53735,40.690689,835.615723,4.495523,2
m00006,2026-07-22T08:48:09.363143Z,6,patrol,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_patrol_observation,,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,0,2cb044179e1c0e0f,3596.81177,51.744999,788.208923,3596.05518,51.744999,788.482483,0.804527,2
m00007,2026-07-22T08:48:09.363143Z,7,patrol,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_patrol_observation,,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.0791,52.244999,784.043152,0.906274,2
m00008,2026-07-22T08:48:09.486220Z,8,patrol,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_patrol_observation,,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,0,2cb044179e1c0e0f,3596.81177,51.744999,788.208923,3596.05518,51.744999,788.482483,0.804527,2
m00009,2026-07-22T08:48:09.486220Z,9,patrol,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_patrol_observation,,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.0708,52.244999,783.781677,0.921193,2
m00010,2026-07-22T08:48:09.672866Z,10,patrol,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_patrol_observation,,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,0,2cb044179e1c0e0f,3596.81177,51.744999,788.208923,3596.05518,51.744999,788.482483,0.804527,2
m00011,2026-07-22T08:48:09.672866Z,11,patrol,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_patrol_observation,,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0.87385,2
m00012,2026-07-22T08:48:09.893940Z,19,patrol,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_patrol_observation,,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,0,2cb044179e1c0e0f,3596.81177,51.744999,788.208923,3596.05518,51.744999,788.482483,0.804527,2
m00013,2026-07-22T08:48:09.893940Z,20,patrol,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_patrol_observation,,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,52aa3d9899596478,3596.979,51.744999,783.935852,3596.02539,52.244999,783.717285,0.978337,2
m00014,2026-07-22T08:48:09.893940Z,21,patrol,Rejected,49,metadata_unresolved,,unresolved,,,,,Malfunctioning Cleaning Robot,SimpleChar:7988C9B9,0,56b11fb760647d2f,3602.15088,52.134998,789.130005,3602.25708,52.5,788.15448,0.981289,2
m00015,2026-07-22T08:48:10.082510Z,22,patrol,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_patrol_observation,,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,0,2eb3373b9dba6082,3596.81177,51.744999,788.208923,3596.06958,52.244999,788.629639,0.85314,2
m00016,2026-07-22T08:48:10.083009Z,23,patrol,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_patrol_observation,,complete_capture_stable_identity,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,52aa3d9899596478,3596.979,51.744999,783.935852,3596.03955,52.244999,783.733704,0.960953,2
m00017,2026-07-22T08:48:10.083009Z,24,patrol,Rejected,49,metadata_unresolved,,unresolved,,,,,Malfunctioning Cleaning Robot,SimpleChar:7988C9B9,0,9a840fa2f1fa5acf,3602.15088,52.134998,789.130005,3601.78979,52.5,788.21405,0.984561,2
m00079,2026-07-22T08:48:15.532678Z,383,patrol,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_patrol_observation,,later_scfu_same_generation,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,1,2cb044179e1c0e0f,3596.81177,51.744999,788.208923,3596.05518,51.744999,788.482483,0.804527,2
m00080,2026-07-22T08:48:15.532678Z,384,patrol,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_patrol_observation,,later_scfu_same_generation,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.07153,52.244999,783.783081,0.92024,2
m00081,2026-07-22T08:48:15.866857Z,388,patrol,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_patrol_observation,,later_scfu_same_generation,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,1,2cb044179e1c0e0f,3596.81177,51.744999,788.208923,3596.05518,51.744999,788.482483,0.804527,2
m00082,2026-07-22T08:48:15.866857Z,389,patrol,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_patrol_observation,,later_scfu_same_generation,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.05078,52.244999,784.093323,0.941483,2
m00083,2026-07-22T08:48:15.866857Z,390,patrol,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_patrol_observation,,later_scfu_same_generation,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,1,2eb3373b9dba6082,3596.81177,51.744999,788.208923,3596.07275,52.244999,788.596191,0.834342,2
m00084,2026-07-22T08:48:15.866857Z,391,patrol,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_patrol_observation,,later_scfu_same_generation,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.08008,52.244999,784.041382,0.905093,2
