ObservationId,EquivalentObservationCount,CapturedUtc,Sequence,Behavior,NpcFamily,MonsterData,Level,CapturedPlayfieldId,RuntimePlayfieldId,Name,SourceIdentity,SourceGeneration,RouteSignature,StartX,StartY,StartZ,EndX,EndY,EndZ,DelayAfterSeconds,PathCount
m09677,1,2026-07-22T09:09:29.181425Z,45114,chase,1019,17714,4,1044525,6553,Supreme Collector of Waste,SimpleChar:79882C8F,6,e18fb52697f1261b,3505.75781,10.960833,943.786743,3515.82715,10.343327,943.089539,2.202236,2
m09682,1,2026-07-22T09:09:31.383661Z,45174,chase,1019,17714,4,1044525,6553,Supreme Collector of Waste,SimpleChar:79882C8F,6,dd5d83dfaccf7fc1,3510.93677,11.599831,943.422546,3513.89941,11.099402,942.576111,0,2
m07158,1,2026-07-22T08:58:24.323560Z,24705,chase,1019,17714,2,1044525,6553,Waste Collector,SimpleChar:7988C8C9,3,3ade8f9b50d3beef,3544.41479,7.271707,889.616882,3546.3689,7.138222,888.673645,0,2
m09524,1,2026-07-22T09:08:17.075469Z,42347,chase,25,17657,2,1044525,6553,Garbage Flea,SimpleChar:7988C914,21,8fbed7a178d4bdf8,3562.68457,8.496161,914.546143,3560.96191,8.697512,915.723816,0.77692,2
m09525,1,2026-07-22T09:08:17.852389Z,42380,chase,25,17657,2,1044525,6553,Garbage Flea,SimpleChar:7988C914,21,d4f9d1f923b74ac9,3561.71997,8.374002,915.205444,3558.93481,8.820572,915.664001,0,2
m07294,1,2026-07-22T08:59:46.774608Z,26885,chase,25,17657,2,1044525,6553,Garbage Flea,SimpleChar:7988C91C,17,6ace3d903ac37bdd,3558.62671,5.110001,865.451111,3552.54932,5.110001,868.246155,0,2
m09902,1,2026-07-22T09:11:29.596472Z,48346,chase,25,17657,2,1044525,6553,Garbage Flea,SimpleChar:7988C932,10,6315e5754463d82e,3524.21362,5.110001,888.712952,3518.65234,5.110001,890.214111,0,2
m07171,1,2026-07-22T08:58:34.216582Z,25009,chase,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,2527fa4140b00bc6,3546.11987,7.042116,888.007935,3543.96118,8.638812,890.612915,76.148906,2
m07299,1,2026-07-22T08:59:50.365488Z,27155,chase,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,5e7f3dfda1d63384,3559.31763,5.110001,869.316589,3556.29907,5.610001,864.067078,0.445228,2
m07302,1,2026-07-22T08:59:50.810716Z,27179,chase,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,fba2d2db8e25beaf,3558.81226,5.110001,868.392944,3557.552,5.610001,865.206177,93.417585,2
m07464,1,2026-07-22T09:01:24.228301Z,28998,chase,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,40a4c5941e682880,3517.23779,5.110001,855.581421,3513.56396,5.610001,860.854553,1.680901,2
m07470,1,2026-07-22T09:01:25.909202Z,29075,chase,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,35930915bf68d88f,3514.1228,5.110001,860.052307,3510.80566,5.610001,862.796082,380.266872,2
m09439,1,2026-07-22T09:07:46.176074Z,40431,chase,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,11a60ddd98423725,3553.33276,5.110001,865.393921,3552.76001,5.610001,868.235107,0.471276,2
m09442,1,2026-07-22T09:07:46.647350Z,40451,chase,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,eedd8e6b8608d409,3553.18677,5.110001,866.273071,3551.98096,5.610001,869.859375,19.147423,2
m09490,1,2026-07-22T09:08:05.794773Z,41792,chase,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,27169bafc0aea24d,3565.20776,8.578961,899.687866,3557.01782,8.610001,907.365112,0.388704,2
m09492,1,2026-07-22T09:08:06.183477Z,41803,chase,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,795f9a80ace29343,3564.50146,8.70784,900.416077,3558.62305,8.610001,906.847412,12.038093,2
m09526,1,2026-07-22T09:08:18.221570Z,42406,chase,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,3e70209fb9832d67,3557.45776,8.197561,913.139221,3561.44678,8.739749,913.663696,42.724171,2
m09604,1,2026-07-22T09:09:00.945741Z,43902,chase,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,02769c83744abfb5,3542.77759,10.038307,937.106873,3544.00781,9.893071,943.819946,0.429723,2
m09607,1,2026-07-22T09:09:01.375464Z,43922,chase,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,cab672248df5f1d9,3542.95386,9.976298,938.109924,3542.17456,9.899117,945.080383,47.390595,2
