ObservationId,EquivalentObservationCount,CapturedUtc,Sequence,Behavior,NpcFamily,MonsterData,Level,CapturedPlayfieldId,RuntimePlayfieldId,Name,SourceIdentity,SourceGeneration,RouteSignature,StartX,StartY,StartZ,EndX,EndY,EndZ,DelayAfterSeconds,PathCount
m10945,1,2026-07-22T09:24:49.491119Z,64824,flee,0,26092,40,1044525,6553,ICC Peacekeeper,SimpleChar:7962A325,3,f02f9de64c775cde,3450.27393,0.247852,802.898438,3453.58154,4.776038,785.772034,0,2
m03975,1,2026-07-22T08:52:14.173335Z,11372,flee,137,26137,3,1044525,6553,Dockworker,SimpleChar:79666CF1,1,80fb3dd3c96e86c9,3588.37769,40.964996,843.475098,3591.68115,41.854996,832.889038,0,2
m11043,1,2026-07-22T09:25:52.814099Z,65294,flee,0,26092,40,1044525,6553,ICC Peacekeeper,SimpleChar:79882D97,9,544f4b241798cc95,3452.82959,0.01,849.111145,3449.72778,0.166226,886.130737,15.245606,2
m11063,1,2026-07-22T09:26:08.059705Z,65389,flee,0,26092,40,1044525,6553,ICC Peacekeeper,SimpleChar:79882D97,9,d0943704c881375e,3452.81299,0.01,884.177063,3454.49707,9.056477,891.391785,0,2
m07120,1,2026-07-22T08:58:13.369123Z,24266,flee,25,17657,2,1044525,6553,Garbage Flea,SimpleChar:7988C8C4,3,5efd0aec2f4189d5,3551.59448,7.343136,886.900635,3549.66699,6.231045,885.653076,0,2
m03968,1,2026-07-22T08:52:13.939219Z,11358,flee,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,6accac977b1c4eee,3589.84375,40.964996,841.650269,3594.44336,41.854996,835.984558,1008.560973,2
m09609,1,2026-07-22T09:09:02.500192Z,43958,flee,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,8cf5eeb08d1f3f2b,3542.47095,9.253627,943.257874,3541.60449,10.212801,940.164185,474.564763,2
m10210,1,2026-07-22T09:16:57.064955Z,55615,flee,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:7988C997,1,4dc2340d372f0fbd,3551.28687,9.650064,933.549194,3547.08618,9.848288,940.681824,0,2
m10870,1,2026-07-22T09:23:55.808759Z,64229,flee,25,17657,6,1044525,6553,Garbage Flea,SimpleChar:7988C9A3,5,3a545433133b0382,3452.36499,0.01,886.504578,3452.73877,0.51,884.161438,0.679759,2
m10872,1,2026-07-22T09:23:56.488518Z,64240,flee,25,17657,6,1044525,6553,Garbage Flea,SimpleChar:7988C9A3,5,99c28faab86fe02d,3452.46216,0.01,885.024475,3452.32446,0.51,880.54187,1.13001,2
m10876,1,2026-07-22T09:23:57.618528Z,64258,flee,25,17657,6,1044525,6553,Garbage Flea,SimpleChar:7988C9A3,5,6e528f2de2c37222,3452.35034,0.01,881.396118,3454.37817,0.51,873.735962,1.769787,2
m10879,1,2026-07-22T09:23:59.388315Z,64285,flee,25,17657,6,1044525,6553,Garbage Flea,SimpleChar:7988C9A3,5,0a5eadcced0f999f,3454.1709,0.01,874.518799,3451.75171,0.51,866.322388,1.761242,2
m10882,1,2026-07-22T09:24:01.149557Z,64306,flee,25,17657,6,1044525,6553,Garbage Flea,SimpleChar:7988C9A3,5,4d93536bacf143e7,3452.01367,0.01,867.575073,3450.32397,0.51,856.334106,2.150628,2
m10886,1,2026-07-22T09:24:03.300185Z,64338,flee,25,17657,6,1044525,6553,Garbage Flea,SimpleChar:7988C9A3,5,817414412cb9c764,3450.53223,0.01,857.809387,3451.29102,1.234574,848.081726,10.282461,2
m10897,1,2026-07-22T09:24:13.582646Z,64474,flee,25,17657,6,1044525,6553,Garbage Flea,SimpleChar:7988C9A3,5,029562f7b4eaf5c9,3449.69849,0.01,828.970581,3448.95972,0.986244,803.656006,37.897929,2
m10951,1,2026-07-22T09:24:51.480575Z,64844,flee,25,17657,6,1044525,6553,Garbage Flea,SimpleChar:7988C9A3,5,a68c21551f3798a8,3451.64771,0.01,863.562256,3450.42603,0.892165,862.10498,1.080138,2
m10954,1,2026-07-22T09:24:52.560713Z,64858,flee,25,17657,6,1044525,6553,Garbage Flea,SimpleChar:7988C9A3,5,b38c077758d06bc5,3451.25,0.01,863.337524,3451.15186,0.892165,857.847046,2.930138,2
m10957,1,2026-07-22T09:24:55.490851Z,64886,flee,25,17657,6,1044525,6553,Garbage Flea,SimpleChar:7988C9A3,5,d3f4d4bbf96d1974,3451.13403,0.01,859.182861,3451.56519,0.892165,852.259827,3.790813,2
m10962,1,2026-07-22T09:24:59.281664Z,64919,flee,25,17657,6,1044525,6553,Garbage Flea,SimpleChar:7988C9A3,5,e6495f7bb0673d03,3451.46973,0.01,853.734985,3454.21289,0.892165,846.437866,4.417322,2
m10969,1,2026-07-22T09:25:03.698986Z,64957,flee,25,17657,6,1044525,6553,Garbage Flea,SimpleChar:7988C9A3,5,754af15e114e792c,3453.70874,0.01,847.733276,3454.35864,0.892165,841.742859,0,2
m10869,1,2026-07-22T09:23:55.558561Z,64227,flee,25,17657,6,1044525,6553,Garbage Flea,SimpleChar:7988C9A6,14,416158ef9eca42f1,3452.27832,0.01,887.391418,3454.73389,0.51,884.738403,0.929957,2
m10873,1,2026-07-22T09:23:56.488518Z,64243,flee,25,17657,6,1044525,6553,Garbage Flea,SimpleChar:7988C9A6,14,f4dcb743cdb7c560,3453.9436,0.01,885.295959,3455.10352,0.51,879.92041,2.899797,2
