ObservationId,EquivalentObservationCount,CapturedUtc,Sequence,Behavior,NpcFamily,MonsterData,Level,CapturedPlayfieldId,RuntimePlayfieldId,Name,SourceIdentity,SourceGeneration,RouteSignature,StartX,StartY,StartZ,EndX,EndY,EndZ,DelayAfterSeconds,PathCount
m07348,1,2026-07-22T09:00:13.712873Z,28133,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,1,e5d891be987ef4b6,3450.05225,9.145,889.701904,3461.76147,9.01,888.967957,0,2
m07495,1,2026-07-22T09:01:36.450465Z,29265,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,2,e47f471b38533c64,3441.45703,9.01,858.462646,3448.84668,9.050667,862.536926,0,2
m07561,1,2026-07-22T09:02:15.350797Z,29731,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,3,02f1e53805738d3e,3442.44946,9.165,889.472656,3447.95923,9.053416,889.979736,2.901979,2
m07567,1,2026-07-22T09:02:18.252776Z,29764,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,3,d253fd1e01597ca9,3446.7417,9.145,889.862244,3451.55005,9.109654,889.622498,0,2
m09100,1,2026-07-22T09:04:45.706465Z,34943,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,4,97207de34910a10b,3462.76221,9.01,885.179199,3457.02905,9.109645,880.685242,0,2
m09784,1,2026-07-22T09:10:42.625244Z,46852,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,5,02f1e53805738d3e,3442.58374,9.165,889.477966,3447.95923,9.053416,889.979736,2.963338,2
m09787,1,2026-07-22T09:10:45.588582Z,46944,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,5,d253fd1e01597ca9,3446.66895,9.145,889.853638,3451.55005,9.109654,889.622498,0,2
m10251,1,2026-07-22T09:17:17.675287Z,56667,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,6,e97c08af8420f01f,3465.21851,9.01,889.079224,3469.4873,9.01,884.308228,3.591608,2
m10262,1,2026-07-22T09:17:21.266895Z,56774,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,6,ada6fe2dfef9c659,3468.7251,9.01,885.249634,3461.42432,9.009971,885.246643,0,2
m10386,1,2026-07-22T09:19:09.366198Z,58212,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,7,02f1e53805738d3e,3442.57715,9.165,889.478394,3447.95923,9.053416,889.979736,2.745231,2
m10395,1,2026-07-22T09:19:12.111429Z,58342,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,7,d253fd1e01597ca9,3446.62036,9.145,889.848816,3451.55005,9.109654,889.622498,0,2
m10671,1,2026-07-22T09:21:50.596293Z,63042,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,8,cfb94f28e08ddb13,3457.12256,9.145,870.56134,3457.23755,9.732795,860.66803,0,2
m10745,1,2026-07-22T09:22:43.536194Z,63497,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,9,e47f471b38533c64,3441.25073,9.01,858.403503,3448.84668,9.050667,862.536926,0,2
m10810,1,2026-07-22T09:23:22.757699Z,63843,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,10,02f1e53805738d3e,3442.56763,9.165,889.477295,3447.95923,9.053416,889.979736,2.499968,2
m10816,1,2026-07-22T09:23:25.257667Z,63862,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,10,146d23dd33de6eec,3446.80298,9.145,889.86676,3451.55005,9.109654,889.622498,0,2
m10948,1,2026-07-22T09:24:49.756686Z,64828,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,11,2e7998c30ffcef00,3441.17358,9.01,858.385315,3448.84668,9.050667,862.536926,0,2
m11004,1,2026-07-22T09:25:29.069961Z,65145,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,12,02f1e53805738d3e,3442.62061,9.165,889.479126,3447.95923,9.053416,889.979736,2.642212,2
m11008,1,2026-07-22T09:25:31.712173Z,65160,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,12,d253fd1e01597ca9,3446.55103,9.145,889.840881,3451.55005,9.109654,889.622498,0,2
m11120,1,2026-07-22T09:26:56.526912Z,65633,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,13,2e7998c30ffcef00,3441.18774,9.01,858.390991,3448.84668,9.050667,862.536926,0,2
m11189,1,2026-07-22T09:27:35.701623Z,65864,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,14,02f1e53805738d3e,3442.61255,9.165,889.479736,3447.95923,9.053416,889.979736,2.764514,2
m11193,1,2026-07-22T09:27:38.466137Z,65875,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,14,d253fd1e01597ca9,3446.63525,9.145,889.849609,3451.55005,9.109654,889.622498,0,2
m11338,1,2026-07-22T09:29:03.052202Z,66354,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,15,e47f471b38533c64,3441.25049,9.01,858.402954,3448.84668,9.050667,862.536926,0,2
m11413,1,2026-07-22T09:29:42.158612Z,66584,spawn,137,26125,10,1044525,6553,Leonora Marty,SimpleChar:78E0FC74,16,02f1e53805738d3e,3442.42798,9.165,889.473145,3447.95923,9.053416,889.979736,2.823042,2
