ObservationId,CapturedUtc,Sequence,Behavior,Disposition,Confidence,DecisionReasons,Influences,MetadataResolution,NpcFamily,MonsterData,Level,PlayfieldId,Name,RuntimeIdentity,RuntimeGeneration,RouteSignature,CurrentX,CurrentY,CurrentZ,DestinationX,DestinationY,DestinationZ,HorizontalDistance,PathCount
m00164,2026-07-22T08:48:22.820466Z,770,scripted,Ambiguous,84,scripted_family_heuristic_only,,later_scfu_same_generation,103,203740,2,1044525,Protester,SimpleChar:797FD582,1,2d87ce957b8e0fbe,3597.73877,5.110001,794.069031,3591.88379,5.110001,801.318481,9.318547,2
m00223,2026-07-22T08:48:28.006258Z,919,scripted,Ambiguous,84,scripted_family_heuristic_only,,later_scfu_same_generation,103,203740,2,1044525,Protester,SimpleChar:797FD582,1,98243a84bff3066c,3592.80054,5.110001,800.263855,3573.72852,5.110001,801.586853,19.117852,2
m00365,2026-07-22T08:48:39.972047Z,1666,scripted,Ambiguous,84,scripted_family_heuristic_only,,later_scfu_same_generation,103,203740,2,1044525,Protester,SimpleChar:797FD582,1,bca2d79694a35612,3575.01782,5.110001,801.515198,3559.26318,5.110001,801.117615,15.759656,2
m00477,2026-07-22T08:48:49.581498Z,2166,scripted,Ambiguous,84,scripted_family_heuristic_only,,later_scfu_same_generation,103,203740,2,1044525,Protester,SimpleChar:797FD582,1,2037e47c379e942c,3560.58521,5.110001,801.153137,3535.81934,5.110001,799.922363,24.796434,2
m01081,2026-07-22T08:49:14.104810Z,3232,scripted,Ambiguous,84,scripted_family_heuristic_only,,later_scfu_same_generation,103,203740,2,1044525,Protester,SimpleChar:7985C910,1,467c6002ef0ce8ad,3566.41455,5.110001,817.698975,3564.1167,5.110001,808.276062,9.699041,2
m01237,2026-07-22T08:49:19.832157Z,3618,scripted,Ambiguous,84,scripted_family_heuristic_only,,later_scfu_same_generation,103,203740,2,1044525,Protester,SimpleChar:7985C910,1,f6bb1692a625ebca,3564.44434,5.110001,809.579468,3562.99683,5.110001,799.208618,10.471381,2
m01383,2026-07-22T08:49:25.727297Z,4069,scripted,Ambiguous,84,scripted_family_heuristic_only,,later_scfu_same_generation,103,203740,2,1044525,Protester,SimpleChar:7985C910,1,0dda592efde613e0,3563.18286,5.110001,800.574158,3539.98413,5.110015,796.084534,23.629173,2
m01890,2026-07-22T08:49:44.629782Z,5164,scripted,Ambiguous,84,scripted_family_heuristic_only,,later_scfu_same_generation,103,203740,2,1044525,Protester,SimpleChar:797FD582,2,c3df90c0f10a26c3,3577.39038,6.91,770.32843,3586.36157,6.91,770.55304,8.974001,2
m01983,2026-07-22T08:49:49.882561Z,5471,scripted,Ambiguous,84,scripted_family_heuristic_only,,later_scfu_same_generation,103,203740,2,1044525,Protester,SimpleChar:797FD582,2,155920b0a7cbad86,3585.03198,6.91,770.49292,3592.95728,6.01,771.094788,7.948121,2
m02088,2026-07-22T08:49:54.422564Z,5824,scripted,Ambiguous,84,scripted_family_heuristic_only,,later_scfu_same_generation,103,203740,2,1044525,Protester,SimpleChar:797FD582,2,8a87362a4994e820,3591.62012,6.101846,770.991455,3598.09741,5.110001,795.504333,25.35422,2
m02440,2026-07-22T08:50:10.426583Z,6659,scripted,Ambiguous,84,scripted_family_heuristic_only,,later_scfu_same_generation,103,203740,2,1044525,Protester,SimpleChar:797FD582,2,a4a29d909db55b90,3597.77197,5.110001,794.179626,3591.88379,5.110001,801.318481,9.253859,2
m02521,2026-07-22T08:50:15.874185Z,6917,scripted,Ambiguous,84,scripted_family_heuristic_only,,later_scfu_same_generation,103,203740,2,1044525,Protester,SimpleChar:797FD582,2,98243a84bff3066c,3592.75171,5.110001,800.341553,3573.72852,5.110001,801.586853,19.063906,2
m02780,2026-07-22T08:50:27.731810Z,7535,scripted,Ambiguous,84,scripted_family_heuristic_only,,later_scfu_same_generation,103,203740,2,1044525,Protester,SimpleChar:797FD582,2,bca2d79694a35612,3575.0752,5.110001,801.516968,3559.26318,5.110001,801.117615,15.817062,2
m02916,2026-07-22T08:50:37.486037Z,7866,scripted,Ambiguous,84,scripted_family_heuristic_only,,later_scfu_same_generation,103,203740,2,1044525,Protester,SimpleChar:797FD582,2,2037e47c379e942c,3560.7478,5.110001,801.157593,3535.81934,5.110001,799.922363,24.959045,2
m03306,2026-07-22T08:51:09.822693Z,8874,scripted,Ambiguous,84,scripted_family_heuristic_only,,later_scfu_same_generation,103,203740,2,1044525,Protester,SimpleChar:7985C910,2,467c6002ef0ce8ad,3566.40259,5.110001,817.641541,3564.1167,5.110001,808.276062,9.640409,2
m03391,2026-07-22T08:51:15.173352Z,9066,scripted,Ambiguous,84,scripted_family_heuristic_only,,later_scfu_same_generation,103,203740,2,1044525,Protester,SimpleChar:7985C910,2,f6bb1692a625ebca,3564.4375,5.110001,809.545105,3562.99683,5.110001,799.208618,10.436402,2
m03456,2026-07-22T08:51:21.532368Z,9254,scripted,Ambiguous,84,scripted_family_heuristic_only,,later_scfu_same_generation,103,203740,2,1044525,Protester,SimpleChar:7985C910,2,0dda592efde613e0,3563.16821,5.110001,800.468628,3539.98413,5.110015,796.084534,23.594954,2
m03602,2026-07-22T08:51:32.659720Z,9644,scripted,Ambiguous,84,scripted_family_heuristic_only,,later_scfu_same_generation,103,203740,2,1044525,Protester,SimpleChar:797FD582,3,c3df90c0f10a26c3,3577.45142,6.91,770.292358,3586.36157,6.91,770.55304,8.913963,2
m03685,2026-07-22T08:51:37.434394Z,9891,scripted,Ambiguous,84,scripted_family_heuristic_only,,later_scfu_same_generation,103,203740,2,1044525,Protester,SimpleChar:797FD582,3,155920b0a7cbad86,3584.89697,6.91,770.479919,3592.95728,6.01,771.094788,8.083728,2
m03744,2026-07-22T08:51:41.966065Z,10120,scripted,Ambiguous,84,scripted_family_heuristic_only,,later_scfu_same_generation,103,203740,2,1044525,Protester,SimpleChar:797FD582,3,8a87362a4994e820,3591.62549,6.100637,770.991699,3598.09741,5.110001,795.504333,25.352613,2
m03931,2026-07-22T08:52:03.845521Z,10899,scripted,Ambiguous,84,scripted_family_heuristic_only,,preceding_scfu_same_generation,103,203740,2,1044525,Protester,SimpleChar:797FD582,3,98243a84bff3066c,3592.7832,5.110001,800.341553,3573.72852,5.110001,801.586853,19.095329,2
m03998,2026-07-22T08:52:15.589893Z,11466,scripted,Ambiguous,84,scripted_family_heuristic_only,,later_scfu_same_generation,103,203740,2,1044525,Protester,SimpleChar:797FD582,4,bca2d79694a35612,3574.99487,5.110001,801.520813,3559.26318,5.110001,801.117615,15.736856,2
m04135,2026-07-22T08:52:25.312184Z,11838,scripted,Ambiguous,84,scripted_family_heuristic_only,,later_scfu_same_generation,103,203740,2,1044525,Protester,SimpleChar:797FD582,4,2037e47c379e942c,3560.41699,5.110001,801.148926,3535.81934,5.110001,799.922363,24.628212,2
