ObservationId,EquivalentObservationCount,CapturedUtc,Sequence,Behavior,NpcFamily,MonsterData,Level,CapturedPlayfieldId,RuntimePlayfieldId,Name,SourceIdentity,SourceGeneration,RouteSignature,StartX,StartY,StartZ,EndX,EndY,EndZ,DelayAfterSeconds,PathCount
m07796,1,2026-07-22T14:04:27.084502Z,62077,patrol,15,17662,1,1044525,6553,Minibronto,SimpleChar:78E0FD9A,1,6a0faeecbe80241d,3498.51123,8.110001,449.251617,3502.49268,8.110001,449.201141,1.580447,2
m07800,1,2026-07-22T14:04:28.664949Z,62125,patrol,15,17662,1,1044525,6553,Minibronto,SimpleChar:78E0FD9A,1,40b566b9ecb63f3f,3501.05151,8.110001,449.184753,3506.57275,8.142289,447.569489,2.948833,2
m07808,1,2026-07-22T14:04:31.613782Z,62220,patrol,15,17662,1,1044525,6553,Minibronto,SimpleChar:78E0FD9A,1,d5c15003bab53d62,3505.17529,8.11165,448.006287,3509.58301,8.397344,445.75177,2.631211,2
m07813,1,2026-07-22T14:04:34.244993Z,62302,patrol,15,17662,1,1044525,6553,Minibronto,SimpleChar:78E0FD9A,1,8a1a0d6110c9321a,3508.47461,8.273355,446.336578,3506.8894,8.253276,441.910339,2.618197,2
m07820,1,2026-07-22T14:04:36.863190Z,62427,patrol,15,17662,1,1044525,6553,Minibronto,SimpleChar:78E0FD9A,1,5126ba7b1d0636ce,3507.41357,8.333392,442.950256,3501.02148,8.110001,444.034454,3.479847,2
m07825,1,2026-07-22T14:04:40.343037Z,62587,patrol,15,17662,1,1044525,6553,Minibronto,SimpleChar:78E0FD9A,1,d7a640dc66acae6d,3502.46899,8.110001,443.671509,3498.94116,8.110001,445.503296,4.749743,2
m07838,1,2026-07-22T14:04:45.092780Z,62775,patrol,15,17662,1,1044525,6553,Minibronto,SimpleChar:78E0FD9A,1,ed754ee68ee770f7,3499.09302,8.110001,445.420013,3504.28882,8.131662,446.609863,3.059908,2
m07845,1,2026-07-22T14:04:48.152688Z,62817,patrol,15,17662,1,1044525,6553,Minibronto,SimpleChar:78E0FD9A,1,3228cefc268eb99c,3502.98096,8.110001,446.310272,3500.28711,8.110001,443.046082,2.910442,2
m07850,1,2026-07-22T14:04:51.063130Z,62850,patrol,15,17662,1,1044525,6553,Minibronto,SimpleChar:78E0FD9A,1,c3933abec2cac439,3501.13257,8.110001,443.884491,3503.14893,8.110001,440.732178,1.909288,2
m07855,1,2026-07-22T14:04:52.972418Z,62875,patrol,15,17662,1,1044525,6553,Minibronto,SimpleChar:78E0FD9A,1,7e6f18407e6408a0,3502.15723,8.110001,441.854095,3507.07178,8.068136,439.813934,0,2
m07779,1,2026-07-22T14:04:20.869319Z,61964,patrol,15,17662,1,1044525,6553,Minibronto,SimpleChar:78E0FD9C,0,8317e434353489d4,3506.66504,8.050917,448.816071,3511.3728,8.538939,445.653625,0,2
m07793,1,2026-07-22T14:04:26.481614Z,62065,patrol,15,17662,1,1044525,6553,Minibronto,SimpleChar:78E0FD9C,1,61bac27148155a10,3508.16382,8.417451,444.104523,3505.45776,8.219333,444.935974,1.543982,2
m07797,1,2026-07-22T14:04:28.025596Z,62106,patrol,15,17662,1,1044525,6553,Minibronto,SimpleChar:78E0FD9C,1,5b6d094f172c0dbd,3506.56665,8.305502,444.492126,3500.02441,8.110001,446.561615,3.269064,2
m07807,1,2026-07-22T14:04:31.294660Z,62218,patrol,15,17662,1,1044525,6553,Minibronto,SimpleChar:78E0FD9C,1,3172077829be1265,3501.2998,8.110001,446.162933,3497.59106,8.110001,449.980255,2.949833,2
m07812,1,2026-07-22T14:04:34.244493Z,62301,patrol,15,17662,1,1044525,6553,Minibronto,SimpleChar:78E0FD9C,1,7a9736731f0348f5,3498.46289,8.110001,449.022217,3500.94971,8.110001,451.051819,0,2
m00003,1,2026-07-22T13:24:54.623823Z,3,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.10205,52.244999,783.878418,0.212078,2
m00005,1,2026-07-22T13:24:54.835901Z,6,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.10425,52.244999,783.898621,0.363178,2
m00008,1,2026-07-22T13:24:55.199079Z,9,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0.110558,2
m00010,1,2026-07-22T13:24:55.309637Z,20,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0.171613,2
m00013,1,2026-07-22T13:24:55.481250Z,23,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,0,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.08618,52.244999,784.026123,0,2
m00077,1,2026-07-22T13:25:00.768147Z,147,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.06445,52.244999,784.07196,0.240126,2
m00080,1,2026-07-22T13:25:01.008273Z,152,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0.24962,2
m00084,1,2026-07-22T13:25:01.257893Z,156,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.09521,52.244999,783.997681,0.190091,2
m00088,1,2026-07-22T13:25:01.447984Z,169,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0.239626,2
m00092,1,2026-07-22T13:25:01.687610Z,173,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0.250121,2
m00096,1,2026-07-22T13:25:01.937731Z,178,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0.190123,2
m00100,1,2026-07-22T13:25:02.127854Z,182,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0.502745,2
m00104,1,2026-07-22T13:25:02.630599Z,194,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.08765,52.244999,783.819763,0.201601,2
m00110,1,2026-07-22T13:25:02.832200Z,200,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.09082,52.244999,783.829346,0.012001,2
m00114,1,2026-07-22T13:25:02.844201Z,228,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0.420222,2
m00118,1,2026-07-22T13:25:03.264423Z,232,patrol,1019,297023,1,1044525,6553,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.09863,52.244999,783.983582,0.449236,2
