ObservationId,CapturedUtc,Sequence,Behavior,Disposition,Confidence,DecisionReasons,Influences,MetadataResolution,NpcFamily,MonsterData,Level,PlayfieldId,Name,RuntimeIdentity,RuntimeGeneration,RouteSignature,CurrentX,CurrentY,CurrentZ,DestinationX,DestinationY,DestinationZ,HorizontalDistance,PathCount
m00015,2026-07-22T13:24:55.722915Z,26,spawn,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_spawn_observation,,later_scfu_same_generation,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,1,2cb044179e1c0e0f,3596.81177,51.744999,788.208923,3596.05518,51.744999,788.482483,0.804527,2
m00016,2026-07-22T13:24:55.722915Z,27,spawn,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_spawn_observation,,later_scfu_same_generation,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,52aa3d9899596478,3596.979,51.744999,783.935852,3596.02539,52.244999,783.717224,0.978351,2
m00017,2026-07-22T13:24:55.913005Z,28,spawn,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_spawn_observation,,later_scfu_same_generation,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,1,2cb044179e1c0e0f,3596.81177,51.744999,788.208923,3596.05518,51.744999,788.482483,0.804527,2
m00018,2026-07-22T13:24:55.913005Z,29,spawn,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_spawn_observation,,later_scfu_same_generation,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.06152,52.244999,783.765259,0.933205,2
m00019,2026-07-22T13:24:56.163631Z,33,spawn,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_spawn_observation,,later_scfu_same_generation,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,1,2cb044179e1c0e0f,3596.81177,51.744999,788.208923,3596.05518,51.744999,788.482483,0.804527,2
m00020,2026-07-22T13:24:56.163631Z,34,spawn,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_spawn_observation,,later_scfu_same_generation,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,7740d1949c568006,3596.979,51.744999,783.935852,3596.10522,51.744999,783.924805,0.87385,2
m00021,2026-07-22T13:24:56.353239Z,43,spawn,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_spawn_observation,,later_scfu_same_generation,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,1,2eb3373b9dba6082,3596.81177,51.744999,788.208923,3596.05371,52.244999,788.478699,0.804633,2
m00022,2026-07-22T13:24:56.353739Z,45,spawn,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_spawn_observation,,later_scfu_same_generation,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.02124,52.244999,784.129211,0.977083,2
m00023,2026-07-22T13:24:56.593381Z,47,spawn,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_spawn_observation,,later_scfu_same_generation,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:797D36A5,1,2eb3373b9dba6082,3596.81177,51.744999,788.208923,3596.05786,52.244999,788.490173,0.804663,2
m00024,2026-07-22T13:24:56.593381Z,48,spawn,Promotable,100,complete_decoded_path;exact_identity_metadata;captured_spawn_observation,,later_scfu_same_generation,1019,297023,1,1044525,Malfunctioning Cleaning Robot,SimpleChar:79543CB6,1,8fdb70a3a252296e,3596.979,51.744999,783.935852,3596.04321,52.244999,784.10376,0.950734,2
