SourceName,NormalizedName,CanonicalFamily,RelationshipType,EvidenceSource,Confidence,Notes
Androids,android,family-android,SINGULAR_PLURAL_VARIANT,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,Hammerbeast and Manteze relationships intentionally retained as ambiguous/distinct where applicable.
Anuns,anun,family-anun,SINGULAR_PLURAL_VARIANT,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,Hammerbeast and Manteze relationships intentionally retained as ambiguous/distinct where applicable.
Aquaans,aquaan,family-aquaan,EXACT_NORMALIZATION,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,Hammerbeast and Manteze relationships intentionally retained as ambiguous/distinct where applicable.
Biledrinkers,biledrinker,family-biledrinker,EXACT_NORMALIZATION,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,Hammerbeast and Manteze relationships intentionally retained as ambiguous/distinct where applicable.
Bileswarms,bileswarm,family-bileswarm,SINGULAR_PLURAL_VARIANT,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,Hammerbeast and Manteze relationships intentionally retained as ambiguous/distinct where applicable.
Biofreak,biofreak,family-biofreak,EXACT_NORMALIZATION,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,Hammerbeast and Manteze relationships intentionally retained as ambiguous/distinct where applicable.
Biofreaks,biofreak,family-biofreak,EXACT_NORMALIZATION,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,Hammerbeast and Manteze relationships intentionally retained as ambiguous/distinct where applicable.
Blubbags,blubbag,family-blubbag,SINGULAR_PLURAL_VARIANT,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,Hammerbeast and Manteze relationships intentionally retained as ambiguous/distinct where applicable.
Brontos,bronto,family-bronto,EXACT_NORMALIZATION,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,Hammerbeast and Manteze relationships intentionally retained as ambiguous/distinct where applicable.
Buzzsaws,buzzsaw,family-buzzsaw,EXACT_NORMALIZATION,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,Hammerbeast and Manteze relationships intentionally retained as ambiguous/distinct where applicable.
Clawfingers,clawfinger,family-clawfinger,EXACT_NORMALIZATION,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,Hammerbeast and Manteze relationships intentionally retained as ambiguous/distinct where applicable.
Cyborgs,cyborg,family-cyborg,SINGULAR_PLURAL_VARIANT,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,Hammerbeast and Manteze relationships intentionally retained as ambiguous/distinct where applicable.
Enigmas,enigma,family-enigma,SINGULAR_PLURAL_VARIANT,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,Hammerbeast and Manteze relationships intentionally retained as ambiguous/distinct where applicable.
Eyemutants,eyemutant,family-eyemutant,EXACT_NORMALIZATION,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,Hammerbeast and Manteze relationships intentionally retained as ambiguous/distinct where applicable.
Fleas,flea,family-flea,SINGULAR_PLURAL_VARIANT,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,Hammerbeast and Manteze relationships intentionally retained as ambiguous/distinct where applicable.
Hammerbeasts,hammerbeast,family-hammerbeast,EXACT_NORMALIZATION,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,Hammerbeast and Manteze relationships intentionally retained as ambiguous/distinct where applicable.
Hounds,hound,family-hound,SINGULAR_PLURAL_VARIANT,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,Hammerbeast and Manteze relationships intentionally retained as ambiguous/distinct where applicable.
