CanonicalEnemyKey,MonsterDataId,TemplateId,DynelType,DisplayName,InternalName,EnemyFamily,EnemyArchetype,Faction,Side,ExpansionOrDataset,IsAttackable,IsHostileByDefault,IsBoss,IsUnique,IsQuestEnemy,IsMissionOnly,IsPetLike,IsTurret,MinimumLevel,MaximumLevel,ExactLevel,LevelSource,PlayfieldIds,PlayfieldNames,ZoneNames,DungeonNames,SpawnDefinitionIds,SpawnCoordinatesWhenAvailable,WeaponTemplateIds,WeaponNames,WeaponCategories,VisibleWeapon,AttackTemplateIds,AttackTypes,DamageTypes,AttackRange,AttackTime,RechargeTime,SpecialAttacks,NanoProgramIds,NanoProgramNames,SourceRecordIds,SourceDatFiles,EvidenceQuality,UnresolvedFields
external-34-ii-handyman,,,EXTERNAL_DOCUMENTED_ENEMY,34-II Handyman,,,ordinary enemy,,,,True,,False,False,,,False,False,,,,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],"[""unknown""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-34-v-worker,,,EXTERNAL_DOCUMENTED_ENEMY,34-V Worker,,,ordinary enemy,,,,True,,False,False,,,False,False,,,,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],"[""unknown""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-abmouth-supremus,,,EXTERNAL_DOCUMENTED_ENEMY,Abmouth Supremus,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-alien-communication-officer,,,EXTERNAL_DOCUMENTED_ENEMY,Alien Communication Officer,,communication officer,ordinary enemy,,,,True,,False,False,,,False,False,100,150,,https://www.ao-universe.com/guides/alien-invasion/quests-guides/sector-10-alien-playfield,[],"[""Sector 10""]","[""Sector 10""]",[],[],[],[],[],"[""UNKNOWN_RANGED_WEAPON""]",,[],"[""unknown ranged weapon""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-alien-immature-vector,,,EXTERNAL_DOCUMENTED_ENEMY,Alien Immature Vector,,immature vector,ordinary enemy,,,,True,,False,False,,,False,False,100,150,,https://www.ao-universe.com/guides/alien-invasion/quests-guides/sector-10-alien-playfield,[],"[""Sector 10""]","[""Sector 10""]",[],[],[],[],[],"[""NATURAL_MELEE""]",,[],"[""natural melee""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-alien-larva,,,EXTERNAL_DOCUMENTED_ENEMY,Alien Larva,,alien larva,ordinary enemy,,,,True,,False,False,,,False,False,100,150,,https://www.ao-universe.com/guides/alien-invasion/quests-guides/sector-10-alien-playfield,[],"[""Sector 10""]","[""Sector 10""]",[],[],[],[],[],"[""NATURAL_MELEE""]",,[],"[""natural melee""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-alien-leader,,,EXTERNAL_DOCUMENTED_ENEMY,Alien Leader,,alien leader,ordinary enemy,,,,True,,False,False,,,False,False,100,150,,https://www.ao-universe.com/guides/alien-invasion/quests-guides/sector-10-alien-playfield,[],"[""Sector 10""]","[""Sector 10""]",[],[],[],[],[],"[""UNKNOWN_RANGED_WEAPON""]",,[],"[""unknown ranged weapon""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-alien-medic,,,EXTERNAL_DOCUMENTED_ENEMY,Alien Medic,,alien medic,ordinary enemy,,,,True,,False,False,,,False,False,100,150,,https://www.ao-universe.com/guides/alien-invasion/quests-guides/sector-10-alien-playfield,[],"[""Sector 10""]","[""Sector 10""]",[],[],[],[],[],"[""NANO_CASTER""]",,[],"[""nano caster""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-aquarius,,,EXTERNAL_DOCUMENTED_ENEMY,Aquarius,,,named boss,,,,True,,True,True,,,False,False,,,,,[],"[""Pandemonium""]",[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-architect-striker,,,EXTERNAL_DOCUMENTED_ENEMY,Architect Striker,,architect striker,ordinary enemy,,,,True,,False,False,,,False,False,15,25,,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/condemned-subway,[],"[""Condemned Subway""]","[""Condemned Subway""]",[],[],[],[],[],"[""UNKNOWN_MELEE_WEAPON""]",,[],"[""unknown melee weapon""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
