CanonicalEnemyKey,EnemyName,Configuration,WeaponCategory,Source,Confidence,Notes
external-34-ii-handyman,34-II Handyman,unknown,UNKNOWN,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-34-v-worker,34-V Worker,unknown,UNKNOWN,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-alien-communication-officer,Alien Communication Officer,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,https://www.ao-universe.com/guides/alien-invasion/quests-guides/sector-10-alien-playfield,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-alien-immature-vector,Alien Immature Vector,natural melee,NATURAL_MELEE,https://www.ao-universe.com/guides/alien-invasion/quests-guides/sector-10-alien-playfield,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-alien-larva,Alien Larva,natural melee,NATURAL_MELEE,https://www.ao-universe.com/guides/alien-invasion/quests-guides/sector-10-alien-playfield,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-alien-leader,Alien Leader,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,https://www.ao-universe.com/guides/alien-invasion/quests-guides/sector-10-alien-playfield,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-alien-medic,Alien Medic,nano caster,NANO_CASTER,https://www.ao-universe.com/guides/alien-invasion/quests-guides/sector-10-alien-playfield,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-architect-striker,Architect Striker,unknown melee weapon,UNKNOWN_MELEE_WEAPON,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/condemned-subway,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-betrayer-of-memory,Betrayer of Memory,mixed melee and nano,MIXED_MELEE_AND_NANO,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/steps-of-madness,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-bloodcreeper,Bloodcreeper,natural melee,NATURAL_MELEE,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/condemned-subway,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-buckethead-techno-scavenger,Buckethead Techno Scavenger,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,https://www.ao-universe.com/guides/classic-ao/quests-guides-3/shoulderpads-quests,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-buzzsaw-techno-scavenger,Buzzsaw Techno Scavenger,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,https://www.ao-universe.com/guides/classic-ao/quests-guides-3/shoulderpads-quests,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-cultist,Cultist,unknown melee weapon,UNKNOWN_MELEE_WEAPON,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/temple-of-three-winds,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-defender-of-the-three,Defender of the Three,unknown,UNKNOWN,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-den-hive-guardian,Den Hive Guardian,claws,CLAWS,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/mid-level-encounter/the-mantis-and-smugglers-den,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-den-mantis,Den Mantis,claws,CLAWS,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/mid-level-encounter/the-mantis-and-smugglers-den,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-den-mantis-breeder,Den Mantis Breeder,claws,CLAWS,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/mid-level-encounter/the-mantis-and-smugglers-den,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-den-smuggler,Den Smuggler,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/mid-level-encounter/the-mantis-and-smugglers-den,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-den-smuggler-pilot,Den Smuggler Pilot,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/mid-level-encounter/the-mantis-and-smugglers-den,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-emotional-sponge,Emotional Sponge,unknown,UNKNOWN,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-eternal-guardian,Eternal Guardian,unknown,UNKNOWN,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-eternal-sentinel,Eternal Sentinel,unknown,UNKNOWN,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-exarch,Exarch,unknown melee weapon,UNKNOWN_MELEE_WEAPON,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/temple-of-three-winds,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-exarch-truan,Exarch Truan,unknown melee weapon,UNKNOWN_MELEE_WEAPON,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/temple-of-three-winds,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-heckler-of-elements,Heckler of Elements,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-infector,Infector,natural melee,NATURAL_MELEE,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/condemned-subway,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
