CanonicalEnemyKey,EnemyName,Zone,PlayfieldId,Source,Confidence,Notes
external-alien-communication-officer,Alien Communication Officer,Sector 10,,https://www.ao-universe.com/guides/alien-invasion/quests-guides/sector-10-alien-playfield,COMMUNITY_DOCUMENTED,Documented family association
external-alien-immature-vector,Alien Immature Vector,Sector 10,,https://www.ao-universe.com/guides/alien-invasion/quests-guides/sector-10-alien-playfield,COMMUNITY_DOCUMENTED,Documented family association
external-alien-larva,Alien Larva,Sector 10,,https://www.ao-universe.com/guides/alien-invasion/quests-guides/sector-10-alien-playfield,COMMUNITY_DOCUMENTED,Documented family association
external-alien-leader,Alien Leader,Sector 10,,https://www.ao-universe.com/guides/alien-invasion/quests-guides/sector-10-alien-playfield,COMMUNITY_DOCUMENTED,Documented family association
external-alien-medic,Alien Medic,Sector 10,,https://www.ao-universe.com/guides/alien-invasion/quests-guides/sector-10-alien-playfield,COMMUNITY_DOCUMENTED,Documented family association
external-aquarius,Aquarius,Pandemonium,,https://anarchyonline.fandom.com/wiki/Unique_Mobs,COMMUNITY_DOCUMENTED,Name-token correlation
external-architect-striker,Architect Striker,Condemned Subway,,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/condemned-subway,COMMUNITY_DOCUMENTED,Documented family association
external-aries,Aries,Pandemonium,,https://anarchyonline.fandom.com/wiki/Unique_Mobs,COMMUNITY_DOCUMENTED,Name-token correlation
external-betrayer-of-memory,Betrayer of Memory,Steps of Madness,,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/steps-of-madness,COMMUNITY_DOCUMENTED,Documented family association
external-bloodcreeper,Bloodcreeper,Condemned Subway,,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/condemned-subway,COMMUNITY_DOCUMENTED,Documented family association
external-buckethead-techno-scavenger,Buckethead Techno Scavenger,Athen Shire,,https://www.ao-universe.com/guides/classic-ao/quests-guides-3/shoulderpads-quests,COMMUNITY_DOCUMENTED,Documented family association
external-buckethead-techno-scavenger,Buckethead Techno Scavenger,Newland,,https://www.ao-universe.com/guides/classic-ao/quests-guides-3/shoulderpads-quests,COMMUNITY_DOCUMENTED,Documented family association
external-buckethead-techno-scavenger,Buckethead Techno Scavenger,Wartorn Valley,,https://www.ao-universe.com/guides/classic-ao/quests-guides-3/shoulderpads-quests,COMMUNITY_DOCUMENTED,Documented family association
external-buzzsaw-techno-scavenger,Buzzsaw Techno Scavenger,Athen Shire,,https://www.ao-universe.com/guides/classic-ao/quests-guides-3/shoulderpads-quests,COMMUNITY_DOCUMENTED,Documented family association
