SourceRowNumber,SourceFamilyName,NormalizedFamilyName,CanonicalFamilyKey,AliasOrVariantRelationship,Zone,PlayfieldName,PlayfieldId,CoordinateX,CoordinateY,CoordinateText,ApproximateBossLevel,BossLevelDescription,MinionMinimumLevel,MinionMaximumLevel,MinionLevelDescription,BossOnlyCamp,NoMobs,CampNotes,SourceId,EvidenceConfidence,SpawnEvidenceType,StaticOrDynamic,NormalizationNotes,UnresolvedFields
1,Blubbags,blubbag,family-blubbag,SINGULAR_PLURAL_VARIANT,Aegean,Aegean,585,1740,1940,1740x1940,20,Approximate boss level 20,15,20,15-20,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
2,Blubbags,blubbag,family-blubbag,SINGULAR_PLURAL_VARIANT,Aegean,Aegean,585,1710,1720,1710x1720,30,Approximate boss level 30,25,30,25-30,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
3,Blubbags,blubbag,family-blubbag,SINGULAR_PLURAL_VARIANT,Aegean,Aegean,585,1680,1730,1680x1730,30,Approximate boss level 30,25,30,25-30,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
4,Fleas,flea,family-flea,SINGULAR_PLURAL_VARIANT,Aegean,Aegean,585,1420,2620,1420x2620,35,Approximate boss level 35,25,30,25-30,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
5,Fleas,flea,family-flea,SINGULAR_PLURAL_VARIANT,Aegean,Aegean,585,1580,2780,1580x2780,35,Approximate boss level 35,25,30,25-30,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
6,Fleas,flea,family-flea,SINGULAR_PLURAL_VARIANT,Aegean,Aegean,585,2100,2340,2100x2340,35,Approximate boss level 35,25,30,25-30,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
7,Leets,leet,family-leet,SINGULAR_PLURAL_VARIANT,Aegean,Aegean,585,1340,1900,1340x1900,40,Approximate boss level 40,30,35,30-35,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
8,Androids,android,family-android,SINGULAR_PLURAL_VARIANT,Aegean,Aegean,585,980,380,980x380,50,Approximate boss level 50,40,45,40-45,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
9,Hounds,hound,family-hound,SINGULAR_PLURAL_VARIANT,Aegean,Aegean,585,1620,2060,1620x2060,50,Approximate boss level 50,40,45,40-45,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
10,Rollerrats,rollerrat,family-rollerrat,SINGULAR_PLURAL_VARIANT,Aegean,Aegean,585,1860,2780,1860x2780,50,Approximate boss level 50,40,45,40-45,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
11,Hounds,hound,family-hound,SINGULAR_PLURAL_VARIANT,Aegean,Aegean,585,2140,980,2140x980,60,Approximate boss level 60,45,50,45-50,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
12,Mantezes,manteze,family-manteze,SINGULAR_PLURAL_VARIANT,Aegean,Aegean,585,1420,700,1420x700,60,Approximate boss level 60,45,50,45-50,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
