identity_type,identity_instance_uint32,identity_instance_signed,identity_instance_hex,explicit_playfield_id,display_name_exact,operational_entrance_key,stat_resolution_confidence,raw_position_components,raw_rotation_components,template_identity_instance,source_record_offset,source_record_sha256,evidence_manifest
56006,3221225572,-1073741724,0xC0000064,100,ACG Entrance,,STAT_0xBD_UNRESOLVED,"[102.89614868164062, 0.0, 32.46775817871094]","[1.0, 0.0, 0.0, 0.0]",28588,287132872,826fdfed5c1323dec0301c3590c7c2bdbdb4fb51d8994f460956ec7e362ffca1,mission-location-evidence-manifest.json
56006,3221291108,-1073676188,0xC0010064,100,ACG Entrance,,STAT_0xBD_UNRESOLVED,"[141.2045440673828, 0.0, 35.25878143310547]","[1.0, 0.0, 0.0, 0.0]",28589,287132960,2bbb24d544306b166bdf992dc721fabed2a348bdc5ca37bb8cb34f0f2719ee65,mission-location-evidence-manifest.json
56006,3221356644,-1073610652,0xC0020064,100,ACG Entrance,,STAT_0xBD_UNRESOLVED,"[153.8704833984375, 0.0, 33.956016540527344]","[1.0, 0.0, 0.0, 0.0]",28587,287133048,9b3895943fdb4358f2edac1775a2650dbdab4ed704dce685fe211f95ce38bf00,mission-location-evidence-manifest.json
56006,3221422180,-1073545116,0xC0030064,100,ACG Entrance,,STAT_0xBD_UNRESOLVED,"[125.34849548339844, 0.0, 32.593406677246094]","[1.0, 0.0, 0.0, 0.0]",28586,287133136,74aed69a5061c3ba1452949ecf5ed32d6f79a39169e347dde14c8e64401c1283,mission-location-evidence-manifest.json
56006,3221487716,-1073479580,0xC0040064,100,ACG Entrance,,STAT_0xBD_UNRESOLVED,"[147.5127716064453, 0.0, 34.58735656738281]","[1.0, 0.0, 0.0, 0.0]",44014,287133224,46cbbabf107f5eadd6d1c2034067c2eafdcf42233c03cc4e06e3a22c8d17fc30,mission-location-evidence-manifest.json
56006,3221553252,-1073414044,0xC0050064,100,ACG Entrance,,STAT_0xBD_UNRESOLVED,"[140.69979858398438, 0.0, 38.24060821533203]","[1.0, 0.0, 0.0, 0.0]",44013,287133312,8451725be02dac2ce697f2319846d0a91943df5f9a93a19da38b2a2bf48a7184,mission-location-evidence-manifest.json
56006,3221225577,-1073741719,0xC0000069,105,Alien Mothership,,STAT_0xBD_UNRESOLVED,"[212.2945556640625, 0.9152446985244751, 389.919677734375]","[1.0, 0.0, 0.0, 0.0]",266913,287150541,96a21c79bc6e46c88fbbfbf6010728b70e39b27186c25c4049ae5108bcc875ba,mission-location-evidence-manifest.json
56006,3221225977,-1073741319,0xC00001F9,505,Central Desert Den,,STAT_0xBD_UNRESOLVED,"[1167.918701171875, 6.985330104827881, 2114.93115234375]","[0.8864707946777344, 0.030956314876675606, 0.46146678924560547, 0.016114812344312668]",41561,287247882,a618fc3a820b38bf71311bce26681288a9bb59d92bd6801a68f2d731e7980f3b,mission-location-evidence-manifest.json
56006,3221291513,-1073675783,0xC00101F9,505,South Desert Den,,STAT_0xBD_UNRESOLVED,"[1148.539794921875, 11.477991104125977, 804.7164916992188]","[0.9957034587860107, -0.012946458533406258, -0.06908708065748215, -0.060282930731773376]",41561,287248067,705bf813251a1753a8abc114b8060d421e1676d0c360885cd79e7a56b59c44bb,mission-location-evidence-manifest.json
56006,3221357049,-1073610247,0xC00201F9,505,Northwestern Desert Den,,STAT_0xBD_UNRESOLVED,"[817.2860717773438, 21.016216278076172, 3365.781982421875]","[0.7770939469337463, -0.017763415351510048, 0.6290821433067322, 0.008071720600128174]",41561,287248256,29adc04bbdb86d11075638a60374279db156536e59b7c53cb0ad1ea901fa2397,mission-location-evidence-manifest.json
56006,3221422585,-1073544711,0xC00301F9,505,Roadside Cave,,STAT_0xBD_UNRESOLVED,"[1481.6939697265625, 10.213691711425781, 3102.290771484375]","[0.5150421261787415, 0.0, -0.8571652770042419, 0.0]",41561,287248424,259c2039e5e665a5da7ccc2cd1b0a393d60f664691eaabecd8f9fa565d2090d7,mission-location-evidence-manifest.json
56006,3221488121,-1073479175,0xC00401F9,505,Cyborg Citadel,,STAT_0xBD_UNRESOLVED,"[1278.8199462890625, 46.839412689208984, 3993.05419921875]","[-2.1457672119140625e-06, 0.0, 1.0, 0.0]",84130,287253499,fb1a1455015554834cb91966d40765a91ffac3bf543e77cfd61dc9932ba2301b,mission-location-evidence-manifest.json
56006,3221553657,-1073413639,0xC00501F9,505,East Desert Den,,STAT_0xBD_UNRESOLVED,"[3113.390869140625, 16.309005737304688, 3078.41015625]","[0.8751107454299927, 0.1157250925898552, 0.45508721470832825, 0.11698103696107864]",41561,287248594,9a44af31d7432d320396217fc0b25fd0c752635a19817e083929157d6b098611,mission-location-evidence-manifest.json
56006,3221619193,-1073348103,0xC00601F9,505,Failed Mines,,STAT_0xBD_UNRESOLVED,"[2439.4228515625, 41.920536041259766, 1952.4063720703125]","[0.7313525080680847, 0.0, 0.681999683380127, 0.0]",84130,287248768,822fcba0c1e2d3756949f441b37ed28049c36ae7d1af4773f18939aef8a07af8,mission-location-evidence-manifest.json
56006,3221684729,-1073282567,0xC00701F9,505,Northern Terraforming Plant,,STAT_0xBD_UNRESOLVED,"[2801.33837890625, 32.19886779785156, 4326.36572265625]","[0.7071095705032349, 0.0, -0.707103967666626, 0.0]",84131,287248957,4849ffcdf54387c7d7a94fde2066b134317a77952ad4b4162f0dc6fd3b50f177,mission-location-evidence-manifest.json
56006,3221750265,-1073217031,0xC00801F9,505,Crashed Omni-Tek Troop Shuttle,,STAT_0xBD_UNRESOLVED,"[2790.559814453125, 18.91277503967285, 1411.4344482421875]","[-0.42174869775772095, -0.0010605747811496258, 0.9058732390403748, -0.03899606317281723]",84130,287249529,2803248ee3879cd246908f71b2f7c06a974f6d265898a6794568d591615d2e9c,mission-location-evidence-manifest.json
56006,3221815801,-1073151495,0xC00901F9,505,Crashed Omni-Tek Troop Shuttle,,STAT_0xBD_UNRESOLVED,"[2680.77978515625, 31.5135440826416, 2952.93505859375]","[0.9860727787017822, -0.00572624709457159, 0.1651667356491089, -0.01864521950483322]",84130,287249687,738f4f4a3d90bde5f9988b63eaddd047b65c89133d32383d71a01bf9d44e22ed,mission-location-evidence-manifest.json
56006,3221881337,-1073085959,0xC00A01F9,505,Crashed Omni-Tek Troop Shuttle,,STAT_0xBD_UNRESOLVED,"[1632.9102783203125, 9.07081127166748, 2492.765869140625]","[0.9633244276046753, -0.015401393175125122, 0.2669171690940857, 0.02289276197552681]",84130,287249845,495844581e9f58a39490e9b73b07e62eb89b070cb8d58bcde458640a0453433a,mission-location-evidence-manifest.json
56006,3221946873,-1073020423,0xC00B01F9,505,Crashed Omni-Tek Troop Shuttle,,STAT_0xBD_UNRESOLVED,"[1234.642578125, 6.405095100402832, 2061.95556640625]","[0.9484032392501831, -0.07998409122228622, 0.30671587586402893, -0.007694445084780455]",84130,287250003,d26842fcb5b9d65a99527032dbe848358b4f755d830bf86395e959fa15c3936b,mission-location-evidence-manifest.json
56006,3222012409,-1072954887,0xC00C01F9,505,Western Terraforming Plant,,STAT_0xBD_UNRESOLVED,"[479.70001220703125, 18.80003547668457, 2413.955078125]","[0.7071065902709961, 0.0, 0.7071069478988647, 0.0]",84131,287249160,605b30bd44d18eaba98b30101dbcc306f2361c0164dd9a56dcffccf74deb1107,mission-location-evidence-manifest.json
56006,3222077945,-1072889351,0xC00D01F9,505,Crashed Omni-Tek Troop Shuttle,,STAT_0xBD_UNRESOLVED,"[1244.158203125, 27.4322452545166, 3053.26416015625]","[0.8642023205757141, -0.06933240592479706, -0.4957788586616516, -0.05050444230437279]",84130,287250161,8c3063a1451a88d08bcf97676ec335a908e143cafb19a8d234ad21ed5084956e,mission-location-evidence-manifest.json
56006,3222143481,-1072823815,0xC00E01F9,505,Crashed Omni-Tek Troop Shuttle,,STAT_0xBD_UNRESOLVED,"[799.545654296875, 12.780793190002441, 2935.776611328125]","[0.857661783695221, 0.08258363604545593, 0.5052027702331543, 0.04864560812711716]",84130,287250319,2b89577051d9e2b77d1c1583ea285e2391d6ab41aec40e52d2f68bc5697790ab,mission-location-evidence-manifest.json
56006,3222209017,-1072758279,0xC00F01F9,505,Crashed Omni-Tek Troop Shuttle,,STAT_0xBD_UNRESOLVED,"[1176.641845703125, 10.214189529418945, 3678.09326171875]","[-0.32594034075737, -0.0335155613720417, 0.9437801241874695, 0.04380287602543831]",84130,287250477,f9d7bdd760a13fe2179c5623767a643a80a5e89d93d900f6603a85729cbbad6d,mission-location-evidence-manifest.json
56006,3222274553,-1072692743,0xC01001F9,505,Crashed Omni-Tek Troop Shuttle,,STAT_0xBD_UNRESOLVED,"[3117.4560546875, 12.2914400100708, 3368.021728515625]","[-0.41129615902900696, -0.121538907289505, 0.9013763070106506, 0.05987246334552765]",84130,287250635,4e7b841a2a37fe11f62224d8866e69670d16c451c011fb582061cef8897b5d5a,mission-location-evidence-manifest.json
56006,3222340089,-1072627207,0xC01101F9,505,Crashed Omni-Tek Troop Shuttle,,STAT_0xBD_UNRESOLVED,"[2552.2978515625, 18.212379455566406, 879.9472045898438]","[-0.4310404062271118, -0.028192702680826187, 0.8962379693984985, -0.10083191096782684]",84130,287250793,10cfa689abffb37af30ef692b338145b8499f73c52a2e325fefacf4103f31e2c,mission-location-evidence-manifest.json
56006,3222405625,-1072561671,0xC01201F9,505,Mantis Hive,,STAT_0xBD_UNRESOLVED,"[3015.672119140625, 5.953930854797363, 1258.474609375]","[0.9394152164459229, 0.01715005189180374, -0.34166911244392395, 0.02161388471722603]",41561,287249364,c9beccf545d98fcfbfb44ed13636a09b57333d19afc7fe9e338a6a0cd1771b0b,mission-location-evidence-manifest.json
56006,3222471161,-1072496135,0xC01301F9,505,Luyana Caves,,STAT_0xBD_UNRESOLVED,"[2868.263427734375, 30.973922729492188, 3388.791015625]","[0.8861669301986694, 0.038690973073244095, 0.4613085389137268, 0.02014121413230896]",41561,287250951,ff7180128f99aa411824ae245f15fd6d751982670b5762e31b1ddd4e662ec6eb,mission-location-evidence-manifest.json
56006,3222536697,-1072430599,0xC01401F9,505,Cyborg Billet,,STAT_0xBD_UNRESOLVED,"[1302.6541748046875, 46.84857940673828, 3950.079833984375]","[0.7071095705032349, 0.0, -0.707103967666626, 0.0]",84130,287253217,23cfdbb360de0a4b6687a750c729d1dc65b27c06aedad8f12878c513ffbdd86c,mission-location-evidence-manifest.json
56006,3222602233,-1072365063,0xC01501F9,505,Reonfel Cave,,STAT_0xBD_UNRESOLVED,"[2422.630615234375, 28.8147029876709, 3223.874755859375]","[0.8792544603347778, 0.12863808870315552, 0.4582195580005646, -0.019967539235949516]",41561,287251233,8732292c9cab3ea86ccffa4fe2f60b9f0cb7e5db69711ff6d719b018a0410ccf,mission-location-evidence-manifest.json
56006,3222667769,-1072299527,0xC01601F9,505,Cyborg Billet,,STAT_0xBD_UNRESOLVED,"[1302.6429443359375, 46.84844970703125, 3922.049072265625]","[0.7071095705032349, 0.0, -0.707103967666626, 0.0]",84130,287253358,f30616ed9c00d268dc888fe2565162c87a77c48ab2d98ef11987c0de7b110724,mission-location-evidence-manifest.json
56006,3222798841,-1072168455,0xC01801F9,505,Granaitus Caverns,,STAT_0xBD_UNRESOLVED,"[2594.9375, 23.19648551940918, 3543.19873046875]","[0.8703227639198303, 0.1894824504852295, 0.45454683899879456, -0.0046781450510025024]",41561,287251679,0abce3b3a710ece038b2e43aabf73b1499bbec25ff84842ceec6c16b86ba2a9e,mission-location-evidence-manifest.json
56006,3222864377,-1072102919,0xC01901F9,505,Ulian Caves,,STAT_0xBD_UNRESOLVED,"[2741.898193359375, 29.501794815063477, 3659.5458984375]","[0.9918220043182373, 0.010025269351899624, -0.10546348243951797, -0.07117646932601929]",41561,287251831,784114864e720d6d9ab24442b96a13d5976acae8586624601f7f23a18fd50f82,mission-location-evidence-manifest.json
56006,3222929913,-1072037383,0xC01A01F9,505,Eyuvian Caverns,,STAT_0xBD_UNRESOLVED,"[1951.8858642578125, 32.69147872924805, 2075.41455078125]","[0.9832558631896973, 0.0, -0.18223054707050323, 0.0]",41561,287251977,01d80720ec80075d9710dc7582b820a285cf2bbd8034a14899b4c1d8b9228b88,mission-location-evidence-manifest.json
