aorebirth_flags,aorebirth_item_type,aorebirth_quality_level,aorebirth_resolution,clicksaver_all_item_name,clicksaver_all_key_flags,clicksaver_all_metadata_word_0,clicksaver_all_metadata_word_1,clicksaver_all_metadata_word_2,clicksaver_all_name_offset,clicksaver_all_ordinal,clicksaver_all_raw_key,clicksaver_item_id,clicksaver_item_name,clicksaver_item_name_present,clicksaver_name_conflict,clicksaver_tiny_item_name,clicksaver_tiny_key_flags,clicksaver_tiny_metadata_word_0,clicksaver_tiny_metadata_word_1,clicksaver_tiny_metadata_word_2,clicksaver_tiny_name_offset,clicksaver_tiny_ordinal,clicksaver_tiny_raw_key,group_high_id,group_high_ql,group_low_id,group_low_ql,group_relation_ids,in_all_cdb,in_tiny_cdb,name_authority,reward_catalog_endpoint_matches,reward_catalog_name_candidates
0,0,1,EXACT_ID,Flamethrower Ammunition,2,80,65534,32168,12327,616,2147505249,21601,Flamethrower Ammunition,True,False,,,,,,,,,21601,1,21601,1,[21601],True,False,ALL_CDB,0,0
0,0,1,EXACT_ID,Bullets,2,25,65534,26690,12362,617,2147505253,21605,Bullets,True,False,,,,,,,,,21605,1,21605,1,[21605],True,False,ALL_CDB,0,0
0,0,1,EXACT_ID,Energy Weapon Ammo,2,50,65534,26686,12383,618,2147505257,21609,Energy Weapon Ammo,True,False,,,,,,,,,21609,1,21609,1,[21609],True,False,ALL_CDB,0,0
0,0,1,EXACT_ID,Shotgun Shells,2,80,65534,33174,12413,619,2147505261,21613,Shotgun Shells,True,False,,,,,,,,,21613,1,21613,1,[21613],True,False,ALL_CDB,0,0
0,0,200,EXACT_ID_AND_REWARD_ENDPOINT,Augmented Nano Armor Sleeves,2,475861,65335,13231,12440,620,2147505441,21793,Augmented Nano Armor Sleeves,True,False,Augmented Nano Armor Sleeves,2,475861,65335,13231,12244,610,2147505441,21793,200,85738,1,"[21793,85738]",True,True,ALL_CDB,2,1
0,0,200,EXACT_ID_AND_REWARD_ENDPOINT,Augmented Nano Armor Cloak,2,1903445,65335,22968,12479,621,2147505445,21797,Augmented Nano Armor Cloak,True,False,Augmented Nano Armor Cloak,2,1903445,65335,22968,12283,611,2147505445,21797,200,85716,1,"[21797,85716]",True,True,ALL_CDB,2,1
0,0,200,EXACT_ID_AND_REWARD_ENDPOINT,Augmented Nano Body Armor,2,1903445,65335,13252,12516,622,2147505449,21801,Augmented Nano Body Armor,True,False,Augmented Nano Body Armor,2,1903445,65335,13252,12320,612,2147505449,21801,200,85682,1,"[21801,85682]",True,True,ALL_CDB,2,1
0,0,200,EXACT_ID_AND_REWARD_ENDPOINT,Augmented Nano Armor Boots,2,713791,65335,13269,12552,623,2147505453,21805,Augmented Nano Armor Boots,True,False,Augmented Nano Armor Boots,2,713791,65335,13269,12356,613,2147505453,21805,200,85634,1,"[21805,85634]",True,True,ALL_CDB,2,1
0,0,200,EXACT_ID_AND_REWARD_ENDPOINT,Augmented Nano Armor Gloves,2,475861,65335,13282,12589,624,2147505457,21809,Augmented Nano Armor Gloves,True,False,Augmented Nano Armor Gloves,2,475861,65335,13282,12393,614,2147505457,21809,200,85594,1,"[21809,85594]",True,True,ALL_CDB,2,1
0,0,200,EXACT_ID_AND_REWARD_ENDPOINT,Augmented Nano Armor Helmet,2,1427583,65335,10839,12627,625,2147505461,21813,Augmented Nano Armor Helmet,True,False,Augmented Nano Armor Helmet,2,1427583,65335,10839,12431,615,2147505461,21813,200,85555,1,"[21813,85555]",True,True,ALL_CDB,2,1
