average_five_mission_rolls,contributor_log_derived,evidence_level,frequency_denominator_items,high_id,item_name,item_ql,location_name,location_playfield_id,location_x,location_y,low_id,match_mode,mission_ql,mission_slot,mission_type,probability_per_item,probability_provenance,query,retrieved_at_utc,role,row_scope,source_artifact,source_sha256
467,False,OBSERVED_ARPA3_RESPONSE,2335,,Katara Sunglasses,1,,,,,,CONTAINS,1,,,0.000428265525,DERIVED_ARITHMETIC_FROM_ONE_IN_N,sunglasses,2026-09-01T03:16:00Z,MISSION_REWARD,MISSION_QL,Tools/tests/fixtures/arpa3-rollability-sunglasses-sample.html,a91aaf575a8ad82f0c8805cfc8f21b8229379351fef40852f70cf15ff86eca5c
713,False,OBSERVED_ARPA3_RESPONSE,3567,,Katara Sunglasses,1,,,,,,CONTAINS,2,,,0.000280347631,DERIVED_ARITHMETIC_FROM_ONE_IN_N,sunglasses,2026-09-01T03:16:00Z,MISSION_REWARD,MISSION_QL,Tools/tests/fixtures/arpa3-rollability-sunglasses-sample.html,a91aaf575a8ad82f0c8805cfc8f21b8229379351fef40852f70cf15ff86eca5c
440,False,OBSERVED_ARPA3_RESPONSE,2200,,Katara Sunglasses,1,,,,,,CONTAINS,3,,,0.000454545455,DERIVED_ARITHMETIC_FROM_ONE_IN_N,sunglasses,2026-09-01T03:16:00Z,MISSION_REWARD,MISSION_QL,Tools/tests/fixtures/arpa3-rollability-sunglasses-sample.html,a91aaf575a8ad82f0c8805cfc8f21b8229379351fef40852f70cf15ff86eca5c
397,False,OBSERVED_ARPA3_RESPONSE,1988,,Katara Sunglasses,1,,,,,,CONTAINS,4,,,0.000503018109,DERIVED_ARITHMETIC_FROM_ONE_IN_N,sunglasses,2026-09-01T03:16:00Z,MISSION_REWARD,MISSION_QL,Tools/tests/fixtures/arpa3-rollability-sunglasses-sample.html,a91aaf575a8ad82f0c8805cfc8f21b8229379351fef40852f70cf15ff86eca5c
406,True,OBSERVED_ARPA3_RESPONSE,2033,,Katara Sunglasses,1,,,,,,CONTAINS,5,,,0.000491883915,DERIVED_ARITHMETIC_FROM_ONE_IN_N,sunglasses,2026-09-01T03:16:00Z,MISSION_REWARD,MISSION_QL,Tools/tests/fixtures/arpa3-rollability-sunglasses-sample.html,a91aaf575a8ad82f0c8805cfc8f21b8229379351fef40852f70cf15ff86eca5c
1433,False,OBSERVED_ARPA3_RESPONSE,7167,,Katara Sunglasses,1,,,,,,CONTAINS,,,,0.000139528394,DERIVED_ARITHMETIC_FROM_ONE_IN_N,sunglasses,2026-09-01T03:16:00Z,MISSION_REWARD,OVERALL,Tools/tests/fixtures/arpa3-rollability-sunglasses-sample.html,a91aaf575a8ad82f0c8805cfc8f21b8229379351fef40852f70cf15ff86eca5c
325,False,OBSERVED_ARPA3_RESPONSE,1627,,"Katara Sunglasses as mission reward : Mish QL Found once every these items Average (x5) rolls 1 2,335 467 2 3,567 713 3 2,200 440 4 1,988 397 (c) 5 2,033 406 Overall 7,167 1,433 QL1 Keelarr Sunglasses",1,,,,,,CONTAINS,1,,,0.000614628150,DERIVED_ARITHMETIC_FROM_ONE_IN_N,sunglasses,2026-09-01T03:16:00Z,MISSION_REWARD,MISSION_QL,Tools/tests/fixtures/arpa3-rollability-sunglasses-sample.html,a91aaf575a8ad82f0c8805cfc8f21b8229379351fef40852f70cf15ff86eca5c
307,False,OBSERVED_ARPA3_RESPONSE,1536,,"Katara Sunglasses as mission reward : Mish QL Found once every these items Average (x5) rolls 1 2,335 467 2 3,567 713 3 2,200 440 4 1,988 397 (c) 5 2,033 406 Overall 7,167 1,433 QL1 Keelarr Sunglasses",1,,,,,,CONTAINS,2,,,0.000651041667,DERIVED_ARITHMETIC_FROM_ONE_IN_N,sunglasses,2026-09-01T03:16:00Z,MISSION_REWARD,MISSION_QL,Tools/tests/fixtures/arpa3-rollability-sunglasses-sample.html,a91aaf575a8ad82f0c8805cfc8f21b8229379351fef40852f70cf15ff86eca5c
506,False,OBSERVED_ARPA3_RESPONSE,2530,,"Katara Sunglasses as mission reward : Mish QL Found once every these items Average (x5) rolls 1 2,335 467 2 3,567 713 3 2,200 440 4 1,988 397 (c) 5 2,033 406 Overall 7,167 1,433 QL1 Keelarr Sunglasses",1,,,,,,CONTAINS,3,,,0.000395256917,DERIVED_ARITHMETIC_FROM_ONE_IN_N,sunglasses,2026-09-01T03:16:00Z,MISSION_REWARD,MISSION_QL,Tools/tests/fixtures/arpa3-rollability-sunglasses-sample.html,a91aaf575a8ad82f0c8805cfc8f21b8229379351fef40852f70cf15ff86eca5c
507,False,OBSERVED_ARPA3_RESPONSE,2535,,"Katara Sunglasses as mission reward : Mish QL Found once every these items Average (x5) rolls 1 2,335 467 2 3,567 713 3 2,200 440 4 1,988 397 (c) 5 2,033 406 Overall 7,167 1,433 QL1 Keelarr Sunglasses",1,,,,,,CONTAINS,4,,,0.000394477318,DERIVED_ARITHMETIC_FROM_ONE_IN_N,sunglasses,2026-09-01T03:16:00Z,MISSION_REWARD,MISSION_QL,Tools/tests/fixtures/arpa3-rollability-sunglasses-sample.html,a91aaf575a8ad82f0c8805cfc8f21b8229379351fef40852f70cf15ff86eca5c
535,True,OBSERVED_ARPA3_RESPONSE,2676,,"Katara Sunglasses as mission reward : Mish QL Found once every these items Average (x5) rolls 1 2,335 467 2 3,567 713 3 2,200 440 4 1,988 397 (c) 5 2,033 406 Overall 7,167 1,433 QL1 Keelarr Sunglasses",1,,,,,,CONTAINS,5,,,0.000373692078,DERIVED_ARITHMETIC_FROM_ONE_IN_N,sunglasses,2026-09-01T03:16:00Z,MISSION_REWARD,MISSION_QL,Tools/tests/fixtures/arpa3-rollability-sunglasses-sample.html,a91aaf575a8ad82f0c8805cfc8f21b8229379351fef40852f70cf15ff86eca5c
1662,False,OBSERVED_ARPA3_RESPONSE,8315,,"Katara Sunglasses as mission reward : Mish QL Found once every these items Average (x5) rolls 1 2,335 467 2 3,567 713 3 2,200 440 4 1,988 397 (c) 5 2,033 406 Overall 7,167 1,433 QL1 Keelarr Sunglasses",1,,,,,,CONTAINS,,,,0.000120264582,DERIVED_ARITHMETIC_FROM_ONE_IN_N,sunglasses,2026-09-01T03:16:00Z,MISSION_REWARD,OVERALL,Tools/tests/fixtures/arpa3-rollability-sunglasses-sample.html,a91aaf575a8ad82f0c8805cfc8f21b8229379351fef40852f70cf15ff86eca5c
