mission_ql,captured,offer_count,request_count,unique_destinations,unique_destination_playfields,new_destinations_last_100,new_destinations_last_500,new_destinations_last_1000,marginal_new_destinations_per_1000,saturation,previous_ql_destination_jaccard,next_ql_destination_jaccard,candidate_level_count,candidate_levels,candidate_detents,recommended_priority,recommendation_reason,included_in_broad_wave,probability_inference
1,True,14245,2849,130,2,0,0,0,0.0,SATURATED_FOR_DISCOVERY,,0.526316,1,2,2:1/2/3/4/5,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
2,True,1280,256,73,2,0,0,0,0.0,SATURATED_FOR_DISCOVERY,0.526316,1.0,3,2;3;4,2:6/7/8/9;3:1/2/3/4/5;4:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
3,True,1270,254,73,2,0,0,3,3.0,STABILIZING,1.0,1.0,4,2;3;4;5,2:10/11;3:6/7/8/9;4:2/3/4/5;5:1/2,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
4,True,13640,2728,73,2,0,0,0,0.0,SATURATED_FOR_DISCOVERY,1.0,1.0,5,3;4;5;6;7,3:10;4:6/7/8;5:3/4/5;6:1/2/3;7:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
5,True,1390,278,73,2,0,0,1,1.0,STABILIZING,1.0,1.0,6,3;4;5;6;7;8,3:11;4:9;5:6/7;6:4/5;7:2/3/4;8:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
6,True,1380,276,73,2,0,0,1,1.0,STABILIZING,1.0,1.0,6,4;5;6;7;8;9,4:10;5:8/9;6:6/7;7:5;8:2/3/4;9:1/2,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
7,True,1385,277,73,2,0,0,2,2.0,STABILIZING,1.0,1.0,8,4;5;6;7;8;9;10;11,4:11;5:10;6:8/9;7:6/7;8:5;9:3/4;10:1/2;11:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
8,True,1380,276,73,2,0,0,0,0.0,SATURATED_FOR_DISCOVERY,1.0,1.0,7,5;7;8;9;10;11;12,5:11;7:8;8:6/7;9:5;10:3/4;11:2/3;12:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
9,True,2640,528,73,2,0,0,0,0.0,SATURATED_FOR_DISCOVERY,1.0,0.795455,9,6;7;8;9;10;11;12;13;14,6:10;7:9;8:8;9:6/7;10:5;11:4/5;12:2/3;13:1/2;14:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
10,True,2635,527,85,2,0,0,0,0.0,SATURATED_FOR_DISCOVERY,0.795455,1.0,9,6;7;8;9;10;12;13;14;15,6:11;7:10;8:9;9:8;10:6;12:4/5;13:3;14:2;15:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
11,True,1260,252,85,2,0,2,14,14.0,EXPANDING,1.0,1.0,8,9;10;11;13;14;15;16;17,9:9;10:7;11:6;13:4/5;14:3/4;15:2;16:1;17:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
12,True,1380,276,85,2,0,0,3,3.0,STABILIZING,1.0,1.0,10,7;8;10;11;12;14;15;16;17;18,7:11;8:10;10:8;11:7;12:6;14:5;15:3/4;16:2/3;17:2;18:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
13,True,1255,251,85,2,0,2,12,12.0,EXPANDING,1.0,0.608696,10,9;10;11;12;13;15;16;17;18;19,9:10;10:9;11:8;12:7;13:6;15:5;16:4;17:3;18:2;19:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
14,True,1255,251,100,2,0,2,20,20.0,EXPANDING,0.608696,1.0,11,8;11;12;13;14;16;17;18;19;20;21,8:11;11:9;12:8;13:7;14:6;16:5;17:4;18:3;19:2;20:1;21:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
15,True,1255,251,100,2,0,0,25,25.0,EXPANDING,1.0,0.869565,11,10;12;13;14;15;17;18;19;20;21;22,10:10;12:9;13:8;14:7;15:6;17:5;18:4;19:3;20:2;21:2;22:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
16,True,1255,251,115,2,0,1,20,20.0,EXPANDING,0.869565,1.0,13,9;11;13;14;15;16;18;19;20;21;22;23;24,9:11;11:10;13:9;14:8;15:7;16:6;18:5;19:4;20:3;21:3;22:2;23:1;24:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
17,True,1255,251,115,2,0,2,31,31.0,EXPANDING,1.0,0.934426,8,16;17;19;20;21;22;23;25,16:7;17:6;19:5;20:4;21:4;22:3;23:2;25:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
18,True,1255,251,121,4,0,2,25,25.0,EXPANDING,0.934426,0.983607,14,10;12;14;15;17;18;20;21;22;23;24;25;26;27,10:11;12:10;14:9;15:8;17:7;18:6;20:5;21:5;22:4;23:3;24:2;25:2;26:1;27:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
19,True,1255,251,121,4,0,5,34,34.0,EXPANDING,0.983607,0.983607,11,11;13;15;16;18;19;22;23;24;26;28,11:11;13:10;15:9;16:8;18:7;19:6;22:5;23:4;24:3;26:2;28:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
20,True,1255,251,121,4,0,6,36,36.0,EXPANDING,0.983607,0.983607,10,16;17;19;20;23;24;25;26;27;29,16:9;17:8;19:7;20:6;23:5;24:4;25:3;26:3;27:2;29:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
21,True,1255,251,121,4,0,3,28,28.0,EXPANDING,0.983607,0.968,11,12;14;18;21;24;25;27;28;29;30;31,12:11;14:10;18:8;21:6;24:5;25:4;27:3;28:2;29:2;30:1;31:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
22,True,1265,253,125,4,0,3,31,31.0,EXPANDING,0.968,0.96124,12,13;15;17;19;20;22;25;26;27;28;30;32,13:11;15:10;17:9;19:8;20:7;22:6;25:5;26:4;27:4;28:3;30:2;32:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
23,True,1245,249,128,5,1,4,45,45.0,EXPANDING,0.96124,0.0,9,18;21;23;26;28;29;31;33;34,18:9;21:7;23:6;26:5;28:4;29:3;31:2;33:1;34:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
24,True,1255,251,189,6,1,15,70,70.0,EXPANDING,0.0,0.0,13,14;16;19;20;22;24;27;29;30;31;32;33;35,14:11;16:10;19:9;20:8;22:7;24:6;27:5;29:4;30:3;31:3;32:2;33:2;35:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
