character_level,difficulty_1,difficulty_2,difficulty_3,difficulty_4,difficulty_5,difficulty_6,difficulty_7,difficulty_8,difficulty_9,difficulty_10,difficulty_11
1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,2,2,2,2,3,3
3,2,2,2,2,2,3,3,3,3,4,5
4,2,3,3,3,3,4,4,4,5,6,7
5,3,3,4,4,4,5,5,6,6,7,8
6,4,4,4,5,5,6,6,7,7,9,10
7,4,5,5,5,6,7,7,8,9,10,12
8,5,6,6,6,7,8,8,9,10,12,14
9,6,6,7,7,8,9,9,10,11,13,16
10,7,7,8,8,9,10,11,12,13,15,18
11,7,8,8,9,9,11,12,13,14,16,19
12,8,9,10,10,12,13,14,15,18,21,
13,9,10,11,11,13,14,15,16,19,22,
14,9,10,11,11,12,14,15,16,18,21,25
15,10,11,12,12,13,15,16,18,19,22,26
16,11,12,12,13,14,16,17,19,20,24,28
17,11,12,13,14,15,17,18,20,22,25,30
18,12,13,14,15,16,18,19,21,23,27,32
19,13,14,15,16,17,19,20,22,24,28,34
20,14,15,16,17,18,20,22,24,26,30,36
21,14,15,16,17,18,21,23,25,27,31,37
22,15,16,17,18,19,22,24,26,28,33,38
23,16,17,18,19,20,23,25,27,29,34,41
24,16,18,19,20,21,24,26,28,31,36,42
25,17,18,20,21,22,25,27,30,32,37,44
26,18,19,20,22,23,26,28,31,33,39,46
27,18,20,21,22,24,27,29,32,35,40,48
28,19,21,22,23,25,28,30,33,36,42,50
29,20,21,23,24,26,29,31,34,37,43,51
30,21,22,24,25,27,30,33,36,39,45,53
31,21,23,24,26,27,31,34,37,40,46,55
32,22,24,25,27,28,32,35,38,41,48,56
33,23,24,26,28,29,33,36,39,42,49,58
34,23,25,27,28,30,34,37,40,44,51,60
35,24,26,28,29,31,35,38,42,45,52,62
36,25,27,28,30,32,36,39,43,46,54,64
37,25,27,29,31,33,37,40,44,48,55,66
38,26,28,30,32,34,38,41,45,49,57,68
39,27,29,31,33,35,39,42,46,50,58,69
40,28,30,32,34,36,40,44,48,52,60,71
41,28,30,32,34,36,41,45,49,53,61,73
42,29,31,33,35,37,42,46,50,54,63,75
43,30,32,34,36,38,43,47,51,55,64,77
44,30,33,35,37,39,44,48,52,57,66,78
45,31,33,36,38,40,45,49,54,58,67,80
46,32,34,36,39,41,46,50,55,59,69,82
47,32,35,37,39,42,47,51,56,61,70,84
48,33,36,38,40,43,48,52,57,62,72,85
49,34,36,39,41,44,49,53,58,63,73,87
50,35,37,40,42,45,50,55,60,65,75,89
51,35,38,40,43,45,51,56,61,66,76,91
52,36,39,41,44,46,52,57,62,67,78,93
53,37,39,42,45,47,53,58,63,68,79,94
54,37,40,43,45,48,54,59,64,70,81,96
55,38,41,44,46,49,55,60,66,71,82,98
56,39,42,44,47,50,56,61,67,72,84,100
57,39,42,45,48,51,57,62,68,74,85,102
58,40,43,46,49,52,58,63,69,75,87,103
59,41,44,47,50,53,59,64,70,76,88,105
60,42,45,48,51,54,60,66,72,78,90,107
61,42,45,48,51,54,61,67,73,79,91,109
62,43,46,49,52,55,62,68,74,80,93,110
63,44,47,50,53,56,63,69,75,81,94,112
64,44,48,51,54,57,64,70,76,83,96,114
65,45,48,52,55,58,65,71,78,84,97,116
66,46,49,52,56,59,66,72,79,85,99,118
67,46,50,53,56,60,67,73,80,87,100,120
68,47,51,54,57,61,68,74,81,88,102,121
69,48,51,55,58,62,69,75,82,89,103,123
70,49,52,56,59,63,70,77,84,91,105,125
71,49,53,56,60,63,71,78,85,92,106,127
72,50,54,57,61,64,72,79,86,93,108,128
73,51,54,58,62,65,73,80,87,94,109,130
74,51,55,59,62,66,74,81,88,96,111,132
