mission_ql,playfield_id,playfield_name,offer_count
9,687,Galway Shire,330
9,695,Lush Fields,920
10,670,Clondyke,607
10,695,Lush Fields,643
11,670,Clondyke,602
11,695,Lush Fields,648
13,670,Clondyke,628
13,695,Lush Fields,622
14,670,Clondyke,629
14,695,Lush Fields,621
15,670,Clondyke,623
15,695,Lush Fields,627
16,670,Clondyke,622
16,695,Lush Fields,628
19,670,Clondyke,535
19,685,Galway County,180
19,695,Lush Fields,483
19,696,Mutant Domain,52
23,670,Clondyke,377
23,685,Galway County,318
23,687,Galway Shire,122
23,695,Lush Fields,381
23,696,Mutant Domain,52
