mission_ql,mission_type,mission_icon,offer_count
9,KILL_PERSON,11330,250
9,REPAIR,11342,750
9,RETURN_ITEM,11329,250
10,KILL_PERSON,11330,250
10,REPAIR,11342,750
10,RETURN_ITEM,11329,250
11,KILL_PERSON,11330,250
11,REPAIR,11342,750
11,RETURN_ITEM,11329,250
13,KILL_PERSON,11330,250
13,REPAIR,11342,750
13,RETURN_ITEM,11329,250
14,KILL_PERSON,11330,250
14,REPAIR,11342,750
14,RETURN_ITEM,11329,250
15,KILL_PERSON,11330,250
15,REPAIR,11342,750
15,RETURN_ITEM,11329,250
16,KILL_PERSON,11330,250
16,REPAIR,11342,750
16,RETURN_ITEM,11329,250
19,KILL_PERSON,11330,250
19,REPAIR,11342,750
19,RETURN_ITEM,11329,250
23,KILL_PERSON,11330,250
23,REPAIR,11342,750
23,RETURN_ITEM,11329,250
