StateIndex,Label,SliderStateId,Difficulty,GoodBad,OrderChaos,OpenHidden,PhysicalMystical,HeadonStealth,MoneyXp,ExpectedMissionQl,Requests,Offers,RequestIds
1,CENTERED_BASELINE_D1,e14000f8b0964d780cba5cb1251fdc458e90b6f9e2708a3167d4d78b91102622,1,255,255,255,255,255,255,1,2,10,mission-20260902T014541176Z-36962762-8baab3a4/request/00000001;mission-20260902T014714320Z-36962762-6d027b2f/request/00000001
2,GOOD_BAD_FULL_LEFT,088c8270b8d13910d018c507a219d8474aef8e899ff8547a7888f2d0a1542b3a,1,156,255,255,255,255,255,1,2,10,mission-20260902T014735414Z-36962762-873d0f68/request/00000001;mission-20260902T014735414Z-36962762-873d0f68/request/00000002
3,GOOD_BAD_FULL_RIGHT,e2be38f1fd90f64a0dea7edf7d030ed0640ba084f852472704e7ee1a20992b0b,1,100,255,255,255,255,255,1,2,10,mission-20260902T014742445Z-36962762-9639c44e/request/00000001;mission-20260902T014742445Z-36962762-9639c44e/request/00000002
4,GOOD_BAD_MINUS_50,e0df94e76660bfd0ee2174ebaf1d1c10d0983e631ca6c6d0f93b25dbf5b184e0,1,206,255,255,255,255,255,1,2,10,mission-20260902T015007588Z-36962762-c9da0b6d/request/00000001;mission-20260902T015007588Z-36962762-c9da0b6d/request/00000002
5,GOOD_BAD_PLUS_50,3f4c90daffa821d29bb2cd0444d86143311a0f1b1e2ab6b3335979c8679f94bb,1,50,255,255,255,255,255,1,2,10,mission-20260902T015014799Z-36962762-02de7738/request/00000001;mission-20260902T015014799Z-36962762-02de7738/request/00000002
6,ORDER_CHAOS_FULL_LEFT,879cf5c51d938e5f3d11a23637691d790f9d018e50b4c193cb450678f40e86f3,1,255,156,255,255,255,255,1,2,10,mission-20260902T015022092Z-36962762-506b7517/request/00000001;mission-20260902T015022092Z-36962762-506b7517/request/00000002
7,ORDER_CHAOS_FULL_RIGHT,4678a045e0d474ec350f1e938f0c987fcb738dc25c3361270af7e781228a4a54,1,255,100,255,255,255,255,1,2,10,mission-20260902T015028181Z-36962762-144d797e/request/00000001;mission-20260902T015028181Z-36962762-144d797e/request/00000002
8,ORDER_CHAOS_MINUS_50,a29a82c607ff6c1484b32899c94f370267f2ec7e6f7522cf97d3fe01f4c8ec08,1,255,206,255,255,255,255,1,2,10,mission-20260902T015428011Z-36962762-7323ad87/request/00000001;mission-20260902T015428011Z-36962762-7323ad87/request/00000002
9,ORDER_CHAOS_PLUS_50,8216cf9ed1ab2ca489b150df3427d80965f44cb22a5334917861eb08fd0caa2e,1,255,50,255,255,255,255,1,2,10,mission-20260902T015501702Z-36962762-6fa0f567/request/00000001;mission-20260902T015501702Z-36962762-6fa0f567/request/00000002
10,OPEN_HIDDEN_FULL_LEFT,e205f55ce1b6805ed0d261f9b0c86ac645509f2f4d2f3089baff1c42696f07e5,1,255,255,156,255,255,255,1,2,10,mission-20260902T015507673Z-36962762-881b61c8/request/00000001;mission-20260902T015507673Z-36962762-881b61c8/request/00000002
11,OPEN_HIDDEN_FULL_RIGHT,de328d131eca223623e0264e0777e030f76567cb9a57c1107a9299e038fb714c,1,255,255,100,255,255,255,1,2,10,mission-20260902T015514152Z-36962762-cde432c3/request/00000001;mission-20260902T015514152Z-36962762-cde432c3/request/00000002
12,OPEN_HIDDEN_MINUS_50,81beff1c9faf1ed91bd6bea9acb29503f4135d744b05a15c7e5185e9156dce87,1,255,255,206,255,255,255,1,2,10,mission-20260902T020352939Z-36962762-c11633ff/request/00000001;mission-20260902T020352939Z-36962762-c11633ff/request/00000002
13,OPEN_HIDDEN_PLUS_50,282abbc107e24d7e4722936b43429f5e63109d526924ce30ec0921c45a2c37ee,1,255,255,50,255,255,255,1,2,10,mission-20260902T020352939Z-36962762-c11633ff/request/00000003;mission-20260902T020352939Z-36962762-c11633ff/request/00000004
14,PHYSICAL_MYSTICAL_FULL_LEFT,3c0f61c7be028a87dd65d3ba7772cccb8cd8f3c91f97cee749c73d6339c30a4e,1,255,255,255,156,255,255,1,2,10,mission-20260902T020352939Z-36962762-c11633ff/request/00000005;mission-20260902T020352939Z-36962762-c11633ff/request/00000006
15,PHYSICAL_MYSTICAL_FULL_RIGHT,fd7923230853f187f152f06ab3be2e8528ca18ab43ce8648f5713392db3deefe,1,255,255,255,100,255,255,1,2,10,mission-20260902T020352939Z-36962762-c11633ff/request/00000007;mission-20260902T020352939Z-36962762-c11633ff/request/00000008
16,PHYSICAL_MYSTICAL_MINUS_50,8b83136676d13e79c09f05e4552e69b4316f1d67d0cc6ecaddf60dd5e69d8e54,1,255,255,255,206,255,255,1,2,10,mission-20260902T020352939Z-36962762-c11633ff/request/00000009;mission-20260902T020352939Z-36962762-c11633ff/request/00000010
17,PHYSICAL_MYSTICAL_PLUS_50,6d4e976a0e05e765423df00e7637365b95bf5caa15c640e483a52133f2851670,1,255,255,255,50,255,255,1,2,10,mission-20260902T020352939Z-36962762-c11633ff/request/00000011;mission-20260902T020352939Z-36962762-c11633ff/request/00000012
18,HEADON_STEALTH_FULL_LEFT,2d0df9be3316dc31009cda4726742a3b7d7095c506c11a4e745e27a128515ed7,1,255,255,255,255,156,255,1,2,10,mission-20260902T020352939Z-36962762-c11633ff/request/00000013;mission-20260902T020352939Z-36962762-c11633ff/request/00000014
19,HEADON_STEALTH_FULL_RIGHT,5d61a844c85facbb09abdd9def83c126a0c3efb353fcc9ea7afeda947cc99b3a,1,255,255,255,255,100,255,1,2,10,mission-20260902T020352939Z-36962762-c11633ff/request/00000015;mission-20260902T020352939Z-36962762-c11633ff/request/00000016
20,HEADON_STEALTH_MINUS_50,8f228aafa627cab1e2c0c5045f19d4d44d65b27c36785af4d20fe1a7957dddd4,1,255,255,255,255,206,255,1,2,10,mission-20260902T020352939Z-36962762-c11633ff/request/00000017;mission-20260902T020352939Z-36962762-c11633ff/request/00000018
21,HEADON_STEALTH_PLUS_50,1b917969b11d4d6f1debf1b682024a83facedb28bb08c3a8b62938d1a30b9c0e,1,255,255,255,255,50,255,1,2,10,mission-20260902T020352939Z-36962762-c11633ff/request/00000019;mission-20260902T020352939Z-36962762-c11633ff/request/00000020
22,MONEY_XP_FULL_LEFT,fd19fe20ea18f2b6b1e24a8df9e8e6706d6cf60290b6527b895be90c97ff7e01,1,255,255,255,255,255,156,1,2,10,mission-20260902T020352939Z-36962762-c11633ff/request/00000021;mission-20260902T020352939Z-36962762-c11633ff/request/00000022
23,MONEY_XP_FULL_RIGHT,17701cd082508768a9140c1f1cdd454368e9d6aa9593df833243fc6b4063d296,1,255,255,255,255,255,100,1,2,10,mission-20260902T020352939Z-36962762-c11633ff/request/00000023;mission-20260902T020352939Z-36962762-c11633ff/request/00000024
24,MONEY_XP_MINUS_50,9527ee3c49e5d1eaeba8fac73c30ae3668fbb4edc0d7f9ba3d7c37e0a2ece877,1,255,255,255,255,255,206,1,2,10,mission-20260902T020352939Z-36962762-c11633ff/request/00000025;mission-20260902T020352939Z-36962762-c11633ff/request/00000026
