mission_ql,low_id,high_id,observed_item_ql,unknown,item_name,observation_count
17,23314,23316,17,0,Simple First-Aid Kit,1
17,25812,25811,17,0,Treatment Laboratory,1
17,26207,26207,27,0,Nano Crystal (Enhanced Senses),1
17,26471,26471,14,0,Nano Crystal (Ranged Special Attacks Incompetence),5
17,26489,26489,10,0,Nano Crystal (Nano Skills Incompetence),2
17,26503,26503,14,0,Nano Crystal (Melee Special Attacks Incompetence),4
17,26541,26541,10,0,Nano Crystal (Drain Abilities),7
17,27199,27199,10,0,Nano Crystal (Melee Weapons Incompetence),4
17,27263,27263,10,0,Nano Crystal (Ranged Weapons Incompetence),1
17,27383,27383,1,0,Omni-Med Suit Shirt,1
17,27384,27384,1,0,Omni-Med Suit Skirt,1
17,27387,27387,1,0,Omni-Med Female Suit Shirt,1
17,28754,28754,27,0,Nano Crystal (Biotoxin MK I),1
17,28770,28770,14,0,Nano Crystal (Enhanced First Aid),2
17,28804,28804,10,0,Nano Crystal (Corrosive Spray),1
17,28811,28811,7,0,Nano Crystal (Fire Stream),1
17,28932,28932,7,0,Nano Crystal (Give Energy: 10),1
17,28936,28936,7,0,Nano Crystal (Give Life: 10),3
17,28950,28950,20,0,Nano Crystal (Muscle Stim),2
17,28956,28956,24,0,Nano Crystal (Rubber Skin),1
17,29333,29333,27,0,Nano Crystal (Attack Booster),1
17,29358,29358,24,0,Nano Crystal (Pistol Mastery),6
17,29360,29360,17,0,Nano Crystal (Quickshot),1
17,29804,29804,27,0,Nano Crystal (Glowing Retribution),3
17,29844,29844,10,0,Nano Crystal (Gun Enhancement),1
17,29862,29862,7,0,Nano Crystal (Spike Shield),2
17,30101,30101,27,0,Nano Crystal (Anger Addlement),2
17,30110,30110,10,0,Nano Crystal (Distracted Gaze),1
17,30771,30771,20,0,Nano Crystal (Frequent Customer),2
17,30790,30790,14,0,Nano Crystal (Margin Call),1
17,31420,31420,14,0,Nano Crystal (Cracker's Luck),2
17,31498,31498,1,0,White Cloak,4
17,31499,31499,1,0,Red Cloak,1
17,31500,31500,1,0,Grey Cloak,1
17,31501,31501,1,0,Green Cloak,2
17,31502,31502,1,0,Brown Cloak,1
17,31505,31505,1,0,Black Trenchcoat,2
17,31506,31506,1,0,Black Omni-Tek Commander Cloak,5
17,31516,31516,1,0,Trenchcoat,6
17,31530,31530,1,0,Grey Cloak Hood,2
17,31531,31531,1,0,Green Cloak Hood,1
17,31532,31532,1,0,Brown Cloak Hood,2
17,31533,31533,1,0,Blue Cloak Hood,2
17,32071,32071,17,0,Nano Crystal (False Profession: Adventurer),1
17,32076,32076,14,0,Nano Crystal (False Profession: Martial Artist),1
17,32081,32081,27,0,Nano Crystal (False Profession: Trader),1
17,32103,32103,20,0,Nano Crystal (Shadow Crown),1
17,36779,36778,17,0,2 - 3 NCU Memory,2
17,36783,36782,17,0,Belt Component Platform Ti-100X,2
17,38531,38531,24,0,Nano Crystal (Team Terrain Knowledge),1
17,42545,42545,17,0,Nano Crystal (Deep Slash),1
