CaptureId,ResourcePlayfieldId,Identity,Name,MonsterData,PositionX,PositionY,PositionZ,HeadingX,HeadingY,HeadingZ,HeadingW,Level,Health,MonsterScale,RunSpeed,NpcFamily,CharacterFlags,AppearanceValue,HeadMesh,Textures,Meshes,Waypoints,Owner,Classification,ImplementationPath,FullUpdateEvidence,MovementEvidence,CombatEvidence,LootEvidence,RawScfuRows
20260710-202132,127,(SimpleChar:7944C065),Nycsubway,0,65.80835,115.61483,318.9879,0,0.7071124,0,0.707101166,20,310,100,64,,1577537,1640,223934,0:15810:0|1:258544:0|2:9616:0|3:37036:0|4:22626:0,0:234530:0:0|0:223934:0:4|1:264695:0:2|2:264695:0:2,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,1
20260710-202132,127,(SimpleChar:794D8094),Adureth,0,108.118477,107.715,237.908875,0,0.6963278,0,0.7177239,24,544,110,85,,1577537,1833,223856,0:300686:0|1:81912:0|2:81914:0|3:81909:0|4:81917:0,0:300683:0:2|0:223856:0:4|1:264728:0:2|2:264728:0:2|3:303737:0:0|4:303737:0:0|5:300675:0:0,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,3
20260710-202132,127,(SimpleChar:7955241A),Tailor,26076,256.505157,107.611687,281.473541,0,-0.275354058,0,0.9613429,180,17841,119,448,0,271061505,1832,40635,0:0:0|1:30862:0|2:40903:0|3:30839:0|4:30886:0,0:40635:0:4|1:7777:0:2,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,1
20260710-202132,127,(SimpleChar:7955241B),Basic Quality Weaponsdealer,26092,254.086121,107.611687,299.299225,0,-0.9928845,0,0.119083129,180,17841,119,448,0,271061505,1576,40694,0:0:0|1:30862:0|2:40903:0|3:30839:0|4:30886:0,0:40694:0:4|1:7777:0:2,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,1
20260710-202132,127,(SimpleChar:7955241C),Basic Quality Armorer,26097,229.856308,107.611687,288.174469,0,-0.05255899,0,0.9986178,180,17841,119,448,0,271061505,1416,40111,0:0:0|1:30862:0|2:40903:0|3:30839:0|4:30886:0,0:40111:0:4|1:7777:0:2,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,1
20260710-202132,127,(SimpleChar:7955241D),Basic Quality Pharmacist,26151,228.489639,107.611687,305.617218,0,-0.9486281,0,0.316393226,180,17841,119,448,0,271061505,1640,40171,0:0:0|1:30862:0|2:40903:0|3:30839:0|4:30886:0,0:40171:0:4|1:7777:0:2,228.489639:107.611687:305.617218,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,enemy-movement.csv,archetype-or-family-only,deferred-or-unobserved,1
20260710-202132,127,(SimpleChar:7955241E),Basic Tools Merchant,26137,210.71875,107.611687,307.042,0,-0.7929219,0,0.609323263,180,17841,119,448,0,271061505,1864,40209,0:0:0|1:30862:0|2:40903:0|3:30839:0|4:30886:0,0:40209:0:4|1:7777:0:2,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,1
20260710-202132,127,(SimpleChar:7955241F),Container Supplier,26082,203.838409,107.611687,299.356354,0,-0.278684318,0,0.9603828,180,17841,119,448,0,271061505,1832,40634,0:0:0|1:30862:0|2:40903:0|3:30839:0|4:30886:0,0:40634:0:4|1:7777:0:2,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,1
20260710-202132,127,(SimpleChar:7955242F),Filth Flea,17657,190.038589,107.61483,223.9495,0,-0.466779619,0,0.8843722,6,138,130,24,138,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,3
20260710-202132,127,(SimpleChar:79552430),Filth Flea,17657,181.9689,107.61483,222.3687,0,0.282821476,0,0.959173143,5,115,130,21,138,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,3
20260710-202132,127,(SimpleChar:79552431),Filth Flea,17657,188.036987,107.61483,222.967834,0,0.891428769,0,0.4531608,5,115,130,21,138,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,188.036987:107.61483:222.967834|190.765228:107.61483:220.862061,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,enemy-movement.csv,archetype-or-family-only,deferred-or-unobserved,3
20260710-202132,127,(SimpleChar:79552457),Disobedient Bot,17649,179.465622,107.61483,231.892227,0,0.22483553,0,0.9743967,5,115,93,19,138,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,179.465622:107.61483:231.892227,,DUPLICATE_EXCLUDED,excluded,scfu-appearance.csv,enemy-movement.csv,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:79552458),Disobedient Bot,17649,173.524277,107.61483,232.190369,0,0.29850015,0,0.9544096,7,160,94,25,138,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,173.524277:107.61483:232.190369,,DUPLICATE_EXCLUDED,excluded,scfu-appearance.csv,enemy-movement.csv,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:79557C09),Discarded Pet,17720,183.01,107.611687,308.6345,0,-0.896443665,0,0.443157673,9,205,95,40,138,268980737,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,183.01:107.611687:308.6345|181.394287:107.611687:307.397461,,SUPPORTED_FAMILY_RESTORE,CapturedSubwayContentProvider shared family: Discarded Pet,scfu-appearance.csv,enemy-movement.csv,archetype-or-family-only,deferred-or-unobserved,1
20260710-202132,127,(SimpleChar:79557C17),Discarded Pet,17720,158.918869,107.61483,235.3483,0,-0.783162653,0,0.621816933,7,160,94,32,138,268980737,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,158.918869:107.61483:235.3483,,DUPLICATE_EXCLUDED,excluded,scfu-appearance.csv,enemy-movement.csv,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:79557C1A),Discarded Pet,17720,185.508942,107.61483,241.687714,0,-0.019426845,0,0.9998113,7,160,94,32,138,268980737,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,185.508942:107.61483:241.687714,,DUPLICATE_EXCLUDED,excluded,scfu-appearance.csv,enemy-movement.csv,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:79557C1B),Discarded Pet,17720,184.86322,107.61483,240.709,0,0.0495032668,0,0.998773932,6,138,93,28,138,268980737,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,184.86322:107.61483:240.709,,DUPLICATE_EXCLUDED,excluded,scfu-appearance.csv,enemy-movement.csv,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:79557C26),Discarded Pet,17720,192.565231,107.611687,289.6804,0,-0.815603554,0,0.578611135,7,160,94,32,138,268980737,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,192.565231:107.611687:289.6804|190.8963:107.611687:289.097473,,SUPPORTED_FAMILY_RESTORE,CapturedSubwayContentProvider shared family: Discarded Pet,scfu-appearance.csv,enemy-movement.csv,archetype-or-family-only,deferred-or-unobserved,1
20260710-202132,127,(SimpleChar:79557C27),Filth Flea,17657,145.366531,107.61483,199.774368,0,0.320989341,0,0.947077155,5,115,130,21,138,268964353,29899,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:79557C2A),Filth Flea,17657,150.285568,107.61483,201.013657,0,-0.0447484776,0,0.9990022,5,115,130,21,138,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:79557C2D),Filth Flea,17657,179.678833,107.61483,251.989166,0,0.897683,0,0.440643132,8,183,130,31,138,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,3
20260710-202132,127,(SimpleChar:79557C2E),Filth Flea,17657,176.718353,107.61483,249.544678,0,0.7838943,0,0.6208927,5,115,130,21,138,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,3
20260710-202132,127,(SimpleChar:79557C31),Discarded Pet,17720,174.194214,107.61483,242.166443,0,-0.720670164,0,0.693278134,5,115,93,24,138,268980737,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,174.194214:107.61483:242.166443|169.900009:107.5:242,,SUPPORTED_FAMILY_RESTORE,CapturedSubwayContentProvider shared family: Discarded Pet,scfu-appearance.csv,enemy-movement.csv,archetype-or-family-only,deferred-or-unobserved,1
