Ordinal,SourceInstanceHex,Name,Family,Classification,PositionX,PositionY,PositionZ,SourceCapture
1,79557C09,Discarded Pet,Discarded Pet,SUPPORTED_FAMILY_RESTORE,183.01,107.611687,308.6345,20260710-202132
2,79557C26,Discarded Pet,Discarded Pet,SUPPORTED_FAMILY_RESTORE,192.565231,107.611687,289.6804,20260710-202132
3,79557C31,Discarded Pet,Discarded Pet,SUPPORTED_FAMILY_RESTORE,174.194214,107.61483,242.166443,20260710-202132
4,79557C66,Disobedient Bot,Disobedient Bot,SUPPORTED_FAMILY_RESTORE,151.409119,107.61483,271.044,20260710-202132
5,79557C8B,Discarded Pet,Discarded Pet,SUPPORTED_FAMILY_RESTORE,286.2218,107.611687,285.7219,20260710-202132
6,79557CA7,Discarded Pet,Discarded Pet,SUPPORTED_FAMILY_RESTORE,161.97876,107.613258,301.466125,20260710-202132
7,79557CAB,Discarded Pet,Discarded Pet,SUPPORTED_FAMILY_RESTORE,281.3582,107.611687,284.467255,20260710-202132
8,79557CAC,Violent Vagabond,Violent Vagabond,SUPPORTED_FAMILY_RESTORE,273.7663,107.611687,284.703522,20260710-202132
9,79557CAD,Discarded Pet,Discarded Pet,SUPPORTED_FAMILY_RESTORE,288.673035,107.611687,276.390656,20260710-202132
10,79557CB8,Looter,Looter,ORDINARY_ENEMY_REGENERATE,284.850769,107.611687,294.085632,20260710-202132
11,79557F12,Stim Fiend,Stim Fiend,ORDINARY_ENEMY_REGENERATE,287.733978,107.611687,299.437225,20260710-202132
12,79557F14,Mugger,Mugger,SUPPORTED_FAMILY_RESTORE,292.5373,107.611687,298.02475,20260710-202132
13,7957405C,Violent Vagabond,Violent Vagabond,SUPPORTED_FAMILY_RESTORE,166.46637,107.6164,165.103058,20260710-202132
14,795743A7,Violent Vagabond,Violent Vagabond,SUPPORTED_FAMILY_RESTORE,197.541138,108.416405,209.092392,20260710-202132
15,795743A8,Violent Vagabond,Violent Vagabond,SUPPORTED_FAMILY_RESTORE,199.9471,108.416405,193.514114,20260710-202132
16,79574527,Deranged Shopper,Deranged Shopper,ORDINARY_ENEMY_REGENERATE,255.7054,107.611687,285.020325,20260710-202132
17,7957E02C,Violent Vagabond,Violent Vagabond,SUPPORTED_FAMILY_RESTORE,169.272583,107.61483,244.71405,20260710-202132
18,7957E02E,Violent Vagabond,Violent Vagabond,SUPPORTED_FAMILY_RESTORE,163.902328,107.6164,164.683487,20260710-202132
19,7957E123,Violent Vagabond,Violent Vagabond,SUPPORTED_FAMILY_RESTORE,149.739487,107.61483,279.861847,20260710-202132
20,7957E128,Stim Fiend,Stim Fiend,ORDINARY_ENEMY_REGENERATE,287.055054,107.611687,310.951843,20260710-202132
21,7957E40A,Disobedient Bot,Disobedient Bot,SUPPORTED_FAMILY_RESTORE,211.504623,107.6164,166.472961,20260710-202132
22,7957E40E,Violent Vagabond,Violent Vagabond,SUPPORTED_FAMILY_RESTORE,182.846771,107.6164,165.3118,20260710-202132
23,7957E411,Discarded Pet,Discarded Pet,SUPPORTED_FAMILY_RESTORE,201.890152,107.6164,164.699,20260710-202132
24,7957E415,Stim Fiend,Stim Fiend,ORDINARY_ENEMY_REGENERATE,197.723587,107.6164,168.280075,20260710-202132
25,7957E4A5,Discarded Pet,Discarded Pet,SUPPORTED_FAMILY_RESTORE,144.8586,107.61483,251.138519,20260710-202132
26,7957E4B1,Discarded Pet,Discarded Pet,SUPPORTED_FAMILY_RESTORE,151.498718,107.61483,237.92157,20260710-202132
27,7957E4BC,Discarded Pet,Discarded Pet,SUPPORTED_FAMILY_RESTORE,156.301163,107.61483,233.5397,20260710-202132
28,7957E5BF,Violent Vagabond,Violent Vagabond,SUPPORTED_FAMILY_RESTORE,165.985245,107.613258,305.1552,20260710-202132
29,7957E5C4,Violent Vagabond,Violent Vagabond,SUPPORTED_FAMILY_RESTORE,153.280945,107.61483,277.751068,20260710-202132
30,7957E5C5,Violent Vagabond,Violent Vagabond,SUPPORTED_FAMILY_RESTORE,151.613754,107.61483,280.145721,20260710-202132
31,7957E5C6,Mugger,Mugger,SUPPORTED_FAMILY_RESTORE,152.437408,107.613258,297.01,20260710-202132
32,7957E5C7,Mugger,Mugger,SUPPORTED_FAMILY_RESTORE,153.4413,107.613258,297.974335,20260710-202132
33,7957E5C8,Mugger,Mugger,SUPPORTED_FAMILY_RESTORE,145.386154,107.613258,289.6806,20260710-202132
34,7957E5CA,Mugger,Mugger,SUPPORTED_FAMILY_RESTORE,267.640045,107.611687,287.824371,20260710-202132
35,7957E5CD,Looter,Looter,ORDINARY_ENEMY_REGENERATE,230.674591,107.611687,290.99,20260710-202132
36,7957E5CF,Stim Fiend,Stim Fiend,ORDINARY_ENEMY_REGENERATE,277.575073,107.611687,275.633026,20260710-202132
37,7957E5D0,Stim Fiend,Stim Fiend,ORDINARY_ENEMY_REGENERATE,290.75827,107.611687,283.753021,20260710-202132
38,7957E5D1,Stim Fiend,Stim Fiend,ORDINARY_ENEMY_REGENERATE,292.3236,107.611687,294.727081,20260710-202132
