mission_ql,character_level,slider_position,rollable,evidence_status,request_count,expected_offers_per_complete_cohort,harvest_command
1,2,1,true,PROVEN_HELPBOT,1,5,/missionharvest start 1 1
2,2,6,true,PROVEN_HELPBOT,1,5,/missionharvest start 2 1
3,2,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 3 1
4,7,1,true,PROVEN_HELPBOT,1,5,/missionharvest start 4 1
5,7,2,true,PROVEN_HELPBOT,1,5,/missionharvest start 5 1
6,7,5,true,PROVEN_HELPBOT,1,5,/missionharvest start 6 1
7,7,6,true,PROVEN_HELPBOT,1,5,/missionharvest start 7 1
8,7,8,true,PROVEN_HELPBOT,1,5,/missionharvest start 8 1
9,7,9,true,PROVEN_HELPBOT,1,5,/missionharvest start 9 1
10,7,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 10 1
11,17,1,true,PROVEN_HELPBOT,1,5,/missionharvest start 11 1
12,7,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 12 1
13,17,3,true,PROVEN_HELPBOT,1,5,/missionharvest start 13 1
14,18,3,true,PROVEN_HELPBOT,1,5,/missionharvest start 14 1
15,17,5,true,PROVEN_HELPBOT,1,5,/missionharvest start 15 1
16,18,5,true,PROVEN_HELPBOT,1,5,/missionharvest start 16 1
17,17,6,true,PROVEN_HELPBOT,1,5,/missionharvest start 17 1
18,18,6,true,PROVEN_HELPBOT,1,5,/missionharvest start 18 1
19,18,7,true,PROVEN_HELPBOT,1,5,/missionharvest start 19 1
20,17,8,true,PROVEN_HELPBOT,1,5,/missionharvest start 20 1
21,18,8,true,PROVEN_HELPBOT,1,5,/missionharvest start 21 1
22,17,9,true,PROVEN_HELPBOT,1,5,/missionharvest start 22 1
23,18,9,true,PROVEN_HELPBOT,1,5,/missionharvest start 23 1
24,35,1,true,PROVEN_HELPBOT,1,5,/missionharvest start 24 1
25,17,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 25 1
26,35,2,true,PROVEN_HELPBOT,1,5,/missionharvest start 26 1
27,18,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 27 1
28,35,3,true,PROVEN_HELPBOT,1,5,/missionharvest start 28 1
29,35,4,true,PROVEN_HELPBOT,1,5,/missionharvest start 29 1
30,17,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 30 1
31,42,2,true,PROVEN_HELPBOT,1,5,/missionharvest start 31 1
32,18,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 32 1
33,42,3,true,PROVEN_HELPBOT,1,5,/missionharvest start 33 1
34,49,1,true,PROVEN_HELPBOT,1,5,/missionharvest start 34 1
35,42,4,true,PROVEN_HELPBOT,1,5,/missionharvest start 35 1
36,49,2,true,PROVEN_HELPBOT,1,5,/missionharvest start 36 1
37,42,5,true,PROVEN_HELPBOT,1,5,/missionharvest start 37 1
38,51,2,true,PROVEN_HELPBOT,1,5,/missionharvest start 38 1
39,49,3,true,PROVEN_HELPBOT,1,5,/missionharvest start 39 1
40,51,3,true,PROVEN_HELPBOT,1,5,/missionharvest start 40 1
41,49,4,true,PROVEN_HELPBOT,1,5,/missionharvest start 41 1
42,35,8,true,PROVEN_HELPBOT,1,5,/missionharvest start 42 1
43,51,4,true,PROVEN_HELPBOT,1,5,/missionharvest start 43 1
44,64,1,true,PROVEN_HELPBOT,1,5,/missionharvest start 44 1
45,51,5,true,PROVEN_HELPBOT,1,5,/missionharvest start 45 1
46,42,7,true,PROVEN_HELPBOT,1,5,/missionharvest start 46 1
47,68,1,true,PROVEN_HELPBOT,1,5,/missionharvest start 47 1
48,64,2,true,PROVEN_HELPBOT,1,5,/missionharvest start 48 1
49,49,6,true,PROVEN_HELPBOT,1,5,/missionharvest start 49 1
50,42,8,true,PROVEN_HELPBOT,1,5,/missionharvest start 50 1
51,51,6,true,PROVEN_HELPBOT,1,5,/missionharvest start 51 1
52,35,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 52 1
53,49,7,true,PROVEN_HELPBOT,1,5,/missionharvest start 53 1
54,64,4,true,PROVEN_HELPBOT,1,5,/missionharvest start 54 1
55,79,1,true,PROVEN_HELPBOT,1,5,/missionharvest start 55 1
56,51,7,true,PROVEN_HELPBOT,1,5,/missionharvest start 56 1
57,68,4,true,PROVEN_HELPBOT,1,5,/missionharvest start 57 1
58,49,8,true,PROVEN_HELPBOT,1,5,/missionharvest start 58 1
59,79,2,true,PROVEN_HELPBOT,1,5,/missionharvest start 59 1
60,87,1,true,PROVEN_HELPBOT,1,5,/missionharvest start 60 1
61,68,5,true,PROVEN_HELPBOT,1,5,/missionharvest start 61 1
62,35,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 62 1
63,79,3,true,PROVEN_HELPBOT,1,5,/missionharvest start 63 1
64,64,6,true,PROVEN_HELPBOT,1,5,/missionharvest start 64 1
65,87,2,true,PROVEN_HELPBOT,1,5,/missionharvest start 65 1
66,51,9,true,PROVEN_HELPBOT,1,5,/missionharvest start 66 1
67,97,1,true,PROVEN_HELPBOT,1,5,/missionharvest start 67 1
68,68,6,true,PROVEN_HELPBOT,1,5,/missionharvest start 68 1
69,87,3,true,PROVEN_HELPBOT,1,5,/missionharvest start 69 1
70,64,7,true,PROVEN_HELPBOT,1,5,/missionharvest start 70 1
71,79,5,true,PROVEN_HELPBOT,1,5,/missionharvest start 71 1
72,97,2,true,PROVEN_HELPBOT,1,5,/missionharvest start 72 1
73,105,1,true,PROVEN_HELPBOT,1,5,/missionharvest start 73 1
74,68,7,true,PROVEN_HELPBOT,1,5,/missionharvest start 74 1
75,42,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 75 1
76,64,8,true,PROVEN_HELPBOT,1,5,/missionharvest start 76 1
77,110,1,true,PROVEN_HELPBOT,1,5,/missionharvest start 77 1
78,105,2,true,PROVEN_HELPBOT,1,5,/missionharvest start 78 1
79,79,6,true,PROVEN_HELPBOT,1,5,/missionharvest start 79 1
80,115,1,true,PROVEN_HELPBOT,1,5,/missionharvest start 80 1
81,68,8,true,PROVEN_HELPBOT,1,5,/missionharvest start 81 1
82,118,1,true,PROVEN_HELPBOT,1,5,/missionharvest start 82 1
83,64,9,true,PROVEN_HELPBOT,1,5,/missionharvest start 83 1
84,105,3,true,PROVEN_HELPBOT,1,5,/missionharvest start 84 1
85,122,1,true,PROVEN_HELPBOT,1,5,/missionharvest start 85 1
86,124,1,true,PROVEN_HELPBOT,1,5,/missionharvest start 86 1
87,97,5,true,PROVEN_HELPBOT,1,5,/missionharvest start 87 1
88,110,3,true,PROVEN_HELPBOT,1,5,/missionharvest start 88 1
89,112,3,true,PROVEN_HELPBOT,1,5,/missionharvest start 89 1
90,120,2,true,PROVEN_HELPBOT,1,5,/missionharvest start 90 1
91,122,2,true,PROVEN_HELPBOT,1,5,/missionharvest start 91 1
92,132,1,true,PROVEN_HELPBOT,1,5,/missionharvest start 92 1
93,133,1,true,PROVEN_HELPBOT,1,5,/missionharvest start 93 1
94,105,5,true,PROVEN_HELPBOT,1,5,/missionharvest start 94 1
95,87,7,true,PROVEN_HELPBOT,1,5,/missionharvest start 95 1
96,128,2,true,PROVEN_HELPBOT,1,5,/missionharvest start 96 1
97,97,6,true,PROVEN_HELPBOT,1,5,/missionharvest start 97 1
98,131,2,true,PROVEN_HELPBOT,1,5,/missionharvest start 98 1
99,132,2,true,PROVEN_HELPBOT,1,5,/missionharvest start 99 1
100,134,2,true,PROVEN_HELPBOT,1,5,/missionharvest start 100 1
101,135,2,true,PROVEN_HELPBOT,1,5,/missionharvest start 101 1
102,137,2,true,PROVEN_HELPBOT,1,5,/missionharvest start 102 1
103,115,5,true,PROVEN_HELPBOT,1,5,/missionharvest start 103 1
104,130,3,true,PROVEN_HELPBOT,1,5,/missionharvest start 104 1
105,132,3,true,PROVEN_HELPBOT,1,5,/missionharvest start 105 1
106,142,2,true,PROVEN_HELPBOT,1,5,/missionharvest start 106 1
107,127,4,true,PROVEN_HELPBOT,1,5,/missionharvest start 107 1
108,136,3,true,PROVEN_HELPBOT,1,5,/missionharvest start 108 1
109,122,5,true,PROVEN_HELPBOT,1,5,/missionharvest start 109 1
110,147,2,true,PROVEN_HELPBOT,1,5,/missionharvest start 110 1
111,139,3,true,PROVEN_HELPBOT,1,5,/missionharvest start 111 1
112,112,6,true,PROVEN_HELPBOT,1,5,/missionharvest start 112 1
113,133,4,true,PROVEN_HELPBOT,1,5,/missionharvest start 113 1
114,127,5,true,PROVEN_HELPBOT,1,5,/missionharvest start 114 1
115,105,7,true,PROVEN_HELPBOT,1,5,/missionharvest start 115 1
116,129,5,true,PROVEN_HELPBOT,1,5,/missionharvest start 116 1
117,131,5,true,PROVEN_HELPBOT,1,5,/missionharvest start 117 1
118,118,6,true,PROVEN_HELPBOT,1,5,/missionharvest start 118 1
119,140,4,true,PROVEN_HELPBOT,1,5,/missionharvest start 119 1
120,120,6,true,PROVEN_HELPBOT,1,5,/missionharvest start 120 1
121,121,6,true,PROVEN_HELPBOT,1,5,/missionharvest start 121 1
122,112,7,true,PROVEN_HELPBOT,1,5,/missionharvest start 122 1
123,137,5,true,PROVEN_HELPBOT,1,5,/missionharvest start 123 1
124,138,5,true,PROVEN_HELPBOT,1,5,/missionharvest start 124 1
125,125,6,true,PROVEN_HELPBOT,1,5,/missionharvest start 125 1
126,140,5,true,PROVEN_HELPBOT,1,5,/missionharvest start 126 1
127,142,5,true,PROVEN_HELPBOT,1,5,/missionharvest start 127 1
128,143,5,true,PROVEN_HELPBOT,1,5,/missionharvest start 128 1
129,144,5,true,PROVEN_HELPBOT,1,5,/missionharvest start 129 1
130,130,6,true,PROVEN_HELPBOT,1,5,/missionharvest start 130 1
131,146,5,true,PROVEN_HELPBOT,1,5,/missionharvest start 131 1
132,147,5,true,PROVEN_HELPBOT,1,5,/missionharvest start 132 1
133,121,7,true,PROVEN_HELPBOT,1,5,/missionharvest start 133 1
134,149,5,true,PROVEN_HELPBOT,1,5,/missionharvest start 134 1
135,135,6,true,PROVEN_HELPBOT,1,5,/missionharvest start 135 1
136,124,7,true,PROVEN_HELPBOT,1,5,/missionharvest start 136 1
137,125,7,true,PROVEN_HELPBOT,1,5,/missionharvest start 137 1
138,115,8,true,PROVEN_HELPBOT,1,5,/missionharvest start 138 1
139,127,7,true,PROVEN_HELPBOT,1,5,/missionharvest start 139 1
140,128,7,true,PROVEN_HELPBOT,1,5,/missionharvest start 140 1
