mission_ql,character_level,slider_position,ordinary_terminal_eligible,evidence_status
1,1,1,False,PROVEN_HELPBOT
1,1,2,False,PROVEN_HELPBOT
1,1,3,False,PROVEN_HELPBOT
1,1,4,False,PROVEN_HELPBOT
1,1,5,False,PROVEN_HELPBOT
1,1,6,False,PROVEN_HELPBOT
1,1,7,False,PROVEN_HELPBOT
1,1,8,False,PROVEN_HELPBOT
1,1,9,False,PROVEN_HELPBOT
1,1,10,False,PROVEN_HELPBOT
1,1,11,False,PROVEN_HELPBOT
1,2,1,True,PROVEN_HELPBOT
1,2,2,True,PROVEN_HELPBOT
1,2,3,True,PROVEN_HELPBOT
1,2,4,True,PROVEN_HELPBOT
1,2,5,True,PROVEN_HELPBOT
2,2,6,True,PROVEN_HELPBOT
2,2,7,True,PROVEN_HELPBOT
2,2,8,True,PROVEN_HELPBOT
2,2,9,True,PROVEN_HELPBOT
2,3,1,True,PROVEN_HELPBOT
2,3,2,True,PROVEN_HELPBOT
2,3,3,True,PROVEN_HELPBOT
2,3,4,True,PROVEN_HELPBOT
2,3,5,True,PROVEN_HELPBOT
2,4,1,True,PROVEN_HELPBOT
3,2,10,True,PROVEN_HELPBOT
3,2,11,True,PROVEN_HELPBOT
3,3,6,True,PROVEN_HELPBOT
3,3,7,True,PROVEN_HELPBOT
3,3,8,True,PROVEN_HELPBOT
3,3,9,True,PROVEN_HELPBOT
3,4,2,True,PROVEN_HELPBOT
3,4,3,True,PROVEN_HELPBOT
3,4,4,True,PROVEN_HELPBOT
3,4,5,True,PROVEN_HELPBOT
3,5,1,True,PROVEN_HELPBOT
3,5,2,True,PROVEN_HELPBOT
4,3,10,True,PROVEN_HELPBOT
4,4,6,True,PROVEN_HELPBOT
4,4,7,True,PROVEN_HELPBOT
4,4,8,True,PROVEN_HELPBOT
4,5,3,True,PROVEN_HELPBOT
4,5,4,True,PROVEN_HELPBOT
4,5,5,True,PROVEN_HELPBOT
4,6,1,True,PROVEN_HELPBOT
4,6,2,True,PROVEN_HELPBOT
4,6,3,True,PROVEN_HELPBOT
4,7,1,True,PROVEN_HELPBOT
5,3,11,True,PROVEN_HELPBOT
5,4,9,True,PROVEN_HELPBOT
5,5,6,True,PROVEN_HELPBOT
5,5,7,True,PROVEN_HELPBOT
5,6,4,True,PROVEN_HELPBOT
5,6,5,True,PROVEN_HELPBOT
5,7,2,True,PROVEN_HELPBOT
5,7,3,True,PROVEN_HELPBOT
5,7,4,True,PROVEN_HELPBOT
5,8,1,True,PROVEN_HELPBOT
6,4,10,True,PROVEN_HELPBOT
6,5,8,True,PROVEN_HELPBOT
6,5,9,True,PROVEN_HELPBOT
6,6,6,True,PROVEN_HELPBOT
6,6,7,True,PROVEN_HELPBOT
6,7,5,True,PROVEN_HELPBOT
6,8,2,True,PROVEN_HELPBOT
6,8,3,True,PROVEN_HELPBOT
6,8,4,True,PROVEN_HELPBOT
6,9,1,True,PROVEN_HELPBOT
6,9,2,True,PROVEN_HELPBOT
7,4,11,True,PROVEN_HELPBOT
7,5,10,True,PROVEN_HELPBOT
7,6,8,True,PROVEN_HELPBOT
7,6,9,True,PROVEN_HELPBOT
7,7,6,True,PROVEN_HELPBOT
7,7,7,True,PROVEN_HELPBOT
7,8,5,True,PROVEN_HELPBOT
7,9,3,True,PROVEN_HELPBOT
7,9,4,True,PROVEN_HELPBOT
7,10,1,True,PROVEN_HELPBOT
7,10,2,True,PROVEN_HELPBOT
7,11,1,True,PROVEN_HELPBOT
8,5,11,True,PROVEN_HELPBOT
8,7,8,True,PROVEN_HELPBOT
8,8,6,True,PROVEN_HELPBOT
8,8,7,True,PROVEN_HELPBOT
8,9,5,True,PROVEN_HELPBOT
8,10,3,True,PROVEN_HELPBOT
8,10,4,True,PROVEN_HELPBOT
8,11,2,True,PROVEN_HELPBOT
8,11,3,True,PROVEN_HELPBOT
8,12,1,True,PROVEN_HELPBOT
9,6,10,True,PROVEN_HELPBOT
9,7,9,True,PROVEN_HELPBOT
9,8,8,True,PROVEN_HELPBOT
9,9,6,True,PROVEN_HELPBOT
9,9,7,True,PROVEN_HELPBOT
9,10,5,True,PROVEN_HELPBOT
9,11,4,True,PROVEN_HELPBOT
9,11,5,True,PROVEN_HELPBOT
9,12,2,True,PROVEN_HELPBOT
9,12,3,True,PROVEN_HELPBOT
9,13,1,True,PROVEN_HELPBOT
9,13,2,True,PROVEN_HELPBOT
9,14,1,True,PROVEN_HELPBOT
10,6,11,True,PROVEN_HELPBOT
10,7,10,True,PROVEN_HELPBOT
10,8,9,True,PROVEN_HELPBOT
10,9,8,True,PROVEN_HELPBOT
10,10,6,True,PROVEN_HELPBOT
10,12,4,True,PROVEN_HELPBOT
10,12,5,True,PROVEN_HELPBOT
10,13,3,True,PROVEN_HELPBOT
