"Dll","Category","Slot","Ordinal","ValueHex","Symbol","Undecorated"
"AFCM.dll","AOClient","0","1","0000","??0AFCM@@AAE@XZ","private: __thiscall AFCM::AFCM(void)"
"AFCM.dll","AOClient","0","1","0000133c","Export RVA",""
"AFCM.dll","AOClient","1","2","0001","??0DynamicID_t@@AAE@XZ","private: __thiscall DynamicID_t::DynamicID_t(void)"
"AFCM.dll","AOClient","1","2","00006200","Export RVA",""
"AFCM.dll","AOClient","2","3","0002","??0DynamicID_t@@QAE@ABV0@@Z","public: __thiscall DynamicID_t::DynamicID_t(class DynamicID_t const &)"
"AFCM.dll","AOClient","2","3","00002cf7","Export RVA",""
"AFCM.dll","AOClient","3","4","0003","??0DynamicTypeID_t@@QAE@ABV0@@Z","public: __thiscall DynamicTypeID_t::DynamicTypeID_t(class DynamicTypeID_t const &)"
"AFCM.dll","AOClient","3","4","00002a4b","Export RVA",""
"AFCM.dll","AOClient","4","5","0004","??0DynamicTypeID_t@@QAE@XZ","public: __thiscall DynamicTypeID_t::DynamicTypeID_t(void)"
"AFCM.dll","AOClient","4","5","00002733","Export RVA",""
"AFCM.dll","AOClient","5","6","0005","??0ExecutionList_t@@QAE@PAD@Z","public: __thiscall ExecutionList_t::ExecutionList_t(char *)"
"AFCM.dll","AOClient","5","6","00003ff0","Export RVA",""
"AFCM.dll","AOClient","6","7","0006","??0GlobalSignals_c@@QAE@XZ","public: __thiscall GlobalSignals_c::GlobalSignals_c(void)"
"AFCM.dll","AOClient","6","7","000075e4","Export RVA",""
"AFCM.dll","AOClient","7","8","0007","??0InvalidDynamicId_c@@QAE@ABV0@@Z","public: __thiscall InvalidDynamicId_c::InvalidDynamicId_c(class InvalidDynamicId_c const &)"
"AFCM.dll","AOClient","7","8","00002425","Export RVA",""
"AFCM.dll","AOClient","8","9","0008","??0InvalidDynamicId_c@@QAE@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z","public: __thiscall InvalidDynamicId_c::InvalidDynamicId_c(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &)"
"AFCM.dll","AOClient","8","9","000023e8","Export RVA",""
"AFCM.dll","AOClient","9","10","0009","??0MessageModule_t@@QAE@HP6AXXZH@Z","public: __thiscall MessageModule_t::MessageModule_t(int,void (__cdecl*)(void),int)"
"AFCM.dll","AOClient","9","10","000049d8","Export RVA",""
"AFCM.dll","AOClient","10","11","000a","??0MessageModule_t@@QAE@PADP6AXXZH@Z","public: __thiscall MessageModule_t::MessageModule_t(char *,void (__cdecl*)(void),int)"
"AFCM.dll","AOClient","10","11","00004a3d","Export RVA",""
"AFCM.dll","AOClient","11","12","000b","??0MessageProcessor_t@@QAE@HP6AXXZ@Z","public: __thiscall MessageProcessor_t::MessageProcessor_t(int,void (__cdecl*)(void))"
"AFCM.dll","AOClient","11","12","00004b60","Export RVA",""
"AFCM.dll","AOClient","12","13","000c","??0MessageProcessor_t@@QAE@PADP6AXXZ@Z","public: __thiscall MessageProcessor_t::MessageProcessor_t(char *,void (__cdecl*)(void))"
"AFCM.dll","AOClient","12","13","00004b74","Export RVA",""
"AFCM.dll","AOClient","13","14","000d","??0Timer_t@@AAE@XZ","private: __thiscall Timer_t::Timer_t(void)"
"AFCM.dll","AOClient","13","14","0000683f","Export RVA",""
"AFCM.dll","AOClient","14","15","000e","??1AFCM@@QAE@XZ","public: __thiscall AFCM::~AFCM(void)"
"AFCM.dll","AOClient","14","15","00001830","Export RVA",""
"AFCM.dll","AOClient","15","16","000f","??1DynamicID_t@@AAE@XZ","private: __thiscall DynamicID_t::~DynamicID_t(void)"
"AFCM.dll","AOClient","15","16","0000614f","Export RVA",""
"AFCM.dll","AOClient","16","17","0010","??1DynamicTypeID_t@@QAE@XZ","public: __thiscall DynamicTypeID_t::~DynamicTypeID_t(void)"
"AFCM.dll","AOClient","16","17","00002753","Export RVA",""
"AFCM.dll","AOClient","17","18","0011","??1ExecutionList_t@@QAE@XZ","public: __thiscall ExecutionList_t::~ExecutionList_t(void)"
"AFCM.dll","AOClient","17","18","000041c8","Export RVA",""
"AFCM.dll","AOClient","18","19","0012","??1GlobalSignals_c@@QAE@XZ","public: __thiscall GlobalSignals_c::~GlobalSignals_c(void)"
"AFCM.dll","AOClient","18","19","00006d26","Export RVA",""
"AFCM.dll","AOClient","19","20","0013","??1InvalidDynamicId_c@@UAE@XZ","public: virtual __thiscall InvalidDynamicId_c::~InvalidDynamicId_c(void)"
"AFCM.dll","AOClient","19","20","00002180","Export RVA",""
"AFCM.dll","AOClient","20","21","0014","??1MessageModule_t@@QAE@XZ","public: __thiscall MessageModule_t::~MessageModule_t(void)"
"AFCM.dll","AOClient","20","21","00004af6","Export RVA",""
"AFCM.dll","AOClient","21","22","0015","??1MessageProcessor_t@@QAE@XZ","public: __thiscall MessageProcessor_t::~MessageProcessor_t(void)"
"AFCM.dll","AOClient","21","22","00001032","Export RVA",""
"AFCM.dll","AOClient","22","23","0016","??1Timer_t@@QAE@XZ","public: __thiscall Timer_t::~Timer_t(void)"
"AFCM.dll","AOClient","22","23","0000682f","Export RVA",""
"AFCM.dll","AOClient","23","24","0017","??4AFCM@@QAEAAV0@ABV0@@Z","public: class AFCM & __thiscall AFCM::operator=(class AFCM const &)"
"AFCM.dll","AOClient","23","24","0000111e","Export RVA",""
"AFCM.dll","AOClient","24","25","0018","??4DynamicID_t@@QAEAAV0@ABV0@@Z","public: class DynamicID_t & __thiscall DynamicID_t::operator=(class DynamicID_t const &)"
"AFCM.dll","AOClient","24","25","00002cce","Export RVA",""
"AFCM.dll","AOClient","25","26","0019","??4DynamicTypeID_t@@QAEAAV0@ABV0@@Z","public: class DynamicTypeID_t & __thiscall DynamicTypeID_t::operator=(class DynamicTypeID_t const &)"
"AFCM.dll","AOClient","25","26","00002a6b","Export RVA",""
"AFCM.dll","AOClient","26","27","001a","??4ExecutionList_t@@QAEAAV0@ABV0@@Z","public: class ExecutionList_t & __thiscall ExecutionList_t::operator=(class ExecutionList_t const &)"
"AFCM.dll","AOClient","26","27","00001189","Export RVA",""
"AFCM.dll","AOClient","27","28","001b","??4InvalidDynamicId_c@@QAEAAV0@ABV0@@Z","public: class InvalidDynamicId_c & __thiscall InvalidDynamicId_c::operator=(class InvalidDynamicId_c const &)"
"AFCM.dll","AOClient","27","28","00002547","Export RVA",""
"AFCM.dll","AOClient","28","29","001c","??4MessageModule_t@@QAEAAV0@ABV0@@Z","public: class MessageModule_t & __thiscall MessageModule_t::operator=(class MessageModule_t const &)"
"AFCM.dll","AOClient","28","29","0000103a","Export RVA",""
"AFCM.dll","AOClient","29","30","001d","??4MessageProcessor_t@@QAEAAV0@ABV0@@Z","public: class MessageProcessor_t & __thiscall MessageProcessor_t::operator=(class MessageProcessor_t const &)"
"AFCM.dll","AOClient","29","30","000042e4","Export RVA",""
"AFCM.dll","AOClient","30","31","001e","??4Timer_t@@QAEAAV0@ABV0@@Z","public: class Timer_t & __thiscall Timer_t::operator=(class Timer_t const &)"
"AFCM.dll","AOClient","30","31","000065b6","Export RVA",""
"AFCM.dll","AOClient","31","32","001f","??_7InvalidDynamicId_c@@6B@","const InvalidDynamicId_c::`vftable'"
"AFCM.dll","AOClient","31","32","0000a1e8","Export RVA",""
"AFCM.dll","AOClient","32","33","0020","?Add2ndProgram@AFCM@@QAEXH@Z","public: void __thiscall AFCM::Add2ndProgram(int)"
"AFCM.dll","AOClient","32","33","000017fe","Export RVA",""
"AFCM.dll","AOClient","33","34","0021","?AddMessageModuleFramePreProcessor@MessageModule_t@@QAEXP6AXXZ@Z","public: void __thiscall MessageModule_t::AddMessageModuleFramePreProcessor(void (__cdecl*)(void))"
"AFCM.dll","AOClient","33","34","00004913","Export RVA",""
"AFCM.dll","AOClient","34","35","0022","?AddMessageModuleFrameProcessor@MessageModule_t@@QAEXP6AXXZ@Z","public: void __thiscall MessageModule_t::AddMessageModuleFrameProcessor(void (__cdecl*)(void))"
"AFCM.dll","AOClient","34","35","000048d3","Export RVA",""
"AFCM.dll","AOClient","35","36","0023","?AddMessageProcessor@MessageModule_t@@QAEXPAVMessageProcessor_t@@@Z","public: void __thiscall MessageModule_t::AddMessageProcessor(class MessageProcessor_t *)"
"AFCM.dll","AOClient","35","36","00004ade","Export RVA",""
"AFCM.dll","AOClient","36","37","0024","?AddModuleRuntime@ExecutionList_t@@QAEXHPAVMessageModule_t@@@Z","public: void __thiscall ExecutionList_t::AddModuleRuntime(int,class MessageModule_t *)"
"AFCM.dll","AOClient","36","37","000041df","Export RVA",""
"AFCM.dll","AOClient","37","38","0025","?AddModuleRuntime@ExecutionList_t@@QAEXPADPAVMessageModule_t@@@Z","public: void __thiscall ExecutionList_t::AddModuleRuntime(char *,class MessageModule_t *)"
"AFCM.dll","AOClient","37","38","00004246","Export RVA",""
"AFCM.dll","AOClient","38","39","0026","?AddProgram@AFCM@@QAEXH@Z","public: void __thiscall AFCM::AddProgram(int)"
"AFCM.dll","AOClient","38","39","000017cc","Export RVA",""
"AFCM.dll","AOClient","39","40","0027","?AddSimpleProgram@ExecutionList_t@@QAEXPAVSimpleProgram_t@@_N@Z","public: void __thiscall ExecutionList_t::AddSimpleProgram(class SimpleProgram_t *,bool)"
"AFCM.dll","AOClient","39","40","00004161","Export RVA",""
