"Dll","Category","Kind","Symbol"
"AFCM.dll","AOClient","CombatLoot","GFX_GUI_INDICATOR_ATTACKING"
"AFCM.dll","AOClient","CombatLoot","GFX_GUI_POINTERDETAIL_ATTACK"
"AFCM.dll","AOClient","CombatLoot","PACKET_TYPE_COMBAT_MODE_CHANGE"
"AFCM.dll","AOClient","CombatLoot","PACKET_TYPE_DEFAULT_ATTACK"
"AFCM.dll","AOClient","CombatLoot","PACKET_TYPE_FASTATTACK"
"AFCM.dll","AOClient","CombatLoot","PACKET_TYPE_FIGHTING_TARGET"
"AFCM.dll","AOClient","CombatLoot","PACKET_TYPE_SNEAKATTACK"
"AFCM.dll","AOClient","CombatLoot","PACKET_TYPE_STOP_FIGHT"
"DisplaySystem.dll","AOClient","CombatLoot","attack"
"DisplaySystem.dll","AOClient","CombatLoot","attack_effect_1"
"DisplaySystem.dll","AOClient","CombatLoot","attack_effect_2"
"DisplaySystem.dll","AOClient","CombatLoot","attack_effect_3"
"DisplaySystem.dll","AOClient","CombatLoot","attack_effect_4"
"DisplaySystem.dll","AOClient","CombatLoot","attack_start_1"
"DisplaySystem.dll","AOClient","CombatLoot","attack_start_2"
"DisplaySystem.dll","AOClient","CombatLoot","attack_start_3"
"DisplaySystem.dll","AOClient","CombatLoot","attack_start_4"
"DisplaySystem.dll","AOClient","CombatLoot","attack_start_5"
"DisplaySystem.dll","AOClient","CombatLoot","attack_start_6"
"DisplaySystem.dll","AOClient","CombatLoot","attack_start_7"
"DisplaySystem.dll","AOClient","CombatLoot","attack_start_8"
"DisplaySystem.dll","AOClient","CombatLoot","attack_start_9"
"DisplaySystem.dll","AOClient","CombatLoot","doubleattack"
"DisplaySystem.dll","AOClient","CombatLoot","enter_combat"
"DisplaySystem.dll","AOClient","CombatLoot","exit_combat"
"DisplaySystem.dll","AOClient","CombatLoot","idle_combat"
"DisplaySystem.dll","AOClient","CombatLoot","leftattack"
"DisplaySystem.dll","AOClient","CombatLoot","quickattack"
"DisplaySystem.dll","AOClient","CombatLoot","sneakattack"
"Fanatic.dll","AOClient","IIRType","FanaticIIR_t"
"FXS.dll","AOClient","ClientStatName","e_Automatic"
"FXS.dll","AOClient","ClientStatName","e_BB_Offscreen"
"FXS.dll","AOClient","ClientStatName","e_BB_Primary"
"FXS.dll","AOClient","ClientStatName","e_BB_ProgressiveLava"
"FXS.dll","AOClient","ClientStatName","e_BB_Refraction"
"FXS.dll","AOClient","ClientStatName","e_bIsUniverseVisible"
"FXS.dll","AOClient","ClientStatName","e_ClearScreen"
