"Program","EntryPoint","Name","Namespace","Signature","Status","BestArea","HasExactNameHit","AliasList","HitCountSampled","HitPaths","HitSamples"
"Gamecode.dll","10016a58","GetAttackRange","n3EngineClientAnarchy_t","float __thiscall GetAttackRange(void)","DataOnly","EnumOrStats","False","GetAttackRange; GetAttackRangeMessage; GetAttackRangeMessageHandler; AttackRange; Range; CanAttack","10","CellAO\Server\ZoneEngine\XML Data\Stats.xml; CellAO\Libraries\Source\AOtomation\AOtomation.Messaging\src\SmokeLounge.AOtomation.Messaging\GameData\CharacterStat.cs; CellAO\Libraries\Source\CellAO.Enums\StatIds.cs; CellAO\Libraries\Source\CellAO.Stats\StatNamesDefaults.cs; CellAO\Libraries\Source\CellAO.Stats\Stats.cs; CellAO\Libraries\Source\CellAO.Database\SqlTables\statnames.sql","CellAO\Server\ZoneEngine\XML Data\Stats.xml:1151 [AttackRange] <Stat id=""287"" Name=""AttackRange""> || CellAO\Libraries\Source\AOtomation\AOtomation.Messaging\src\SmokeLounge.AOtomation.Messaging\GameData\CharacterStat.cs:575 [AttackRange] AttackRange = 0x0000011F, || CellAO\Libraries\Source\CellAO.Enums\StatIds.cs:1180 [AttackRange] attackrange = 287, || CellAO\Libraries\Source\CellAO.Stats\StatNamesDefaults.cs:358 [AttackRange] NameList.Add(287, ""AttackRange""); || CellAO\Libraries\Source\CellAO.Stats\Stats.cs:280 [AttackRange] private readonly Stat attackRange; || CellAO\Libraries\Source\CellAO.Stats\Stats.cs:2962 [AttackRange] this.attackRange = new Stat(this, 287, 1234567890, false, false, false); || CellAO\Libraries\Source\CellAO.Stats\Stats.cs:3901 [AttackRange] this.all.Add(this.attackRange); || CellAO\Libraries\Source\CellAO.Stats\Stats.cs:4913 [AttackRange] public Stat AttackRange || CellAO\Libraries\Source\CellAO.Stats\Stats.cs:4917 [AttackRange] return this.attackRange; || CellAO\Libraries\Source\CellAO.Database\SqlTables\statnames.sql:297 [AttackRange] (287, 'AttackRange', '', 1234567890),"
"Gamecode.dll","1001d9db","N3Msg_Airstrike","n3EngineClientAnarchy_t","void __thiscall N3Msg_Airstrike(Identity_t * param_1)","DataOnly","DatabaseModel","False","N3Msg_Airstrike; Airstrike; AirstrikeMessage; AirstrikeMessageHandler",,"CellAO\Libraries\Source\CellAO.Database\SqlTables\itemnames.sql","CellAO\Libraries\Source\CellAO.Database\SqlTables\itemnames.sql:124 [Airstrike] INSERT INTO itemnames VALUES ( 265458 , 'Nano Crystal (NT: Earthshattering Cataclysm)' , 'Item', '12257' ) , ( 265457 , 'Nano Crystal (NT: Explosive Double)' , 'Item', '12257' ) , ( 265456 , 'Nano Crystal (NT: Future Vision)' , 'Item', '12257' ) , ( 265455 , 'Nano Crystal (NT: Explosive Cataclysm)' , 'Item', '12257' ) , ( 265454 , 'Nano Crystal (Shad: Shade''s Caress)' , 'Item', '292049' ) , ( 265453 , 'Nano Crystal (Keep: Blow Their Cover)' , 'Item', '12257' ) , ( 265452 , 'Nano Crystal (MP: Nano Division)' , 'Item', '12257' ) , ( 265451 , 'Nano Crystal (Doc: Fill Inbox)' , 'Item', '12257' ) , ( 265450 , 'Nano Crystal (NT: Restrain Enthusiasm)' , 'Item', '12257' ) , ( 265449 , 'Nano Crystal (Enf: Slowdown)' , 'Item', '12257' ) , ( 265448 , 'Nano Crystal (Bur: Rabies)' , 'Item', '12257' ) , ( 265447 , 'Nano Crystal (Trad: Borrow Reflect)' , 'Item', '12257' ) , ( 265446 , 'Nano Crystal (Adv: Misdiagnosis)' , 'Item', '12257' ) , ( 265445 , 'Nano Crystal (Agt: Technical Incompetence)' , 'Item', '12257' ) , ( 265444 , 'Nano Crystal (Fix: Blindside)' , 'Item', '12257' ) , ( 265443 , 'Nano Crystal (Eng: Unsteady Hands)' , 'Item', '12257' ) , ( 265442 , 'Nano Crystal (MA: Induce Stupor)' , 'Item', '12257' ) , ( 265441 , 'Nano Crystal (Sol: Pierce Nerves)' , 'Item', '12257' ) , ( 265406 , 'Airstrike Targeting Station' , 'Item', '0' ) , ( 265405 , 'Orbital Bombardment Targeting Station' , 'Item', '0' ) , ( 265384 , 'Hanging Pumpkin Lanterns' , 'Item', '265382' ) , ( 265380 , 'A Shadowleet Doll' , 'Item', '265381' ) , ( 265369 , 'Wicked Grin Shirt' , 'Item', '265371' ) , ( 265365 , 'Bat Shirt' , 'Item', '85945' ) , ( 265362 , 'Slasher Shirt' , 'Item', '265354' ) , ( 265361 , 'Igneous Rock Machine Component' , 'Item', '265378' ) , ( 265358 , 'Skull''n''Bones' , 'Item', '265355' ) , ( 265357 , 'Xan Ritual Scepter' , 'Item', '265359' ) , ( 265356 , 'A Scepter' , 'Item', '265359' ) , ( 265352 , 'Broken Xan Prayer Urn' , 'Item', '265351' ) , ( 265350 , 'Urn' , 'Item', '265351' ) , ( 265349 , 'Xan Prayer Urn' , 'Item', '154195' ) , ( 265345 , 'Vintage GSP T-shirt' , 'Item', '266233' ) , ( 265340 , 'Ofab Biomaterial Upgrades' , 'Item', '0' ) , ( 265339 , 'Ofab Weapons' , 'Item', '0' ) , ( 265338 , 'Ofab Armor' , 'Item', '0' ) , ( 265336 , 'Kyr''Ozch Bio-Material - Type 468' , 'Item', '285463' ) , ( 265335 , 'Kyr''Ozch Bio-Material - Type 468' , 'Item', '285463' ) , ( 265334 , 'Kyr''Ozch Bio-Material - Type 64' , 'Item', '285461' ) , ( 265333 , 'Kyr''Ozch Bio-Material - Type 64' , 'Item', '285461' ) , ( 265332 , 'Kyr''Ozch Bio-Material - Type 935' , 'Item', '285460' ) , ( 265331 , 'Kyr''Ozch Bio-Material - Type 935' , 'Item', '285460' ) , ( 265330 , 'Kyr''Ozch Bio-Material - Type 295' , 'Item', '285462' ) , ( 265329 , 'Kyr''Ozch Bio-Material - Type 295' , 'Item', '285462' ) , ( 265328 , 'Kyr''Ozch Bio-Material - Type 687' , 'Item', '285457' ) , ( 265327 , 'Kyr''Ozch Bio-Material - Type 687' , 'Item', '285457' ) , ( 265326 , 'Kyr''Ozch Bio-Material - Type 812' , 'Item', '285456' ) , ( 265325 , 'Kyr''Ozch Bio-Material - Type 812' , 'Item', '285456' ) , ( 265324 , 'Kyr''Ozch Bio-Material - Type 34' , 'Item', '285458' ) , ( 265323 , 'Kyr''Ozch Bio-Material - Type 34' , 'Item', '285458' ) , ( 265322 , 'Kyr''Ozch Bio-Material - Type 18' , 'Item', '285459' ) , ( 265321 , 'Kyr''Ozch Bio-Material - Type 18' , 'Item', '285459' ) , ( 265320 , 'Ofab Cobra Mk 6' , 'Item', '264796' ) , ( 265319 , 'Ofab Cobra Mk 6' , 'Item', '264796' ) , ( 265318 , 'Ofab Cobra Mk 6' , 'Item', '264796' ) , ( 265317 , 'Ofab Cobra Mk 6' , 'Item', '264796' ) , ( 265316 , 'Ofab Cobra Mk 6' , 'Item', '264796' ) , ( 265315 , 'Ofab Cobra Mk 6' , 'Item', '264796' ) , ( 265314 , 'Ofab Cobra Mk 6' , 'Item', '264796' ) , ( 265313 , 'Ofab Cobra Mk 5' , 'Item', '264795' ) , ( 265312 , 'Ofab Cobra Mk 5' , 'Item', '264795' ) , ( 265311 , 'Ofab Cobra Mk 5' , 'Item', '264795' ) , ( 265310 , 'Ofab Cobra Mk 5' , 'Item', '264795' ) , ( 265309 , 'Ofab Cobra Mk 5' , 'Item', '264795' ) , ( 265308 , 'Ofab Cobra Mk 5' , 'Item', '264795' ) , ( 265307 , 'Ofab Cobra Mk 5' , 'Item', '264795' ) , ( 265306 , 'Ofab Cobra Mk 4' , 'Item', '264794' ) , ( 265305 , 'Ofab Cobra Mk 4' , 'Item', '264794' ) , ( 265304 , 'Ofab Cobra Mk 4' , 'Item', '264794' ) , ( 265303 , 'Ofab Cobra Mk 4' , 'Item', '264794' ) , ( 265302 , 'Ofab Cobra Mk 4' , 'Item', '264794' ) , ( 265301 , 'Ofab Cobra Mk 4' , 'Item', '264794' ) , ( 265300 , 'Ofab Cobra Mk 4' , 'Item', '264794' ) , ( 265299 , 'Ofab Cobra Mk 3' , 'Item', '264793' ) , ( 265298 , 'Ofab Cobra Mk 3' , 'Item', '264793' ) , ( 265297 , 'Ofab Cobra Mk 3' , 'Item', '264793' ) , ( 265296 , 'Ofab Cobra Mk 3' , 'Item', '264793' ) , ( 265295 , 'Ofab Cobra Mk 3' , 'Item', '264793' ) , ( 265294 , 'Ofab Cobra Mk 3' , 'Item', '264793' ) , ( 265293 , 'Ofab Cobra Mk 3' , 'Item', '264793' ) , ( 265292 , 'Ofab Cobra Mk 2' , 'Item', '264792' ) , ( 265291 , 'Ofab Cobra Mk 2' , 'Item', '264792' ) , ( 265290 , 'Ofab Cobra Mk 2' , 'Item', '264792' ) , ( 265289 , 'Ofab Cobra Mk 2' , 'Item', '264792' ) , ( 265288 , 'Ofab Cobra Mk 2' , 'Item', '264792' ) , ( 265287 , 'Ofab Cobra Mk 2' , 'Item', '264792' ) , ( 265286 , 'Ofab Cobra Mk 2' , 'Item', '264792' ) , ( 265285 , 'Ofab Cobra Mk 1' , 'Item', '264791' ) , ( 265284 , 'Ofab Cobra Mk 1' , 'Item', '264791' ) , ( 265283 , 'Ofab Cobra Mk 1' , 'Item', '264791' ) , ( 265282 , 'Ofab Cobra Mk 1' , 'Item', '264791' ) , ( 265281 , 'Ofab Cobra Mk 1' , 'Item', '264791' ) , ( 265280 , 'Ofab Cobra Mk 1' , 'Item', '264791' ) , ( 265279 , 'Ofab Cobra Mk 1' , 'Item', '264791' ) , ( 265278 , 'Ofab Bear Mk 6' , 'Item', '264827' ) , ( 265277 , 'Ofab Bear Mk 6' , 'Item', '264827' ) , ( 265276 , 'Ofab Bear Mk 6' , 'Item', '264827' ) , ( 265275 , 'Ofab Bear Mk 6' , 'Item', '264827' ) , ( 265274 , 'Ofab Bear Mk 6' , 'Item', '264827' ) , ( 265273 , 'Ofab Bear Mk 6' , 'Item', '264827' ) ;"
"Gamecode.dll","10028147","N3Msg_DefaultAttack","n3EngineClientAnarchy_t","void __thiscall N3Msg_DefaultAttack(Identity_t * param_1, bool param_2)","DataOnly","EnumOrStats","False","N3Msg_DefaultAttack; DefaultAttack; DefaultAttackMessage; DefaultAttackMessageHandler; Attack; AttackMessage; AttackMessageHandler; AttackInfo; AttackInfoMessage; FightingTarget; DoCombatTick","10","CellAO\Server\ZoneEngine\XML Data\Stats.xml; CellAO\Libraries\Source\AOtomation\AOtomation.Messaging\src\SmokeLounge.AOtomation.Messaging\GameData\CharacterStat.cs; CellAO\Libraries\Source\CellAO.Enums\StatIds.cs; CellAO\Libraries\Source\CellAO.Stats\StatNamesDefaults.cs; CellAO\Libraries\Source\CellAO.Stats\Stats.cs; CellAO\Libraries\Source\CellAO.Database\SqlTables\statnames.sql","CellAO\Server\ZoneEngine\XML Data\Stats.xml:1171 [DefaultAttack] <Stat id=""292"" Name=""DefaultAttackType""> || CellAO\Libraries\Source\AOtomation\AOtomation.Messaging\src\SmokeLounge.AOtomation.Messaging\GameData\CharacterStat.cs:585 [DefaultAttack] DefaultAttackType = 0x00000124, || CellAO\Libraries\Source\CellAO.Enums\StatIds.cs:1200 [DefaultAttack] defaultattacktype = 292, || CellAO\Libraries\Source\CellAO.Stats\StatNamesDefaults.cs:363 [DefaultAttack] NameList.Add(292, ""DefaultAttackType""); || CellAO\Libraries\Source\CellAO.Stats\Stats.cs:720 [DefaultAttack] private readonly Stat defaultAttackType; || CellAO\Libraries\Source\CellAO.Stats\Stats.cs:3072 [DefaultAttack] this.defaultAttackType = new Stat(this, 292, 1234567890, false, false, false); || CellAO\Libraries\Source\CellAO.Stats\Stats.cs:3906 [DefaultAttack] this.all.Add(this.defaultAttackType); || CellAO\Libraries\Source\CellAO.Stats\Stats.cs:6013 [DefaultAttack] public Stat DefaultAttackType || CellAO\Libraries\Source\CellAO.Stats\Stats.cs:6017 [DefaultAttack] return this.defaultAttackType; || CellAO\Libraries\Source\CellAO.Database\SqlTables\statnames.sql:302 [DefaultAttack] (292, 'DefaultAttackType', '', 1234567890),"
"Gamecode.dll","100299a4","N3Msg_Forage","n3EngineClientAnarchy_t","void __thiscall N3Msg_Forage(void)","DataOnly","DatabaseModel","False","N3Msg_Forage; Forage; ForageMessage; ForageMessageHandler",,"CellAO\Libraries\Source\CellAO.Database\SqlTables\itemnames.sql","CellAO\Libraries\Source\CellAO.Database\SqlTables\itemnames.sql:354 [Forage] INSERT INTO itemnames VALUES ( 214809 , 'Faithful Martial Artist Pants' , 'Item', '213601' ) , ( 214808 , 'Faithful Martial Artist Pants' , 'Item', '213601' ) , ( 214807 , 'Chosen Nano Technician Cloak' , 'Item', '213609' ) , ( 214806 , 'Chosen Nano Technician Cloak' , 'Item', '213609' ) , ( 214805 , 'Chosen Nano Technician Shoulderpad' , 'Item', '160905' ) , ( 214804 , 'Chosen Nano Technician Shoulderpad' , 'Item', '160905' ) , ( 214803 , 'Chosen Nano Technician Helmet' , 'Item', '213649' ) , ( 214802 , 'Chosen Nano Technician Helmet' , 'Item', '213649' ) , ( 214801 , 'Chosen Nano Technician Gloves' , 'Item', '22940' ) , ( 214800 , 'Chosen Nano Technician Gloves' , 'Item', '22940' ) , ( 214799 , 'Chosen Nano Technician Sleeves' , 'Item', '213486' ) , ( 214798 , 'Chosen Nano Technician Sleeves' , 'Item', '213486' ) , ( 214797 , 'Chosen Nano Technician Body Armor' , 'Item', '213527' ) , ( 214796 , 'Chosen Nano Technician Body Armor' , 'Item', '213527' ) , ( 214795 , 'Chosen Nano Technician Boots' , 'Item', '213567' ) , ( 214794 , 'Chosen Nano Technician Boots' , 'Item', '213567' ) , ( 214793 , 'Sealed Letter' , 'Item', '227289' ) , ( 214792 , 'Sealed Letter' , 'Item', '231177' ) , ( 214791 , 'Glowing Blueprint of Aban' , 'Item', '227243' ) , ( 214790 , 'Glowing Blueprint of Thrak' , 'Item', '227267' ) , ( 214789 , 'Insignia of Thrak' , 'Item', '227285' ) , ( 214788 , 'Insignia of Aban' , 'Item', '227273' ) , ( 214787 , 'Glowing Blueprint of Shere' , 'Item', '227266' ) , ( 214786 , 'Glowing Blueprint of Enel' , 'Item', '227259' ) , ( 214785 , 'Ancient Pattern Analyzer favored by the Chosen One' , 'Item', '227244' ) , ( 214784 , 'Ancient Pattern Analyzer graced by the Faithful' , 'Item', '227251' ) , ( 214783 , 'Ancient Pattern Analyzer' , 'Item', '227242' ) , ( 214782 , 'Insignia of Shere' , 'Item', '227284' ) , ( 214781 , 'Insignia of Enel' , 'Item', '227277' ) , ( 214768 , 'Second Tier Doctor Suit Shoulderpad' , 'Item', '213659' ) , ( 214767 , 'Second Tier Doctor Suit Shoulderpad' , 'Item', '213659' ) , ( 214766 , 'Second Tier Doctor Suit Helmet' , 'Item', '213641' ) , ( 214765 , 'Second Tier Doctor Suit Helmet' , 'Item', '213641' ) , ( 214764 , 'Second Tier Doctor Suit Gloves' , 'Item', '13281' ) , ( 214763 , 'Second Tier Doctor Suit Gloves' , 'Item', '13281' ) , ( 214762 , 'Second Tier Doctor Suit Sleeves' , 'Item', '213463' ) , ( 214761 , 'Second Tier Doctor Suit Sleeves' , 'Item', '213463' ) , ( 214760 , 'Second Tier Doctor Suit Body' , 'Item', '213502' ) , ( 214759 , 'Second Tier Doctor Suit Body' , 'Item', '213502' ) , ( 214758 , 'Second Tier Doctor Suit Boots' , 'Item', '213543' ) , ( 214757 , 'Second Tier Doctor Suit Boots' , 'Item', '213543' ) , ( 214756 , 'Second Tier Doctor Suit Pants' , 'Item', '213586' ) , ( 214755 , 'Second Tier Doctor Suit Pants' , 'Item', '213586' ) , ( 214729 , 'Jobe Suit Boots' , 'Item', '214751' ) , ( 214728 , 'Jobe Suit Pants' , 'Item', '214753' ) , ( 214727 , 'Jobe Suit Vest' , 'Item', '214750' ) , ( 214726 , 'Jobe Suit Sleeves' , 'Item', '214749' ) , ( 214725 , 'Jobe Suit Gloves' , 'Item', '214752' ) , ( 214724 , 'Jobe Suit Helmet' , 'Item', '214733' ) , ( 214723 , 'Jobe Suit Shoulderpad' , 'Item', '160886' ) , ( 214722 , 'Jobe Suit Support System' , 'Item', '214741' ) , ( 214427 , 'Forage' , 'Item', '123962' ) , ( 214399 , 'Limber' , 'Item', '239119' ) , ( 214386 , 'Escape' , 'Item', '239120' ) , ( 214369 , 'Seal Wounds' , 'Item', '239113' ) , ( 214368 , 'Chemical Blindness' , 'Item', '239039' ) , ( 214367 , 'Poison Sprinkle' , 'Item', '239141' ) , ( 214366 , 'Taint Wounds' , 'Item', '239137' ) , ( 214351 , 'Maiden Naginata' , 'Item', '213073' ) , ( 214350 , 'Maiden Naginata' , 'Item', '213073' ) , ( 214349 , 'Maiden Naginata' , 'Item', '213073' ) , ( 214348 , 'Maiden Naginata' , 'Item', '213073' ) , ( 214347 , 'Duplex Sword of Counteraction' , 'Item', '210165' ) , ( 214346 , 'Double Sword of Counteraction' , 'Item', '210165' ) , ( 214345 , 'Double Sword of Counteraction' , 'Item', '210165' ) , ( 214344 , 'Double Sword of Counteraction' , 'Item', '210165' ) , ( 214343 , 'Double Sword of Counteraction' , 'Item', '210165' ) , ( 214342 , 'Bow of Solace' , 'Item', '210172' ) , ( 214341 , 'Bow of Sympathy' , 'Item', '210172' ) , ( 214340 , 'Bow of Sympathy' , 'Item', '210172' ) , ( 214339 , 'Bow of Sympathy' , 'Item', '210172' ) , ( 214338 , 'Bow of Sympathy' , 'Item', '210172' ) , ( 214337 , 'Seraph Bow' , 'Item', '213412' ) , ( 214336 , 'Sprite Bow' , 'Item', '213412' ) , ( 214335 , 'Sprite Bow' , 'Item', '213412' ) , ( 214334 , 'Sprite Bow' , 'Item', '213412' ) , ( 214333 , 'Sprite Bow' , 'Item', '213412' ) , ( 214332 , 'Spartan Hammer' , 'Item', '210191' ) , ( 214331 , 'Savage Hammer' , 'Item', '210191' ) , ( 214330 , 'Savage Hammer' , 'Item', '210191' ) , ( 214329 , 'Savage Hammer' , 'Item', '210191' ) , ( 214328 , 'Savage Hammer' , 'Item', '210191' ) , ( 214327 , 'Nightstick of the Butcher' , 'Item', '214358' ) , ( 214326 , 'Nightstick of the Slaughterer' , 'Item', '214358' ) , ( 214325 , 'Nightstick of the Slaughterer' , 'Item', '214358' ) , ( 214324 , 'Nightstick of the Slaughterer' , 'Item', '214358' ) , ( 214323 , 'Nightstick of the Slaughterer' , 'Item', '214358' ) , ( 214322 , 'Gun of the Genius' , 'Item', '210183' ) , ( 214321 , 'Gun of the Gifted' , 'Item', '210183' ) , ( 214320 , 'Gun of the Gifted' , 'Item', '210183' ) , ( 214319 , 'Gun of the Gifted' , 'Item', '210183' ) , ( 214318 , 'Gun of the Gifted' , 'Item', '210183' ) , ( 214317 , 'Nano Star Pistol' , 'Item', '210170' ) , ( 214316 , 'Nano Master Pistol' , 'Item', '210170' ) , ( 214315 , 'Nano Master Pistol' , 'Item', '210170' ) , ( 214314 , 'Nano Master Pistol' , 'Item', '210170' ) , ( 214313 , 'Nano Master Pistol' , 'Item', '210170' ) , ( 214312 , 'Pistol of Survival' , 'Item', '210183' ) , ( 214311 , 'Pistol of Endurance' , 'Item', '210183' ) , ( 214310 , 'Pistol of Endurance' , 'Item', '210183' ) ;"
"Gamecode.dll","100278b0","N3Msg_HasPerk","n3EngineClientAnarchy_t","bool __thiscall N3Msg_HasPerk(uint param_1)","DataOnly","EnumOrStats","False","N3Msg_HasPerk; HasPerk; HasPerkMessage; HasPerkMessageHandler",,"CellAO\Libraries\Source\CellAO.Enums\Operator.cs","CellAO\Libraries\Source\CellAO.Enums\Operator.cs:142 [HasPerk] HasPerk = 93,"
"Gamecode.dll","1001ddd4","N3Msg_Inspect","n3EngineClientAnarchy_t","void __thiscall N3Msg_Inspect(Identity_t * param_1)","DataOnly","DatabaseModel","False","N3Msg_Inspect; Inspect; InspectMessage; InspectMessageHandler","10","CellAO\Libraries\Source\AOtomation\AOtomation.Messaging\src\SmokeLounge.AOtomation.Messaging\Messages\N3MessageType.cs; CellAO\Libraries\Source\AOtomation\AOtomation.Messaging\src\SmokeLounge.AOtomation.Messaging\Serialization\MessageSerializer.cs; CellAO\Libraries\Source\AOtomation\AOtomation.Messaging\src\SmokeLounge.AOtomation.Messaging\Serialization\PacketInspector.cs; CellAO\Libraries\Source\CellAO.Database\SqlTables\mobtemplate.sql","CellAO\Libraries\Source\AOtomation\AOtomation.Messaging\src\SmokeLounge.AOtomation.Messaging\Messages\N3MessageType.cs:257 [Inspect] Inspect = 0x5a585f65, || CellAO\Libraries\Source\AOtomation\AOtomation.Messaging\src\SmokeLounge.AOtomation.Messaging\Serialization\MessageSerializer.cs:28 [Inspect] private readonly PacketInspector packetInspector; || CellAO\Libraries\Source\AOtomation\AOtomation.Messaging\src\SmokeLounge.AOtomation.Messaging\Serialization\MessageSerializer.cs:38 [Inspect] this.packetInspector = new PacketInspector(); || CellAO\Libraries\Source\AOtomation\AOtomation.Messaging\src\SmokeLounge.AOtomation.Messaging\Serialization\MessageSerializer.cs:45 [Inspect] this.packetInspector = new PacketInspector(); || CellAO\Libraries\Source\AOtomation\AOtomation.Messaging\src\SmokeLounge.AOtomation.Messaging\Serialization\MessageSerializer.cs:64 [Inspect] var subTypeInfo = this.packetInspector.FindSubType(reader); || CellAO\Libraries\Source\AOtomation\AOtomation.Messaging\src\SmokeLounge.AOtomation.Messaging\Serialization\PacketInspector.cs:2 [Inspect] // <copyright file=""PacketInspector.cs"" company=""SmokeLounge""> || CellAO\Libraries\Source\AOtomation\AOtomation.Messaging\src\SmokeLounge.AOtomation.Messaging\Serialization\PacketInspector.cs:11 [Inspect] // Defines the PacketInspector type. || CellAO\Libraries\Source\AOtomation\AOtomation.Messaging\src\SmokeLounge.AOtomation.Messaging\Serialization\PacketInspector.cs:19 [Inspect] public class PacketInspector || CellAO\Libraries\Source\AOtomation\AOtomation.Messaging\src\SmokeLounge.AOtomation.Messaging\Serialization\PacketInspector.cs:29 [Inspect] public PacketInspector() || CellAO\Libraries\Source\CellAO.Database\SqlTables\mobtemplate.sql:186 [Inspect] INSERT INTO `mobtemplate` (`Hash`,`MinLvl`,`MaxLvl`,`Side`,`Fatness`,`Breed`,`Sex`,`Race`,`Name`,`Flags`,`NPCFamily`,`Health`,`MonsterData`,`MonsterScale`,`TextureHands`,`TextureBody`,`TextureFeet`,`TextureArms`,`TextureLegs`,`HeadMesh`,`MobMeshs`,`AdditionalMeshs`,`DropHashes`,`DropSlots`,`DropRates`) VALUES ('A011',22,27,0,1,3,6,1,'ICC Bio-Inspector',277352961,0,941,26151,100,286229,286227,286228,286226,286225,223923,'',0x0000036AB30000000004010001835200000000020300045EEE0000000000,"""","""","""");"
"Gamecode.dll","10027a2c","N3Msg_IsPerk","n3EngineClientAnarchy_t","bool __thiscall N3Msg_IsPerk(uint param_1)","DataOnly","EnumOrStats","False","N3Msg_IsPerk; IsPerk; IsPerkMessage; IsPerkMessageHandler","2","CellAO\Libraries\Source\CellAO.Enums\Operator.cs","CellAO\Libraries\Source\CellAO.Enums\Operator.cs:246 [IsPerk] IsPerkLocked = 94, || CellAO\Libraries\Source\CellAO.Enums\Operator.cs:250 [IsPerk] IsPerkUnlocked = 97,"
"Gamecode.dll","10016cef","N3Msg_IsTower","n3EngineClientAnarchy_t","bool __thiscall N3Msg_IsTower(Identity_t * param_1)","DataOnly","EnumOrStats","False","N3Msg_IsTower; IsTower; IsTowerMessage; IsTowerMessageHandler",,"CellAO\Libraries\Source\CellAO.Enums\Operator.cs","CellAO\Libraries\Source\CellAO.Enums\Operator.cs:274 [IsTower] IsTowerCreateAllowed = 80,"
"Gamecode.dll","1001bee9","N3Msg_RemoveBuff","n3EngineClientAnarchy_t","bool __thiscall N3Msg_RemoveBuff(Identity_t * param_1)","DataOnly","EnumOrStats","False","N3Msg_RemoveBuff; RemoveBuff; RemoveBuffMessage; RemoveBuffMessageHandler",,"CellAO\Libraries\Source\CellAO.Enums\FunctionType.cs","CellAO\Libraries\Source\CellAO.Enums\FunctionType.cs:644 [RemoveBuff] RemoveBuffs = 53050,"
"Gamecode.dll","100184cf","N3Msg_SetLootAccess","n3EngineClientAnarchy_t","void __thiscall N3Msg_SetLootAccess(Identity_t * param_1, Identity_t * param_2, Identity_t * param_3, bool param_4)","DataOnly","EnumOrStats","False","N3Msg_SetLootAccess; SetLootAccess; SetLootAccessMessage; SetLootAccessMessageHandler; LootAccess; HasAlwaysLootable; Corpse; CorpseInstance","10","CellAO\Server\ZoneEngine\XML Data\Stats.xml; CellAO\Libraries\Source\AOtomation\AOtomation.Messaging\src\SmokeLounge.AOtomation.Messaging\GameData\CharacterStat.cs; CellAO\Libraries\Source\CellAO.Enums\StatIds.cs; CellAO\Libraries\Source\CellAO.Stats\StatNamesDefaults.cs; CellAO\Libraries\Source\CellAO.Stats\Stats.cs; CellAO\Libraries\Source\CellAO.Database\SqlTables\statnames.sql","CellAO\Server\ZoneEngine\XML Data\Stats.xml:1383 [HasAlwaysLootable] <Stat id=""345"" Name=""HasAlwaysLootable""> || CellAO\Libraries\Source\AOtomation\AOtomation.Messaging\src\SmokeLounge.AOtomation.Messaging\GameData\CharacterStat.cs:683 [HasAlwaysLootable] HasAlwaysLootable = 0x00000159, || CellAO\Libraries\Source\CellAO.Enums\StatIds.cs:1412 [HasAlwaysLootable] hasalwayslootable = 345, || CellAO\Libraries\Source\CellAO.Stats\StatNamesDefaults.cs:416 [HasAlwaysLootable] NameList.Add(345, ""HasAlwaysLootable""); || CellAO\Libraries\Source\CellAO.Stats\Stats.cs:1008 [HasAlwaysLootable] private readonly Stat hasAlwaysLootable; || CellAO\Libraries\Source\CellAO.Stats\Stats.cs:3144 [HasAlwaysLootable] this.hasAlwaysLootable = new Stat(this, 345, 1234567890, false, false, false); || CellAO\Libraries\Source\CellAO.Stats\Stats.cs:3959 [HasAlwaysLootable] this.all.Add(this.hasAlwaysLootable); || CellAO\Libraries\Source\CellAO.Stats\Stats.cs:6753 [HasAlwaysLootable] public Stat HasAlwaysLootable || CellAO\Libraries\Source\CellAO.Stats\Stats.cs:6757 [HasAlwaysLootable] return this.hasAlwaysLootable; || CellAO\Libraries\Source\CellAO.Database\SqlTables\statnames.sql:355 [HasAlwaysLootable] (345, 'HasAlwaysLootable', '', 1234567890),"
