Program,ExecutablePath,EntryPoint,Name,Namespace,Signature,CallingConvention,SourceType,IsExternal,IsThunk,ThunkTarget,BodyAddressCount,ReadableName
"AFCM.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/AFCM.dll","1000100c","FUN_1000100c","Global","exception * __thiscall FUN_1000100c(byte param_1)","__thiscall","DEFAULT","false","false","","38","false"
"AFCM.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/AFCM.dll","10001032","~MessageProcessor_t","MessageProcessor_t","void __thiscall ~MessageProcessor_t(void)","__thiscall","ANALYSIS","false","false","","1","true"
"AFCM.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/AFCM.dll","10001033","GetDestinationID","MessageModule_t","int __thiscall GetDestinationID(void)","__thiscall","ANALYSIS","false","false","","4","true"
"AFCM.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/AFCM.dll","10001037","GetExecutionPriority","MessageModule_t","int __thiscall GetExecutionPriority(void)","__thiscall","ANALYSIS","false","false","","3","true"
"AFCM.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/AFCM.dll","1000103a","operator=","MessageModule_t","MessageModule_t * __thiscall operator=(MessageModule_t * param_1)","__thiscall","ANALYSIS","false","false","","23","true"
"AFCM.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/AFCM.dll","10001051","FUN_10001051","Global","undefined __fastcall FUN_10001051(undefined4 * param_1)","__fastcall","DEFAULT","false","false","","184","false"
"AFCM.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/AFCM.dll","10001109","isModuleActive","AFCM","bool __thiscall isModuleActive(int param_1)","__thiscall","ANALYSIS","false","false","","21","true"
"AFCM.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/AFCM.dll","1000111e","operator=","AFCM","AFCM * __thiscall operator=(AFCM * param_1)","__thiscall","ANALYSIS","false","false","","25","true"
"AFCM.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/AFCM.dll","10001137","GetInstance","DynamicID_t","DynamicID_t * __cdecl GetInstance(void)","__cdecl","ANALYSIS","false","false","","67","true"
"AFCM.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/AFCM.dll","1000117a","IsInitialized","DynamicID_t","bool __cdecl IsInitialized(void)","__cdecl","ANALYSIS","false","false","","12","true"
"AFCM.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/AFCM.dll","10001186","GetTypeIdList","DynamicID_t","list<DynamicTypeID_t*,std::allocator<DynamicTypeID_t*>_> * __thiscall GetTypeIdList(void)","__thiscall","ANALYSIS","false","false","","3","true"
"AFCM.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/AFCM.dll","10001189","operator=","ExecutionList_t","ExecutionList_t * __thiscall operator=(ExecutionList_t * param_1)","__thiscall","ANALYSIS","false","false","","23","true"
"AFCM.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/AFCM.dll","100011a0","DebugDisplayRunningPrograms","AFCM","void __thiscall DebugDisplayRunningPrograms(void)","__thiscall","ANALYSIS","false","false","","26","true"
"AFCM.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/AFCM.dll","100011ba","DebugDisplayAllPrograms","AFCM","void __thiscall DebugDisplayAllPrograms(void)","__thiscall","ANALYSIS","false","false","","37","true"
"AFCM.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/AFCM.dll","100011df","IgnoreMessagesWhenInactive","AFCM","void __thiscall IgnoreMessagesWhenInactive(int param_1)","__thiscall","ANALYSIS","false","false","","18","true"
"AFCM.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/AFCM.dll","100011f1","SendMessagesWhenInactive","AFCM","void __thiscall SendMessagesWhenInactive(int param_1)","__thiscall","ANALYSIS","false","false","","18","true"
"AFCM.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/AFCM.dll","10001203","SetMessageDestinationMode","AFCM","void __thiscall SetMessageDestinationMode(int param_1, int param_2)","__thiscall","ANALYSIS","false","false","","20","true"
"AFCM.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/AFCM.dll","10001217","CreatePacket","AFCM","AFCMPacket_t * __thiscall CreatePacket(int param_1, void * param_2, bool param_3)","__thiscall","ANALYSIS","false","false","","57","true"
"AFCM.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/AFCM.dll","10001250","GetInstanceIfAny","AFCM","AFCM * __cdecl GetInstanceIfAny(void)","__cdecl","ANALYSIS","false","false","","6","true"
"AFCM.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/AFCM.dll","10001256","SetCurrentModule","AFCM","void __thiscall SetCurrentModule(int param_1)","__thiscall","ANALYSIS","false","false","","16","true"
