Program,ExecutablePath,EntryPoint,Name,Namespace,Signature,CallingConvention,SourceType,IsExternal,IsThunk,ThunkTarget,BodyAddressCount,ReadableName
"BinaryIO.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryIO.dll","1000100c","FUN_1000100c","Global","exception * __thiscall FUN_1000100c(byte param_1)","__thiscall","DEFAULT","false","false","","38","false"
"BinaryIO.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryIO.dll","10001032","operator=","AnarchyPath_t","AnarchyPath_t * __thiscall operator=(AnarchyPath_t * param_1)","__thiscall","ANALYSIS","false","false","","5","true"
"BinaryIO.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryIO.dll","10001037","_Inside","std::basic_string<char,std::char_traits<char>,std::allocator<char>_>","bool __thiscall _Inside(char * param_1)","__thiscall","ANALYSIS","false","false","","59","true"
"BinaryIO.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryIO.dll","10001072","FUN_10001072","Global","undefined __cdecl FUN_10001072(char * param_1)","__cdecl","DEFAULT","false","false","","72","false"
"BinaryIO.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryIO.dll","100010ba","FUN_100010ba","Global","exception * __thiscall FUN_100010ba(exception * param_1)","__thiscall","DEFAULT","false","false","","28","false"
"BinaryIO.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryIO.dll","100010d6","FUN_100010d6","Global","uint __thiscall FUN_100010d6(char * param_1, uint param_2, uint param_3)","__thiscall","DEFAULT","false","false","","123","false"
"BinaryIO.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryIO.dll","10001151","FUN_10001151","Global","uint __thiscall FUN_10001151(uint param_1, uint param_2, byte * param_3, uint param_4)","__thiscall","DEFAULT","false","false","","102","false"
"BinaryIO.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryIO.dll","100011b7","_Tidy","std::basic_string<char,std::char_traits<char>,std::allocator<char>_>","void __thiscall _Tidy(bool param_1, uint param_2)","__thiscall","ANALYSIS","false","false","","68","true"
"BinaryIO.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryIO.dll","100011fb","FUN_100011fb","Global","undefined __cdecl FUN_100011fb(int param_1, int param_2)","__cdecl","DEFAULT","false","false","","50","false"
"BinaryIO.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryIO.dll","1000122d","FUN_1000122d","Global","undefined __fastcall FUN_1000122d(basic_string<char,std::char_traits<char>,std::allocator<char>_> * param_1)","__fastcall","DEFAULT","false","false","","10","false"
"BinaryIO.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryIO.dll","10001237","FUN_10001237","Global","undefined4 * __thiscall FUN_10001237(uint param_1, uint param_2)","__thiscall","DEFAULT","false","false","","122","false"
"BinaryIO.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryIO.dll","100012b1","FUN_100012b1","Global","undefined __thiscall FUN_100012b1(byte * param_1)","__thiscall","DEFAULT","false","false","","38","false"
"BinaryIO.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryIO.dll","100012d7","FUN_100012d7","Global","undefined __stdcall FUN_100012d7(void)","__stdcall","DEFAULT","false","false","","101","false"
"BinaryIO.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryIO.dll","1000133c","Catch_All@1000133c","Global","undefined * __stdcall Catch_All@1000133c(void)","__stdcall","ANALYSIS","false","false","","33","true"
"BinaryIO.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryIO.dll","10001363","FUN_10001363","Global","undefined __stdcall FUN_10001363(void)","__stdcall","DEFAULT","false","false","","82","false"
"BinaryIO.dll","/C:/Users/Mike/Documents/Cellao-Clean/tools-temp/ao-dll-function-map/ghidra-work/ao-client-dlls/BinaryIO.dll","100013b5","Catch_All@100013b5","Global","undefined __stdcall Catch_All@100013b5(void)","__stdcall","ANALYSIS","false","false","","20","true"
